participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"560f54b3d4ab1e00126fb99f","22","medium","0.982","0.982525243201841","0.171875","1","38","300","diverging","linear","1","1","1","5175","2026-02-22T02:49:10.398Z"
"560f54b3d4ab1e00126fb99f","7","low","0.954","0.9547652994011432","0.703125","1","35","300","thermal","constant","1","1","1","8351","2026-02-22T02:49:18.771Z"
"560f54b3d4ab1e00126fb99f","18","medium","0.982","0.9829633323762293","0.1015625","1","39","300","thermal","linear","3","3","1","5731","2026-02-22T02:49:31.590Z"
"560f54b3d4ab1e00126fb99f","41","high","0.956","0.9553896303059948","0.59375","1","30","200","diverging","thermal","0","0","1","2854","2026-02-22T02:49:34.464Z"
"560f54b3d4ab1e00126fb99f","29","medium","0.982","0.9826997229747407","0.1484375","1","25","200","linear","diverging","3","3","1","21847","2026-02-22T02:49:56.324Z"
"560f54b3d4ab1e00126fb99f","13","low","0.954","0.9531508721411301","0.5625","1","17","200","linear","constant","2","2","1","6907","2026-02-22T02:50:03.265Z"
"560f54b3d4ab1e00126fb99f","12","low","0.954","0.9540324947581752","0.31640625","1","28","200","constant","thermal","1","1","1","13420","2026-02-22T02:50:16.717Z"
"560f54b3d4ab1e00126fb99f","26","medium","0.982","0.9814160033571123","0.25","1","32","300","constant","constant","1","1","1","6080","2026-02-22T02:50:22.822Z"
"560f54b3d4ab1e00126fb99f","24","medium","0.982","0.9819063739147701","0.1875","1","5","100","linear","linear","2","2","1","7507","2026-02-22T02:50:30.356Z"
"560f54b3d4ab1e00126fb99f","46","high","0.956","0.9561580853528799","0.78125","1","20","200","constant","linear","3","3","1","4712","2026-02-22T02:50:35.101Z"
"560f54b3d4ab1e00126fb99f","4","low","0.954","0.9548330016334677","1.3125","1","16","200","constant","constant","0","0","1","7704","2026-02-22T02:50:42.836Z"
"560f54b3d4ab1e00126fb99f","30","medium","0.982","0.9811975402214468","0.1484375","1","9","100","linear","diverging","0","0","1","8250","2026-02-22T02:50:51.120Z"
"560f54b3d4ab1e00126fb99f","9000","medium","0.8","0.8499736243421628","6","0","47","300","thermal","thermal","1","1","1","1949","2026-02-22T02:50:53.101Z"
"560f54b3d4ab1e00126fb99f","16","low","0.954","0.9538955813613624","5.859375","1","12","100","constant","thermal","1","1","1","15731","2026-02-22T02:51:08.860Z"
"560f54b3d4ab1e00126fb99f","10","low","0.954","0.9547619656566234","3.140625","1","27","200","thermal","diverging","3","0","0","17968","2026-02-22T02:51:26.862Z"
"560f54b3d4ab1e00126fb99f","27","medium","0.982","0.9816052861229","0.1796875","1","10","100","diverging","diverging","0","0","1","13990","2026-02-22T02:51:40.885Z"
"560f54b3d4ab1e00126fb99f","20","medium","0.982","0.9827169195684741","0.1875","1","21","200","linear","linear","0","0","1","8670","2026-02-22T02:51:49.569Z"
"560f54b3d4ab1e00126fb99f","23","medium","0.982","0.9820164766576978","0.265625","1","24","200","constant","diverging","2","2","1","6339","2026-02-22T02:51:55.944Z"
"560f54b3d4ab1e00126fb99f","25","medium","0.982","0.9818009015016169","0.359375","1","13","100","linear","thermal","2","2","1","8122","2026-02-22T02:52:04.101Z"
