participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5711c09d28742b0011c585be","37","high","0.956","0.9562791752401679","1.125","1","26","200","diverging","diverging","2","2","1","2935","2026-02-22T07:18:40.186Z"
"5711c09d28742b0011c585be","42","high","0.956","0.9562292222930564","0.5625","1","27","200","thermal","diverging","3","3","1","2682","2026-02-22T07:18:42.883Z"
"5711c09d28742b0011c585be","7","low","0.954","0.9544642552730608","0.328125","1","24","200","constant","diverging","1","1","1","4044","2026-02-22T07:18:46.941Z"
"5711c09d28742b0011c585be","39","high","0.956","0.9566811230203303","7.5","1","35","300","thermal","constant","3","3","1","2122","2026-02-22T07:18:49.071Z"
"5711c09d28742b0011c585be","31","medium","0.982","0.9824662428885029","0.234375","1","7","100","thermal","linear","2","0","0","6717","2026-02-22T07:18:55.796Z"
"5711c09d28742b0011c585be","45","high","0.956","0.9555714450072793","0.421875","1","17","200","linear","constant","3","3","1","3632","2026-02-22T07:18:59.444Z"
"5711c09d28742b0011c585be","2","low","0.954","0.9544609018652054","0.4921875","1","39","300","thermal","linear","1","1","1","8620","2026-02-22T07:19:08.078Z"
"5711c09d28742b0011c585be","20","medium","0.982","0.9827861976200407","0.21875","1","34","300","diverging","constant","2","2","1","6411","2026-02-22T07:19:14.518Z"
"5711c09d28742b0011c585be","43","high","0.956","0.9569442926762362","0.15625","1","2","100","diverging","constant","3","3","1","4474","2026-02-22T07:19:19.016Z"
"5711c09d28742b0011c585be","48","high","0.956","0.9554415553868384","4","1","12","100","constant","thermal","0","0","1","4347","2026-02-22T07:19:23.382Z"
"5711c09d28742b0011c585be","29","medium","0.982","0.9827962555418855","0.375","1","14","100","diverging","thermal","1","1","1","3478","2026-02-22T07:19:26.880Z"
"5711c09d28742b0011c585be","38","high","0.956","0.9558601138399959","0.5625","1","19","200","thermal","constant","3","3","1","6036","2026-02-22T07:19:32.933Z"
"5711c09d28742b0011c585be","9000","medium","0.8","0.8530351591997278","7","0","47","300","thermal","thermal","0","0","1","3363","2026-02-22T07:19:36.314Z"
"5711c09d28742b0011c585be","3","low","0.954","0.9541022180897991","7.078125","1","18","200","diverging","constant","1","1","1","14034","2026-02-22T07:19:50.368Z"
"5711c09d28742b0011c585be","33","high","0.956","0.9560941366662133","0.875","1","40","300","constant","diverging","1","1","1","3988","2026-02-22T07:19:54.374Z"
"5711c09d28742b0011c585be","41","high","0.956","0.9551654796855246","6.5","1","1","100","linear","constant","1","1","1","2722","2026-02-22T07:19:57.112Z"
"5711c09d28742b0011c585be","46","high","0.956","0.9562127638055479","0.3125","1","36","300","constant","linear","3","3","1","2747","2026-02-22T07:19:59.869Z"
"5711c09d28742b0011c585be","35","high","0.956","0.9563106778724214","1","1","8","100","constant","diverging","1","1","1","3759","2026-02-22T07:20:03.643Z"
"5711c09d28742b0011c585be","4","low","0.954","0.9534212691009223","1.5","1","21","200","linear","linear","2","3","0","15674","2026-02-22T07:20:19.335Z"
"5711c09d28742b0011c585be","11","low","0.954","0.953477517715849","0.609375","1","10","100","diverging","diverging","1","1","1","4033","2026-02-22T07:20:23.389Z"
"5711c09d28742b0011c585be","12","low","0.954","0.953303697812654","0.4453125","1","6","100","diverging","linear","3","3","1","4639","2026-02-22T07:20:28.043Z"
"5711c09d28742b0011c585be","32","medium","0.982","0.9818983766930993","0.171875","1","3","100","thermal","constant","3","3","1","2222","2026-02-22T07:20:30.284Z"
"5711c09d28742b0011c585be","9","low","0.954","0.9539079174447345","9.3984375","1","13","100","linear","thermal","1","0","0","15386","2026-02-22T07:20:45.686Z"
"5711c09d28742b0011c585be","13","low","0.954","0.9544728602150139","0.6328125","1","25","200","linear","diverging","3","2","0","10710","2026-02-22T07:20:56.413Z"
"5711c09d28742b0011c585be","28","medium","0.982","0.9816613871869202","0.25","1","41","300","linear","diverging","0","0","1","3195","2026-02-22T07:20:59.624Z"
"5711c09d28742b0011c585be","9001","medium","0.8","0.8519862788832212","7.75","0","47","300","thermal","thermal","3","3","1","4822","2026-02-22T07:21:04.463Z"
"5711c09d28742b0011c585be","25","medium","0.982","0.9822069180465646","0.234375","1","30","200","diverging","thermal","1","1","1","2519","2026-02-22T07:21:07.001Z"
"5711c09d28742b0011c585be","8","low","0.954","0.9549058846868462","0.9375","1","5","100","linear","linear","3","3","1","11569","2026-02-22T07:21:18.587Z"
