participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"58a50aebbb9e0f0001aca2a7","41","high","0.956","0.9567813444229659","0.53125","1","1","100","linear","constant","1","1","1","18281","2026-02-22T07:09:18.880Z"
"58a50aebbb9e0f0001aca2a7","37","high","0.956","0.9560189777028648","0.171875","1","26","200","diverging","diverging","3","3","1","4821","2026-02-22T07:09:23.740Z"
"58a50aebbb9e0f0001aca2a7","36","high","0.956","0.9553137751008945","0.53125","1","16","200","constant","constant","3","3","1","2321","2026-02-22T07:09:26.082Z"
"58a50aebbb9e0f0001aca2a7","31","medium","0.982","0.9817504368881271","0.1171875","1","7","100","thermal","linear","1","1","1","12600","2026-02-22T07:09:38.703Z"
"58a50aebbb9e0f0001aca2a7","21","medium","0.982","0.9824251492825237","0.65625","1","22","200","diverging","linear","0","1","0","6996","2026-02-22T07:09:45.751Z"
"58a50aebbb9e0f0001aca2a7","2","low","0.954","0.9545728880181745","10.5","1","39","300","thermal","linear","3","1","0","9009","2026-02-22T07:09:54.806Z"
"58a50aebbb9e0f0001aca2a7","34","high","0.956","0.9553591451484632","0.8125","1","33","300","linear","constant","0","0","1","2452","2026-02-22T07:09:57.310Z"
"58a50aebbb9e0f0001aca2a7","35","high","0.956","0.9554459087435134","0.4375","1","8","100","constant","diverging","3","3","1","2815","2026-02-22T07:10:00.141Z"
"58a50aebbb9e0f0001aca2a7","16","low","0.954","0.9541802783871988","0.80859375","1","29","200","linear","thermal","1","1","1","7497","2026-02-22T07:10:07.683Z"
"58a50aebbb9e0f0001aca2a7","45","high","0.956","0.956399480992186","4","1","17","200","linear","constant","0","0","1","2911","2026-02-22T07:10:10.615Z"
"58a50aebbb9e0f0001aca2a7","10","low","0.954","0.9546446114681534","6","1","32","300","constant","constant","0","1","0","15461","2026-02-22T07:10:26.126Z"
"58a50aebbb9e0f0001aca2a7","20","medium","0.982","0.9818476541682177","0.375","1","34","300","diverging","constant","1","1","1","10126","2026-02-22T07:10:36.298Z"
"58a50aebbb9e0f0001aca2a7","9000","medium","0.8","0.9148088269162085","4","0","47","300","thermal","thermal","1","1","1","5476","2026-02-22T07:10:41.820Z"
"58a50aebbb9e0f0001aca2a7","22","medium","0.982","0.9811804519985698","0.3125","1","23","200","thermal","linear","1","1","1","4567","2026-02-22T07:10:46.424Z"
"58a50aebbb9e0f0001aca2a7","42","high","0.956","0.9562208209271185","4.5","1","27","200","thermal","diverging","1","1","1","1990","2026-02-22T07:10:48.462Z"
"58a50aebbb9e0f0001aca2a7","17","medium","0.982","0.9822913921578851","0.1875","1","43","300","thermal","diverging","3","3","1","10581","2026-02-22T07:10:59.076Z"
"58a50aebbb9e0f0001aca2a7","33","high","0.956","0.9557048182666644","0.1875","1","40","300","constant","diverging","0","0","1","3575","2026-02-22T07:11:02.662Z"
"58a50aebbb9e0f0001aca2a7","48","high","0.956","0.9567223995520496","0.75","1","12","100","constant","thermal","3","3","1","2856","2026-02-22T07:11:05.546Z"
"58a50aebbb9e0f0001aca2a7","24","medium","0.982","0.9816217937312597","0.1328125","1","47","300","thermal","thermal","1","0","0","10724","2026-02-22T07:11:16.313Z"
"58a50aebbb9e0f0001aca2a7","47","high","0.956","0.9560370898616205","0.78125","1","4","100","constant","linear","0","0","1","2048","2026-02-22T07:11:18.399Z"
"58a50aebbb9e0f0001aca2a7","32","medium","0.982","0.9819464918100593","0.265625","1","3","100","thermal","constant","0","0","1","10385","2026-02-22T07:11:28.823Z"
"58a50aebbb9e0f0001aca2a7","25","medium","0.982","0.9810804604985675","0.15625","1","30","200","diverging","thermal","2","2","1","9706","2026-02-22T07:11:38.564Z"
"58a50aebbb9e0f0001aca2a7","13","low","0.954","0.9535419287031008","0.421875","1","25","200","linear","diverging","2","2","1","6113","2026-02-22T07:11:44.693Z"
"58a50aebbb9e0f0001aca2a7","19","medium","0.982","0.9822341589454078","0.359375","1","37","300","linear","linear","3","3","1","4747","2026-02-22T07:11:49.489Z"
"58a50aebbb9e0f0001aca2a7","12","low","0.954","0.9543950881794179","7.453125","1","6","100","diverging","linear","3","2","0","16006","2026-02-22T07:12:05.529Z"
"58a50aebbb9e0f0001aca2a7","9001","medium","0.8","0.810749794834296","7","0","47","300","thermal","thermal","1","1","1","2445","2026-02-22T07:12:08.004Z"
"58a50aebbb9e0f0001aca2a7","14","low","0.954","0.9545641018980857","6.609375","1","9","100","linear","diverging","0","0","1","8325","2026-02-22T07:12:16.376Z"
"58a50aebbb9e0f0001aca2a7","43","high","0.956","0.9557374343622459","0.359375","1","2","100","diverging","constant","1","1","1","2087","2026-02-22T07:12:18.491Z"
"58a50aebbb9e0f0001aca2a7","30","medium","0.982","0.9813321955654001","0.234375","1","20","200","constant","linear","0","0","1","2052","2026-02-22T07:12:20.589Z"
"58a50aebbb9e0f0001aca2a7","4","low","0.954","0.95338143015524","1.3125","1","21","200","linear","linear","0","0","1","10770","2026-02-22T07:12:31.387Z"
"58a50aebbb9e0f0001aca2a7","29","medium","0.982","0.9824336732402962","0.34375","1","14","100","diverging","thermal","2","2","1","5012","2026-02-22T07:12:36.434Z"
"58a50aebbb9e0f0001aca2a7","15","low","0.954","0.9545638086827801","0.4921875","1","31","200","thermal","thermal","3","2","0","11431","2026-02-22T07:12:47.899Z"
"58a50aebbb9e0f0001aca2a7","26","medium","0.982","0.9819901006004","0.125","1","45","300","linear","thermal","1","1","1","22684","2026-02-22T07:13:10.598Z"
"58a50aebbb9e0f0001aca2a7","11","low","0.954","0.9540956316982312","0.609375","1","10","100","diverging","diverging","0","0","1","13959","2026-02-22T07:13:24.573Z"
"58a50aebbb9e0f0001aca2a7","23","medium","0.982","0.9819646673322006","0.34375","1","42","300","diverging","diverging","0","0","1","3621","2026-02-22T07:13:28.245Z"
"58a50aebbb9e0f0001aca2a7","28","medium","0.982","0.982027706945012","0.3125","1","41","300","linear","diverging","2","1","0","16404","2026-02-22T07:13:44.688Z"
"58a50aebbb9e0f0001aca2a7","46","high","0.956","0.9566075439019134","0.5625","1","36","300","constant","linear","1","1","1","5781","2026-02-22T07:13:50.504Z"
"58a50aebbb9e0f0001aca2a7","40","high","0.956","0.9555591861731837","0.5","1","46","300","diverging","thermal","2","2","1","4696","2026-02-22T07:13:55.221Z"
"58a50aebbb9e0f0001aca2a7","9002","medium","0.8","0.9005162478768086","7.5","0","47","300","thermal","thermal","2","2","1","1181","2026-02-22T07:13:56.418Z"
"58a50aebbb9e0f0001aca2a7","6","low","0.954","0.953237936287073","4.40625","1","38","300","diverging","linear","3","2","0","8094","2026-02-22T07:14:04.536Z"
"58a50aebbb9e0f0001aca2a7","38","high","0.956","0.9561302296225417","0.40625","1","19","200","thermal","constant","2","2","1","3037","2026-02-22T07:14:07.617Z"
"58a50aebbb9e0f0001aca2a7","18","medium","0.982","0.9821291958727628","0.171875","1","15","100","thermal","thermal","1","1","1","4771","2026-02-22T07:14:12.415Z"
"58a50aebbb9e0f0001aca2a7","27","medium","0.982","0.9825934043372001","0.25","1","44","300","constant","thermal","1","1","1","2938","2026-02-22T07:14:15.362Z"
"58a50aebbb9e0f0001aca2a7","7","low","0.954","0.9543030168094813","10.78125","1","24","200","constant","diverging","2","2","1","13436","2026-02-22T07:14:28.809Z"
"58a50aebbb9e0f0001aca2a7","39","high","0.956","0.9558175418660547","0.8125","1","35","300","thermal","constant","3","3","1","3548","2026-02-22T07:14:32.375Z"
"58a50aebbb9e0f0001aca2a7","1","low","0.954","0.953508415843015","0.703125","1","0","100","constant","constant","1","1","1","7072","2026-02-22T07:14:39.460Z"
"58a50aebbb9e0f0001aca2a7","8","low","0.954","0.9546735854022985","6","1","5","100","linear","linear","0","0","1","6553","2026-02-22T07:14:46.030Z"
"58a50aebbb9e0f0001aca2a7","44","high","0.956","0.9558544066507373","0.2265625","1","28","200","constant","thermal","0","0","1","7378","2026-02-22T07:14:53.417Z"
"58a50aebbb9e0f0001aca2a7","5","low","0.954","0.9543517134912035","0.4921875","1","11","100","thermal","diverging","0","0","1","4206","2026-02-22T07:14:57.642Z"
"58a50aebbb9e0f0001aca2a7","3","low","0.954","0.9541597909558868","0.52734375","1","18","200","diverging","constant","3","3","1","3858","2026-02-22T07:15:01.515Z"
"58a50aebbb9e0f0001aca2a7","9","low","0.954","0.9531859383324134","1.21875","1","13","100","linear","thermal","1","1","1","6269","2026-02-22T07:15:07.788Z"
"58a50aebbb9e0f0001aca2a7","9003","medium","0.8","0.8349188996020465","6","0","47","300","thermal","thermal","3","3","1","6156","2026-02-22T07:15:13.951Z"
