participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5b5a822e1ad8270001c4f28d","9","low","0.954","0.9541331634434637","0.84375","1","13","100","linear","thermal","0","1","0","13008","2026-02-22T07:07:01.041Z"
"5b5a822e1ad8270001c4f28d","31","medium","0.982","0.9815491614364215","0.3125","1","7","100","thermal","linear","3","3","1","7870","2026-02-22T07:07:08.940Z"
"5b5a822e1ad8270001c4f28d","35","high","0.956","0.9558232482259329","0.65625","1","8","100","constant","diverging","3","3","1","7554","2026-02-22T07:07:16.507Z"
"5b5a822e1ad8270001c4f28d","30","medium","0.982","0.9823349831077554","0.40625","1","20","200","constant","linear","2","2","1","9843","2026-02-22T07:07:26.357Z"
"5b5a822e1ad8270001c4f28d","13","low","0.954","0.9530673379908787","0.5390625","1","25","200","linear","diverging","2","0","0","14562","2026-02-22T07:07:40.939Z"
"5b5a822e1ad8270001c4f28d","11","low","0.954","0.9546674236339233","0.4453125","1","10","100","diverging","diverging","2","2","1","9570","2026-02-22T07:07:50.523Z"
"5b5a822e1ad8270001c4f28d","48","high","0.956","0.9554779918623081","1.25","1","12","100","constant","thermal","3","3","1","2937","2026-02-22T07:07:53.489Z"
"5b5a822e1ad8270001c4f28d","6","low","0.954","0.9542928143198882","0.9140625","1","38","300","diverging","linear","1","1","1","6647","2026-02-22T07:08:00.156Z"
"5b5a822e1ad8270001c4f28d","3","low","0.954","0.9539558526777339","0.66796875","1","18","200","diverging","constant","2","2","1","4294","2026-02-22T07:08:04.472Z"
"5b5a822e1ad8270001c4f28d","37","high","0.956","0.9566188778765038","0.1484375","1","26","200","diverging","diverging","0","0","1","5410","2026-02-22T07:08:09.906Z"
"5b5a822e1ad8270001c4f28d","21","medium","0.982","0.9821628305650767","0.203125","1","22","200","diverging","linear","3","3","1","2745","2026-02-22T07:08:12.673Z"
"5b5a822e1ad8270001c4f28d","4","low","0.954","0.9547577317475003","0.703125","1","21","200","linear","linear","0","2","0","5383","2026-02-22T07:08:18.073Z"
"5b5a822e1ad8270001c4f28d","9000","medium","0.8","0.8681072626177609","7.75","0","47","300","thermal","thermal","0","0","1","5978","2026-02-22T07:08:24.072Z"
"5b5a822e1ad8270001c4f28d","47","high","0.956","0.9564142456522572","0.96875","1","4","100","constant","linear","1","1","1","3199","2026-02-22T07:08:27.289Z"
"5b5a822e1ad8270001c4f28d","7","low","0.954","0.9541166706053973","0.333984375","1","24","200","constant","diverging","1","1","1","7431","2026-02-22T07:08:34.739Z"
"5b5a822e1ad8270001c4f28d","25","medium","0.982","0.9818503584112268","0.265625","1","30","200","diverging","thermal","1","1","1","5565","2026-02-22T07:08:40.322Z"
"5b5a822e1ad8270001c4f28d","15","low","0.954","0.9547295185955114","1.125","1","31","200","thermal","thermal","0","0","1","4343","2026-02-22T07:08:44.671Z"
"5b5a822e1ad8270001c4f28d","18","medium","0.982","0.9822727374068406","0.6875","1","15","100","thermal","thermal","3","3","1","3290","2026-02-22T07:08:47.972Z"
"5b5a822e1ad8270001c4f28d","29","medium","0.982","0.9819351143749715","0.234375","1","14","100","diverging","thermal","2","0","0","3097","2026-02-22T07:08:51.091Z"
"5b5a822e1ad8270001c4f28d","34","high","0.956","0.9552757104812385","0.875","1","33","300","linear","constant","1","1","1","2131","2026-02-22T07:08:53.242Z"
"5b5a822e1ad8270001c4f28d","17","medium","0.982","0.9811302714615773","0.34375","1","43","300","thermal","diverging","2","2","1","5330","2026-02-22T07:08:58.595Z"
"5b5a822e1ad8270001c4f28d","40","high","0.956","0.9565287522962351","0.75","1","46","300","diverging","thermal","3","0","0","9995","2026-02-22T07:09:08.614Z"
"5b5a822e1ad8270001c4f28d","22","medium","0.982","0.9813253748100511","0.25","1","23","200","thermal","linear","3","3","1","10262","2026-02-22T07:09:18.899Z"
"5b5a822e1ad8270001c4f28d","23","medium","0.982","0.981772557808405","0.375","1","42","300","diverging","diverging","3","1","0","27328","2026-02-22T07:09:46.249Z"
"5b5a822e1ad8270001c4f28d","33","high","0.956","0.9560903809094056","0.5","1","40","300","constant","diverging","2","2","1","6830","2026-02-22T07:09:53.100Z"
"5b5a822e1ad8270001c4f28d","9001","medium","0.8","0.8351176551543207","6","0","47","300","thermal","thermal","0","0","1","3210","2026-02-22T07:09:56.332Z"
"5b5a822e1ad8270001c4f28d","42","high","0.956","0.9564759616141039","4","1","27","200","thermal","diverging","0","0","1","3679","2026-02-22T07:10:00.019Z"
"5b5a822e1ad8270001c4f28d","10","low","0.954","0.9533735523569836","5.4375","1","32","300","constant","constant","2","2","1","4292","2026-02-22T07:10:04.333Z"
"5b5a822e1ad8270001c4f28d","28","medium","0.982","0.982262805192053","0.21875","1","41","300","linear","diverging","1","3","0","3096","2026-02-22T07:10:07.449Z"
"5b5a822e1ad8270001c4f28d","2","low","0.954","0.9548324968529356","2.765625","1","39","300","thermal","linear","3","2","0","5577","2026-02-22T07:10:13.033Z"
"5b5a822e1ad8270001c4f28d","38","high","0.956","0.9552661561974807","0.25","1","19","200","thermal","constant","0","0","1","10729","2026-02-22T07:10:23.783Z"
"5b5a822e1ad8270001c4f28d","41","high","0.956","0.9557728811740007","0.390625","1","1","100","linear","constant","1","0","0","14809","2026-02-22T07:10:38.615Z"
