participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5beb38c9aec9ef0001e9c83d","24","medium","0.982","0.9825133439432997","0.125","1","46","300","diverging","thermal","1","1","1","22605","2026-02-22T07:10:17.308Z"
"5beb38c9aec9ef0001e9c83d","25","medium","0.982","0.9812733684072494","0.203125","1","1","100","linear","constant","2","2","1","16244","2026-02-22T07:10:33.577Z"
"5beb38c9aec9ef0001e9c83d","5","low","0.954","0.9533721094320073","0.234375","1","22","200","diverging","linear","3","3","1","89313","2026-02-22T07:12:03.005Z"
"5beb38c9aec9ef0001e9c83d","27","medium","0.982","0.9821219807151416","0.40625","1","2","100","diverging","constant","3","3","1","6309","2026-02-22T07:12:09.365Z"
"5beb38c9aec9ef0001e9c83d","37","high","0.956","0.9563870412695709","0.2109375","1","11","100","thermal","diverging","2","2","1","7835","2026-02-22T07:12:17.274Z"
"5beb38c9aec9ef0001e9c83d","19","medium","0.982","0.9823604066018994","0.53125","1","8","100","constant","diverging","0","0","1","30522","2026-02-22T07:12:47.861Z"
"5beb38c9aec9ef0001e9c83d","28","medium","0.982","0.9828486509802169","0.171875","1","28","200","constant","thermal","1","1","1","5854","2026-02-22T07:12:53.774Z"
"5beb38c9aec9ef0001e9c83d","29","medium","0.982","0.9814110790344808","0.15625","1","17","200","linear","constant","0","0","1","16599","2026-02-22T07:13:10.452Z"
"5beb38c9aec9ef0001e9c83d","3","low","0.954","0.9540516087204775","0.984375","1","37","300","linear","linear","3","3","1","26276","2026-02-22T07:13:36.763Z"
"5beb38c9aec9ef0001e9c83d","15","low","0.954","0.9534673335570245","9.09375","1","7","100","thermal","linear","2","2","1","103759","2026-02-22T07:15:20.595Z"
"5beb38c9aec9ef0001e9c83d","8","low","0.954","0.9542355866116293","3","1","47","300","thermal","thermal","2","2","1","141296","2026-02-22T07:17:41.959Z"
