participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5cde02d000d670000184ea3b","44","high","0.956","0.9561726317162019","0.40625","1","6","100","diverging","linear","3","3","1","8303","2026-02-22T07:05:46.370Z"
"5cde02d000d670000184ea3b","28","medium","0.982","0.9816390587207505","0.328125","1","28","200","constant","thermal","0","0","1","3291","2026-02-22T07:05:49.684Z"
"5cde02d000d670000184ea3b","31","medium","0.982","0.9811609326361322","0.375","1","4","100","constant","linear","1","1","1","7110","2026-02-22T07:05:56.816Z"
"5cde02d000d670000184ea3b","35","high","0.956","0.9569921909310292","1","1","18","200","diverging","constant","0","0","1","3746","2026-02-22T07:06:00.602Z"
"5cde02d000d670000184ea3b","30","medium","0.982","0.981707306764959","0.25","1","36","300","constant","linear","0","0","1","2876","2026-02-22T07:06:03.517Z"
"5cde02d000d670000184ea3b","2","low","0.954","0.9544559941459111","11.53125","1","15","100","thermal","thermal","0","0","1","17931","2026-02-22T07:06:21.476Z"
"5cde02d000d670000184ea3b","27","medium","0.982","0.9821243025180475","0.234375","1","2","100","diverging","constant","3","3","1","13979","2026-02-22T07:06:35.485Z"
"5cde02d000d670000184ea3b","13","low","0.954","0.9537721462593824","6.375","1","14","100","diverging","thermal","0","0","1","27081","2026-02-22T07:07:02.605Z"
"5cde02d000d670000184ea3b","6","low","0.954","0.9539499156690865","1.7578125","1","23","200","thermal","linear","0","0","1","20249","2026-02-22T07:07:22.886Z"
"5cde02d000d670000184ea3b","17","medium","0.982","0.9810036003542107","0.21875","1","40","300","constant","diverging","1","1","1","4403","2026-02-22T07:07:27.333Z"
"5cde02d000d670000184ea3b","14","low","0.954","0.9546631071907737","0.796875","1","20","200","constant","linear","0","0","1","8380","2026-02-22T07:07:35.742Z"
"5cde02d000d670000184ea3b","21","medium","0.982","0.9822123668278424","0.171875","1","26","200","diverging","diverging","0","0","1","3450","2026-02-22T07:07:39.226Z"
"5cde02d000d670000184ea3b","9000","medium","0.8","0.8426859381918869","7","0","47","300","thermal","thermal","1","1","1","3118","2026-02-22T07:07:42.370Z"
"5cde02d000d670000184ea3b","22","medium","0.982","0.9819790888393886","0.234375","1","19","200","thermal","constant","0","0","1","2650","2026-02-22T07:07:45.044Z"
"5cde02d000d670000184ea3b","40","high","0.956","0.9553025091408898","0.6875","1","5","100","linear","linear","1","1","1","2916","2026-02-22T07:07:47.986Z"
"5cde02d000d670000184ea3b","46","high","0.956","0.9561483728480381","0.375","1","9","100","linear","diverging","2","2","1","2636","2026-02-22T07:07:50.651Z"
"5cde02d000d670000184ea3b","23","medium","0.982","0.9828681757815186","0.234375","1","35","300","thermal","constant","2","2","1","2788","2026-02-22T07:07:53.454Z"
"5cde02d000d670000184ea3b","42","high","0.956","0.9569702471780818","6.125","1","32","300","constant","constant","3","3","1","2257","2026-02-22T07:07:55.744Z"
"5cde02d000d670000184ea3b","41","high","0.956","0.9555739342940059","0.5","1","13","100","linear","thermal","0","0","1","2230","2026-02-22T07:07:58.000Z"
"5cde02d000d670000184ea3b","36","high","0.956","0.9559225601051159","1.0625","1","21","200","linear","linear","0","0","1","1896","2026-02-22T07:07:59.917Z"
"5cde02d000d670000184ea3b","1","low","0.954","0.9541170205141931","0.65625","1","43","300","thermal","diverging","1","0","0","3727","2026-02-22T07:08:03.666Z"
"5cde02d000d670000184ea3b","15","low","0.954","0.9544262055123858","0.796875","1","7","100","thermal","linear","2","0","0","26810","2026-02-22T07:08:30.501Z"
"5cde02d000d670000184ea3b","48","high","0.956","0.9569283495772041","0.53125","1","29","200","linear","thermal","3","3","1","5791","2026-02-22T07:08:36.329Z"
"5cde02d000d670000184ea3b","20","medium","0.982","0.9814847849320489","0.8125","1","16","200","constant","constant","0","0","1","15331","2026-02-22T07:08:51.682Z"
"5cde02d000d670000184ea3b","34","high","0.956","0.9564994280498844","0.75","1","39","300","thermal","linear","0","0","1","2413","2026-02-22T07:08:54.118Z"
"5cde02d000d670000184ea3b","9001","medium","0.8","0.8190294463032224","6","0","47","300","thermal","thermal","2","2","1","5219","2026-02-22T07:08:59.360Z"
"5cde02d000d670000184ea3b","47","high","0.956","0.9566016691590252","1","1","31","200","thermal","thermal","2","2","1","2269","2026-02-22T07:09:01.651Z"
"5cde02d000d670000184ea3b","10","low","0.954","0.9530451472205553","0.38671875","1","45","300","linear","thermal","2","0","0","18624","2026-02-22T07:09:20.296Z"
"5cde02d000d670000184ea3b","29","medium","0.982","0.9823001584468298","0.140625","1","17","200","linear","constant","2","2","1","2647","2026-02-22T07:09:22.964Z"
"5cde02d000d670000184ea3b","32","medium","0.982","0.9811766924737785","0.3125","1","12","100","constant","thermal","0","1","0","13762","2026-02-22T07:09:36.743Z"
"5cde02d000d670000184ea3b","43","high","0.956","0.9559664127917893","0.8125","1","10","100","diverging","diverging","0","0","1","4222","2026-02-22T07:09:41.038Z"
"5cde02d000d670000184ea3b","11","low","0.954","0.9541661580772548","0.7734375","1","44","300","constant","thermal","1","1","1","2924","2026-02-22T07:09:43.983Z"
"5cde02d000d670000184ea3b","19","medium","0.982","0.9815472979751808","0.265625","1","8","100","constant","diverging","3","3","1","2999","2026-02-22T07:09:47.008Z"
"5cde02d000d670000184ea3b","33","high","0.956","0.9562211924652884","0.34375","1","0","100","constant","constant","2","2","1","4364","2026-02-22T07:09:51.394Z"
"5cde02d000d670000184ea3b","26","medium","0.982","0.9822014795737205","0.1171875","1","27","200","thermal","diverging","3","3","1","8791","2026-02-22T07:10:00.210Z"
"5cde02d000d670000184ea3b","8","low","0.954","0.9537501353532641","3","1","47","300","thermal","thermal","0","3","0","22605","2026-02-22T07:10:22.840Z"
"5cde02d000d670000184ea3b","37","high","0.956","0.9563458562624865","0.46875","1","11","100","thermal","diverging","2","2","1","3301","2026-02-22T07:10:26.165Z"
"5cde02d000d670000184ea3b","38","high","0.956","0.9555616819962559","0.46875","1","38","300","diverging","linear","2","2","1","2778","2026-02-22T07:10:28.969Z"
"5cde02d000d670000184ea3b","9002","medium","0.8","0.8005430256785631","6","0","47","300","thermal","thermal","1","1","1","4469","2026-02-22T07:10:33.469Z"
"5cde02d000d670000184ea3b","18","medium","0.982","0.9821579189279411","0.125","1","33","300","linear","constant","0","1","0","32269","2026-02-22T07:11:05.766Z"
"5cde02d000d670000184ea3b","24","medium","0.982","0.9816539251370419","0.1640625","1","46","300","diverging","thermal","3","3","1","3812","2026-02-22T07:11:09.629Z"
"5cde02d000d670000184ea3b","4","low","0.954","0.9530800703943798","0.890625","1","34","300","diverging","constant","3","3","1","7754","2026-02-22T07:11:17.415Z"
"5cde02d000d670000184ea3b","9","low","0.954","0.9538752244867679","1.20703125","1","30","200","diverging","thermal","1","3","0","5459","2026-02-22T07:11:22.887Z"
"5cde02d000d670000184ea3b","3","low","0.954","0.9536568206975726","0.50390625","1","37","300","linear","linear","0","0","1","10977","2026-02-22T07:11:33.871Z"
"5cde02d000d670000184ea3b","39","high","0.956","0.9563270385082253","0.4375","1","24","200","constant","diverging","2","3","0","3743","2026-02-22T07:11:37.621Z"
"5cde02d000d670000184ea3b","7","low","0.954","0.9539698550921839","0.421875","1","42","300","diverging","diverging","1","3","0","30360","2026-02-22T07:12:07.994Z"
"5cde02d000d670000184ea3b","16","low","0.954","0.9549561638986835","0.31640625","1","3","100","thermal","constant","2","2","1","14562","2026-02-22T07:12:22.573Z"
"5cde02d000d670000184ea3b","12","low","0.954","0.9535140088068319","0.275390625","1","41","300","linear","diverging","3","3","1","6129","2026-02-22T07:12:28.708Z"
"5cde02d000d670000184ea3b","5","low","0.954","0.9544824085815881","0.9375","1","22","200","diverging","linear","2","0","0","4214","2026-02-22T07:12:32.932Z"
"5cde02d000d670000184ea3b","25","medium","0.982","0.9822927560129096","0.1484375","1","1","100","linear","constant","3","0","0","4076","2026-02-22T07:12:37.018Z"
"5cde02d000d670000184ea3b","45","high","0.956","0.9561078124748459","0.1875","1","25","200","linear","diverging","0","0","1","3391","2026-02-22T07:12:40.416Z"
"5cde02d000d670000184ea3b","9003","medium","0.8","0.8578591892567711","4","0","47","300","thermal","thermal","2","2","1","3416","2026-02-22T07:12:43.858Z"
