participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5d153b1f40218700189a05df","15","low","0.954","0.9539999652448141","0.609375","1","31","200","thermal","thermal","3","3","1","3718","2026-02-22T07:05:53.545Z"
"5d153b1f40218700189a05df","3","low","0.954","0.9537064169497167","0.8203125","1","18","200","diverging","constant","0","0","1","4496","2026-02-22T07:05:58.055Z"
"5d153b1f40218700189a05df","25","medium","0.982","0.9818434924227333","0.5","1","30","200","diverging","thermal","1","1","1","7145","2026-02-22T07:06:08.229Z"
"5d153b1f40218700189a05df","40","high","0.956","0.95651847930938","0.25","1","46","300","diverging","thermal","1","1","1","2443","2026-02-22T07:06:10.688Z"
"5d153b1f40218700189a05df","43","high","0.956","0.9553270141307143","0.4375","1","2","100","diverging","constant","0","0","1","3252","2026-02-22T07:06:13.961Z"
"5d153b1f40218700189a05df","22","medium","0.982","0.9826097276209299","0.375","1","23","200","thermal","linear","0","0","1","3303","2026-02-22T07:06:22.951Z"
"5d153b1f40218700189a05df","5","low","0.954","0.9544444284009036","0.5859375","1","11","100","thermal","diverging","2","2","1","41841","2026-02-22T07:07:11.097Z"
"5d153b1f40218700189a05df","2","low","0.954","0.9539604982525473","0.62109375","1","39","300","thermal","linear","3","3","1","4046","2026-02-22T07:07:15.207Z"
"5d153b1f40218700189a05df","27","medium","0.982","0.9827364155457561","0.28125","1","44","300","constant","thermal","1","1","1","8965","2026-02-22T07:07:24.220Z"
"5d153b1f40218700189a05df","10","low","0.954","0.9537509077580772","1.125","1","32","300","constant","constant","0","0","1","2458","2026-02-22T07:07:26.729Z"
"5d153b1f40218700189a05df","42","high","0.956","0.9556669226900276","0.296875","1","27","200","thermal","diverging","0","0","1","2998","2026-02-22T07:07:29.777Z"
"5d153b1f40218700189a05df","41","high","0.956","0.9566480454458016","0.1875","1","1","100","linear","constant","0","0","1","20653","2026-02-22T07:07:50.476Z"
"5d153b1f40218700189a05df","9000","medium","0.8","0.8422081898978023","4","0","47","300","thermal","thermal","3","3","1","5503","2026-02-22T07:07:56.040Z"
"5d153b1f40218700189a05df","31","medium","0.982","0.9828492711224002","0.3125","1","7","100","thermal","linear","1","1","1","19221","2026-02-22T07:08:15.303Z"
"5d153b1f40218700189a05df","30","medium","0.982","0.9829684199427727","0.3125","1","20","200","constant","linear","1","1","1","6030","2026-02-22T07:08:21.382Z"
"5d153b1f40218700189a05df","24","medium","0.982","0.9814684231423731","0.40625","1","47","300","thermal","thermal","0","0","1","4741","2026-02-22T07:08:26.171Z"
"5d153b1f40218700189a05df","39","high","0.956","0.9563229316184021","0.375","1","35","300","thermal","constant","1","1","1","4171","2026-02-22T07:08:30.358Z"
"5d153b1f40218700189a05df","19","medium","0.982","0.9816038842590491","0.296875","1","37","300","linear","linear","3","2","0","48970","2026-02-22T07:09:19.377Z"
"5d153b1f40218700189a05df","7","low","0.954","0.9542282223615463","0.45703125","1","24","200","constant","diverging","3","3","1","8026","2026-02-22T07:09:27.462Z"
"5d153b1f40218700189a05df","44","high","0.956","0.9564760577021482","0.4375","1","28","200","constant","thermal","3","3","1","7440","2026-02-22T07:09:34.956Z"
"5d153b1f40218700189a05df","32","medium","0.982","0.9820552268142699","3.4375","1","3","100","thermal","constant","1","1","1","4031","2026-02-22T07:09:39.036Z"
"5d153b1f40218700189a05df","23","medium","0.982","0.9818080330225659","0.5625","1","42","300","diverging","diverging","2","2","1","2863","2026-02-22T07:09:41.944Z"
"5d153b1f40218700189a05df","16","low","0.954","0.9534384841843581","0.64453125","1","29","200","linear","thermal","2","2","1","5586","2026-02-22T07:09:47.580Z"
