participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5dd38420a71de83809342ca3","21","medium","0.982","0.9823301016094663","0.125","1","26","200","diverging","diverging","2","2","1","6289","2026-02-22T07:07:44.800Z"
"5dd38420a71de83809342ca3","33","high","0.956","0.9567048728980857","0.53125","1","0","100","constant","constant","1","1","1","11292","2026-02-22T07:07:56.116Z"
"5dd38420a71de83809342ca3","32","medium","0.982","0.981974562721327","0.28125","1","12","100","constant","thermal","3","3","1","3538","2026-02-22T07:07:59.668Z"
"5dd38420a71de83809342ca3","45","high","0.956","0.9555428106652014","0.34375","1","25","200","linear","diverging","3","3","1","2190","2026-02-22T07:08:01.864Z"
"5dd38420a71de83809342ca3","1","low","0.954","0.9546755298188031","0.75","1","43","300","thermal","diverging","2","2","1","7320","2026-02-22T07:08:09.192Z"
"5dd38420a71de83809342ca3","12","low","0.954","0.9541959903409297","0.421875","1","41","300","linear","diverging","2","1","0","4697","2026-02-22T07:08:13.900Z"
"5dd38420a71de83809342ca3","9","low","0.954","0.9535981931346394","1.4296875","1","30","200","diverging","thermal","3","3","1","12573","2026-02-22T07:08:26.504Z"
"5dd38420a71de83809342ca3","44","high","0.956","0.9557756845849424","0.96875","1","6","100","diverging","linear","2","2","1","5156","2026-02-22T07:08:31.712Z"
"5dd38420a71de83809342ca3","22","medium","0.982","0.9825543570991738","0.46875","1","19","200","thermal","constant","1","1","1","3833","2026-02-22T07:08:35.576Z"
"5dd38420a71de83809342ca3","20","medium","0.982","0.9810931752817229","0.140625","1","16","200","constant","constant","2","2","1","12992","2026-02-22T07:08:48.600Z"
"5dd38420a71de83809342ca3","46","high","0.956","0.9552833702574087","0.1875","1","9","100","linear","diverging","0","0","1","8342","2026-02-22T07:08:56.976Z"
"5dd38420a71de83809342ca3","16","low","0.954","0.9545787584985003","1.078125","1","3","100","thermal","constant","2","2","1","7236","2026-02-22T07:09:04.240Z"
"5dd38420a71de83809342ca3","9000","medium","0.8","0.8836962832854937","7.5","0","47","300","thermal","thermal","3","3","1","4358","2026-02-22T07:09:08.624Z"
"5dd38420a71de83809342ca3","29","medium","0.982","0.9819050943035854","0.34375","1","17","200","linear","constant","2","2","1","12329","2026-02-22T07:09:20.991Z"
"5dd38420a71de83809342ca3","36","high","0.956","0.9555649744160768","0.359375","1","21","200","linear","linear","3","3","1","2048","2026-02-22T07:09:23.067Z"
"5dd38420a71de83809342ca3","4","low","0.954","0.9539351196933914","0.7265625","1","34","300","diverging","constant","3","1","0","30927","2026-02-22T07:09:54.025Z"
"5dd38420a71de83809342ca3","31","medium","0.982","0.9818495901678541","0.1484375","1","4","100","constant","linear","3","3","1","13385","2026-02-22T07:10:07.423Z"
