participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5e8f53644b34ff22d9b3a1c5","43","high","0.956","0.9558022316671205","0.875","1","44","300","constant","thermal","3","3","1","3550","2026-02-22T01:29:32.580Z"
"5e8f53644b34ff22d9b3a1c5","40","high","0.956","0.9561458600560075","0.375","1","47","300","thermal","thermal","3","3","1","3378","2026-02-22T01:29:35.987Z"
"5e8f53644b34ff22d9b3a1c5","21","medium","0.982","0.9817266720518272","0.296875","1","11","100","thermal","diverging","1","1","1","13581","2026-02-22T01:29:49.585Z"
"5e8f53644b34ff22d9b3a1c5","39","high","0.956","0.9555257696640977","0.5","1","42","300","diverging","diverging","1","1","1","3725","2026-02-22T01:29:53.327Z"
"5e8f53644b34ff22d9b3a1c5","20","medium","0.982","0.9820345912768366","0.2109375","1","21","200","linear","linear","2","2","1","4395","2026-02-22T01:29:57.742Z"
"5e8f53644b34ff22d9b3a1c5","25","medium","0.982","0.9823114105113989","0.3125","1","13","100","linear","thermal","1","1","1","4052","2026-02-22T01:30:01.866Z"
"5e8f53644b34ff22d9b3a1c5","27","medium","0.982","0.9823105124959709","0.171875","1","10","100","diverging","diverging","1","2","0","94479","2026-02-22T01:31:36.399Z"
"5e8f53644b34ff22d9b3a1c5","30","medium","0.982","0.9821790667666254","0.21875","1","9","100","linear","diverging","1","1","1","5223","2026-02-22T01:31:41.690Z"
"5e8f53644b34ff22d9b3a1c5","45","high","0.956","0.9565770624748906","0.625","1","14","100","diverging","thermal","1","1","1","4099","2026-02-22T01:31:45.827Z"
"5e8f53644b34ff22d9b3a1c5","44","high","0.956","0.9567147651575093","0.34375","1","41","300","linear","diverging","0","0","1","4016","2026-02-22T01:31:49.903Z"
"5e8f53644b34ff22d9b3a1c5","34","high","0.956","0.9558027602562433","0.3359375","1","15","100","thermal","thermal","2","2","1","3543","2026-02-22T01:31:53.496Z"
"5e8f53644b34ff22d9b3a1c5","19","medium","0.982","0.9817265439901907","0.1015625","1","18","200","diverging","constant","3","3","1","9405","2026-02-22T01:32:02.959Z"
"5e8f53644b34ff22d9b3a1c5","9000","medium","0.8","0.8474508359914378","7","0","47","300","thermal","thermal","1","1","1","2821","2026-02-22T01:32:05.830Z"
"5e8f53644b34ff22d9b3a1c5","37","high","0.956","0.955178124703114","2","1","22","200","diverging","linear","0","0","1","3215","2026-02-22T01:32:09.083Z"
"5e8f53644b34ff22d9b3a1c5","8","low","0.954","0.9530639664805047","0.375","1","46","300","diverging","thermal","1","0","0","4912","2026-02-22T01:32:14.031Z"
"5e8f53644b34ff22d9b3a1c5","7","low","0.954","0.9546500669225643","0.5859375","1","35","300","thermal","constant","1","0","0","12328","2026-02-22T01:32:26.399Z"
"5e8f53644b34ff22d9b3a1c5","31","medium","0.982","0.9822491296431209","0.1171875","1","31","200","thermal","thermal","2","3","0","21727","2026-02-22T01:32:48.150Z"
"5e8f53644b34ff22d9b3a1c5","29","medium","0.982","0.9821931618011075","0.203125","1","25","200","linear","diverging","0","1","0","11807","2026-02-22T01:33:00.018Z"
"5e8f53644b34ff22d9b3a1c5","23","medium","0.982","0.9826057827818011","0.1328125","1","24","200","constant","diverging","2","2","1","8890","2026-02-22T01:33:08.962Z"
"5e8f53644b34ff22d9b3a1c5","22","medium","0.982","0.9827085863919719","0.25","1","38","300","diverging","linear","2","2","1","5204","2026-02-22T01:33:14.209Z"
"5e8f53644b34ff22d9b3a1c5","33","high","0.956","0.9552777666583728","0.34375","1","43","300","thermal","diverging","2","2","1","6886","2026-02-22T01:33:21.140Z"
"5e8f53644b34ff22d9b3a1c5","12","low","0.954","0.9543735085515908","10.5","1","28","200","constant","thermal","0","0","1","8814","2026-02-22T01:33:30.000Z"
"5e8f53644b34ff22d9b3a1c5","6","low","0.954","0.9542585530792379","1.21875","1","19","200","thermal","constant","0","0","1","6376","2026-02-22T01:33:36.411Z"
"5e8f53644b34ff22d9b3a1c5","26","medium","0.982","0.98198395268861","0.1875","1","32","300","constant","constant","3","3","1","4539","2026-02-22T01:33:41.004Z"
"5e8f53644b34ff22d9b3a1c5","11","low","0.954","0.9536860123512637","6","1","2","100","diverging","constant","0","0","1","4962","2026-02-22T01:33:46.016Z"
"5e8f53644b34ff22d9b3a1c5","9001","medium","0.8","0.8395449205408045","7.5","0","47","300","thermal","thermal","0","0","1","2361","2026-02-22T01:33:48.440Z"
"5e8f53644b34ff22d9b3a1c5","9","low","0.954","0.9538175304717724","11.53125","1","1","100","linear","constant","1","1","1","8135","2026-02-22T01:33:56.627Z"
"5e8f53644b34ff22d9b3a1c5","15","low","0.954","0.9536956867443676","0.75","1","4","100","constant","linear","1","1","1","8391","2026-02-22T01:34:05.060Z"
"5e8f53644b34ff22d9b3a1c5","13","low","0.954","0.9547869795021585","0.36328125","1","17","200","linear","constant","0","1","0","17014","2026-02-22T01:34:22.127Z"
"5e8f53644b34ff22d9b3a1c5","36","high","0.956","0.9558763135368766","0.46875","1","34","300","diverging","constant","2","2","1","3129","2026-02-22T01:34:25.274Z"
"5e8f53644b34ff22d9b3a1c5","1","low","0.954","0.9531293540257447","3","1","40","300","constant","diverging","2","2","1","9248","2026-02-22T01:34:34.556Z"
"5e8f53644b34ff22d9b3a1c5","17","medium","0.982","0.9829607968617029","0.28125","1","0","100","constant","constant","1","1","1","3795","2026-02-22T01:34:38.393Z"
"5e8f53644b34ff22d9b3a1c5","14","low","0.954","0.9532252725149709","3.75","1","36","300","constant","linear","3","3","1","6697","2026-02-22T01:34:45.136Z"
"5e8f53644b34ff22d9b3a1c5","42","high","0.956","0.9554874213995379","0.21875","1","45","300","linear","thermal","2","2","1","4301","2026-02-22T01:34:49.515Z"
"5e8f53644b34ff22d9b3a1c5","3","low","0.954","0.9541162491341427","0.703125","1","8","100","constant","diverging","1","1","1","5678","2026-02-22T01:34:55.244Z"
