participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5f4a7a00dc1bde60ab8f7ac5","7","low","0.954","0.9540141314909355","0.45703125","1","24","200","constant","diverging","0","0","1","2570","2026-02-22T05:30:30.347Z"
"5f4a7a00dc1bde60ab8f7ac5","19","medium","0.982","0.9816689544763653","0.40625","1","37","300","linear","linear","0","0","1","2082","2026-02-22T05:30:32.434Z"
"5f4a7a00dc1bde60ab8f7ac5","2","low","0.954","0.9547007171792374","1.21875","1","39","300","thermal","linear","2","2","1","3025","2026-02-22T05:30:35.466Z"
"5f4a7a00dc1bde60ab8f7ac5","43","high","0.956","0.956505713438821","7.5","1","2","100","diverging","constant","1","1","1","2630","2026-02-22T05:30:38.100Z"
"5f4a7a00dc1bde60ab8f7ac5","9","low","0.954","0.9532300744712527","0.5859375","1","13","100","linear","thermal","0","0","1","4315","2026-02-22T05:30:42.420Z"
"5f4a7a00dc1bde60ab8f7ac5","26","medium","0.982","0.9814839119889671","0.171875","1","45","300","linear","thermal","0","0","1","2623","2026-02-22T05:30:45.057Z"
"5f4a7a00dc1bde60ab8f7ac5","21","medium","0.982","0.9820025025209465","0.203125","1","22","200","diverging","linear","0","0","1","3691","2026-02-22T05:30:48.762Z"
"5f4a7a00dc1bde60ab8f7ac5","44","high","0.956","0.9555469773951114","0.625","1","28","200","constant","thermal","0","0","1","1606","2026-02-22T05:30:50.381Z"
"5f4a7a00dc1bde60ab8f7ac5","22","medium","0.982","0.9824418557496943","0.1875","1","23","200","thermal","linear","3","3","1","4104","2026-02-22T05:30:54.500Z"
"5f4a7a00dc1bde60ab8f7ac5","24","medium","0.982","0.9819937202983503","0.375","1","47","300","thermal","thermal","1","1","1","3674","2026-02-22T05:30:58.185Z"
"5f4a7a00dc1bde60ab8f7ac5","1","low","0.954","0.9532180403868639","0.515625","1","0","100","constant","constant","0","0","1","4332","2026-02-22T05:31:02.530Z"
"5f4a7a00dc1bde60ab8f7ac5","13","low","0.954","0.9538688620541629","0.64453125","1","25","200","linear","diverging","2","0","0","3355","2026-02-22T05:31:05.898Z"
"5f4a7a00dc1bde60ab8f7ac5","9000","medium","0.8","0.8638147244484314","7.96875","0","47","300","thermal","thermal","0","0","1","1583","2026-02-22T05:31:07.492Z"
"5f4a7a00dc1bde60ab8f7ac5","4","low","0.954","0.9546197072569352","5.8125","1","21","200","linear","linear","3","3","1","4148","2026-02-22T05:31:11.650Z"
"5f4a7a00dc1bde60ab8f7ac5","32","medium","0.982","0.9813007725289498","0.1328125","1","3","100","thermal","constant","3","3","1","3536","2026-02-22T05:31:15.198Z"
"5f4a7a00dc1bde60ab8f7ac5","12","low","0.954","0.9540077895374994","1.921875","1","6","100","diverging","linear","2","3","0","1390","2026-02-22T05:31:16.600Z"
"5f4a7a00dc1bde60ab8f7ac5","6","low","0.954","0.9534506300202585","1.3828125","1","38","300","diverging","linear","1","3","0","4426","2026-02-22T05:31:21.031Z"
"5f4a7a00dc1bde60ab8f7ac5","38","high","0.956","0.9553001676561349","0.625","1","19","200","thermal","constant","1","1","1","1335","2026-02-22T05:31:22.377Z"
"5f4a7a00dc1bde60ab8f7ac5","28","medium","0.982","0.982988268241541","0.5","1","41","300","linear","diverging","1","1","1","3115","2026-02-22T05:31:25.504Z"
"5f4a7a00dc1bde60ab8f7ac5","42","high","0.956","0.9565331015258657","0.65625","1","27","200","thermal","diverging","0","0","1","1884","2026-02-22T05:31:27.402Z"
"5f4a7a00dc1bde60ab8f7ac5","41","high","0.956","0.955691806413184","0.21875","1","1","100","linear","constant","2","2","1","2536","2026-02-22T05:31:29.949Z"
"5f4a7a00dc1bde60ab8f7ac5","18","medium","0.982","0.9819991838421923","0.59375","1","15","100","thermal","thermal","3","3","1","5162","2026-02-22T05:31:35.124Z"
