participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"5fefefa4c9707d3516361c9c","40","high","0.956","0.9562991504291928","0.5625","1","46","300","diverging","thermal","3","3","1","4044","2026-02-22T01:38:56.575Z"
"5fefefa4c9707d3516361c9c","20","medium","0.982","0.9814231790949604","0.40625","1","34","300","diverging","constant","2","2","1","2376","2026-02-22T01:38:58.961Z"
"5fefefa4c9707d3516361c9c","9","low","0.954","0.9549512019411047","9","1","13","100","linear","thermal","1","2","0","8006","2026-02-22T01:39:06.981Z"
"5fefefa4c9707d3516361c9c","37","high","0.956","0.9557113113375814","1.1875","1","26","200","diverging","diverging","1","1","1","2368","2026-02-22T01:39:09.361Z"
"5fefefa4c9707d3516361c9c","6","low","0.954","0.9535398741775283","0.41015625","1","38","300","diverging","linear","2","2","1","5379","2026-02-22T01:39:14.750Z"
"5fefefa4c9707d3516361c9c","7","low","0.954","0.9542757451466648","0.796875","1","24","200","constant","diverging","1","1","1","4439","2026-02-22T01:39:19.216Z"
"5fefefa4c9707d3516361c9c","48","high","0.956","0.9560579545854331","1.25","1","12","100","constant","thermal","1","1","1","3645","2026-02-22T01:39:22.882Z"
"5fefefa4c9707d3516361c9c","16","low","0.954","0.9541932331027996","0.609375","1","29","200","linear","thermal","1","1","1","5619","2026-02-22T01:39:28.560Z"
"5fefefa4c9707d3516361c9c","29","medium","0.982","0.9820050889155658","0.21875","1","14","100","diverging","thermal","2","2","1","7044","2026-02-22T01:39:35.635Z"
"5fefefa4c9707d3516361c9c","22","medium","0.982","0.9819351391736282","0.1953125","1","23","200","thermal","linear","2","0","0","3703","2026-02-22T01:39:39.378Z"
"5fefefa4c9707d3516361c9c","11","low","0.954","0.9535785147877738","0.3515625","1","10","100","diverging","diverging","0","1","0","5836","2026-02-22T01:39:45.245Z"
"5fefefa4c9707d3516361c9c","26","medium","0.982","0.9819345902979718","0.9375","1","45","300","linear","thermal","3","3","1","6018","2026-02-22T01:39:51.296Z"
"5fefefa4c9707d3516361c9c","9000","medium","0.8","0.8872903211811812","7.96875","0","47","300","thermal","thermal","1","1","1","7271","2026-02-22T01:39:58.599Z"
"5fefefa4c9707d3516361c9c","42","high","0.956","0.9555085474628102","0.4375","1","27","200","thermal","diverging","2","2","1","4822","2026-02-22T01:40:03.451Z"
"5fefefa4c9707d3516361c9c","15","low","0.954","0.9544754980412218","1.5","1","31","200","thermal","thermal","3","3","1","11306","2026-02-22T01:40:14.789Z"
"5fefefa4c9707d3516361c9c","32","medium","0.982","0.981842512155873","0.15625","1","3","100","thermal","constant","3","3","1","5627","2026-02-22T01:40:20.445Z"
"5fefefa4c9707d3516361c9c","30","medium","0.982","0.9810209567064834","0.078125","1","20","200","constant","linear","3","0","0","8409","2026-02-22T01:40:28.865Z"
"5fefefa4c9707d3516361c9c","24","medium","0.982","0.981496844275757","0.1875","1","47","300","thermal","thermal","3","2","0","23461","2026-02-22T01:40:52.365Z"
"5fefefa4c9707d3516361c9c","4","low","0.954","0.9535968777185626","0.703125","1","21","200","linear","linear","3","1","0","6535","2026-02-22T01:40:58.935Z"
"5fefefa4c9707d3516361c9c","46","high","0.956","0.9557987496740894","4","1","36","300","constant","linear","3","3","1","3080","2026-02-22T01:41:02.071Z"
"5fefefa4c9707d3516361c9c","45","high","0.956","0.9555390202773797","0.12109375","1","17","200","linear","constant","0","0","1","2260","2026-02-22T01:41:04.365Z"
"5fefefa4c9707d3516361c9c","28","medium","0.982","0.9811953349564928","0.21875","1","41","300","linear","diverging","1","0","0","4535","2026-02-22T01:41:08.933Z"
"5fefefa4c9707d3516361c9c","38","high","0.956","0.9560573529157046","3","1","19","200","thermal","constant","1","1","1","4513","2026-02-22T01:41:13.479Z"
"5fefefa4c9707d3516361c9c","34","high","0.956","0.9566928422095778","0.328125","1","33","300","linear","constant","2","2","1","11901","2026-02-22T01:41:25.415Z"
"5fefefa4c9707d3516361c9c","17","medium","0.982","0.9824901174525734","0.140625","1","43","300","thermal","diverging","1","3","0","8790","2026-02-22T01:41:34.239Z"
"5fefefa4c9707d3516361c9c","9001","medium","0.8","0.8759538150237953","7","0","47","300","thermal","thermal","0","0","1","2084","2026-02-22T01:41:36.351Z"
"5fefefa4c9707d3516361c9c","44","high","0.956","0.9563022682423287","0.5","1","28","200","constant","thermal","1","1","1","2740","2026-02-22T01:41:39.123Z"
"5fefefa4c9707d3516361c9c","23","medium","0.982","0.9821643717507715","0.140625","1","42","300","diverging","diverging","2","2","1","4503","2026-02-22T01:41:43.661Z"
"5fefefa4c9707d3516361c9c","21","medium","0.982","0.981933229259891","0.1328125","1","22","200","diverging","linear","0","0","1","7929","2026-02-22T01:41:51.625Z"
"5fefefa4c9707d3516361c9c","39","high","0.956","0.9564355006478905","0.21875","1","35","300","thermal","constant","3","3","1","1823","2026-02-22T01:41:53.461Z"
"5fefefa4c9707d3516361c9c","1","low","0.954","0.953549767244515","2.15625","1","0","100","constant","constant","3","3","1","3224","2026-02-22T01:41:56.713Z"
"5fefefa4c9707d3516361c9c","43","high","0.956","0.9569203771918303","0.75","1","2","100","diverging","constant","1","1","1","26442","2026-02-22T01:42:23.187Z"
"5fefefa4c9707d3516361c9c","18","medium","0.982","0.9822044522019799","0.5625","1","15","100","thermal","thermal","2","2","1","63774","2026-02-22T01:43:26.999Z"
"5fefefa4c9707d3516361c9c","47","high","0.956","0.9555700580810955","0.734375","1","4","100","constant","linear","3","3","1","118369","2026-02-22T01:45:25.413Z"
"5fefefa4c9707d3516361c9c","5","low","0.954","0.9548970376172768","1.828125","1","11","100","thermal","diverging","3","3","1","5415","2026-02-22T01:45:30.873Z"
"5fefefa4c9707d3516361c9c","27","medium","0.982","0.9811127918001559","0.28125","1","44","300","constant","thermal","1","3","0","18848","2026-02-22T01:45:49.750Z"
"5fefefa4c9707d3516361c9c","25","medium","0.982","0.9818679554356647","0.1484375","1","30","200","diverging","thermal","0","0","1","7034","2026-02-22T01:45:56.817Z"
"5fefefa4c9707d3516361c9c","31","medium","0.982","0.9829188666854379","0.375","1","7","100","thermal","linear","0","0","1","6095","2026-02-22T01:46:02.965Z"
"5fefefa4c9707d3516361c9c","9002","medium","0.8","0.85363238478852","4","0","47","300","thermal","thermal","1","1","1","5134","2026-02-22T01:46:08.139Z"
"5fefefa4c9707d3516361c9c","14","low","0.954","0.954040464681182","0.7734375","1","9","100","linear","diverging","2","3","0","3394","2026-02-22T01:46:11.567Z"
"5fefefa4c9707d3516361c9c","3","low","0.954","0.9537599534963656","0.8203125","1","18","200","diverging","constant","1","1","1","5658","2026-02-22T01:46:17.257Z"
"5fefefa4c9707d3516361c9c","12","low","0.954","0.9541486964266671","0.38671875","1","6","100","diverging","linear","2","0","0","5902","2026-02-22T01:46:23.189Z"
"5fefefa4c9707d3516361c9c","8","low","0.954","0.9531950781751879","2.7421875","1","5","100","linear","linear","2","3","0","10202","2026-02-22T01:46:33.407Z"
"5fefefa4c9707d3516361c9c","35","high","0.956","0.9563559328008927","0.359375","1","8","100","constant","diverging","1","1","1","3314","2026-02-22T01:46:36.733Z"
"5fefefa4c9707d3516361c9c","19","medium","0.982","0.9821139776564907","0.234375","1","37","300","linear","linear","2","3","0","29427","2026-02-22T01:47:06.169Z"
"5fefefa4c9707d3516361c9c","41","high","0.956","0.9555353390221478","0.78125","1","1","100","linear","constant","1","1","1","1963","2026-02-22T01:47:08.145Z"
"5fefefa4c9707d3516361c9c","33","high","0.956","0.955772186897183","0.875","1","40","300","constant","diverging","1","2","0","6058","2026-02-22T01:47:14.213Z"
"5fefefa4c9707d3516361c9c","2","low","0.954","0.9534312017166149","1.03125","1","39","300","thermal","linear","3","1","0","5876","2026-02-22T01:47:20.097Z"
"5fefefa4c9707d3516361c9c","10","low","0.954","0.9544974787814826","0.26953125","1","32","300","constant","constant","2","2","1","3921","2026-02-22T01:47:24.029Z"
"5fefefa4c9707d3516361c9c","13","low","0.954","0.9542650820014839","0.75","1","25","200","linear","diverging","0","2","0","12572","2026-02-22T01:47:36.611Z"
"5fefefa4c9707d3516361c9c","36","high","0.956","0.955805999656842","0.328125","1","16","200","constant","constant","2","2","1","2517","2026-02-22T01:47:39.141Z"
"5fefefa4c9707d3516361c9c","9003","medium","0.8","0.8405135543064828","7","0","47","300","thermal","thermal","1","1","1","2387","2026-02-22T01:47:41.537Z"
