participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"60f2a2b4932fed5326988e0f","8","low","0.954","0.9536366953997147","0.890625","1","5","100","linear","linear","2","0","0","1947","2026-02-22T07:05:30.778Z"
"60f2a2b4932fed5326988e0f","22","medium","0.982","0.9823174045511396","0.1875","1","23","200","thermal","linear","1","3","0","3549","2026-02-22T07:05:34.336Z"
"60f2a2b4932fed5326988e0f","16","low","0.954","0.9538751554176058","1.125","1","29","200","linear","thermal","0","0","1","1745","2026-02-22T07:05:36.087Z"
"60f2a2b4932fed5326988e0f","1","low","0.954","0.9542067614423381","0.64453125","1","0","100","constant","constant","2","0","0","2589","2026-02-22T07:05:38.678Z"
"60f2a2b4932fed5326988e0f","34","high","0.956","0.9562720107830414","0.9375","1","33","300","linear","constant","2","2","1","2508","2026-02-22T07:05:41.199Z"
"60f2a2b4932fed5326988e0f","10","low","0.954","0.9549372222340499","0.75","1","32","300","constant","constant","0","0","1","2565","2026-02-22T07:05:43.790Z"
"60f2a2b4932fed5326988e0f","40","high","0.956","0.9550254541199718","0.375","1","46","300","diverging","thermal","2","2","1","1893","2026-02-22T07:05:45.709Z"
"60f2a2b4932fed5326988e0f","26","medium","0.982","0.9814797268009643","0.21875","1","45","300","linear","thermal","0","0","1","2490","2026-02-22T07:05:48.227Z"
"60f2a2b4932fed5326988e0f","18","medium","0.982","0.9815106278610579","0.6875","1","15","100","thermal","thermal","3","1","0","2602","2026-02-22T07:05:50.866Z"
"60f2a2b4932fed5326988e0f","44","high","0.956","0.9567993299615055","5","1","28","200","constant","thermal","0","0","1","1896","2026-02-22T07:05:52.804Z"
"60f2a2b4932fed5326988e0f","5","low","0.954","0.9534761656642966","0.9375","1","11","100","thermal","diverging","1","3","0","3687","2026-02-22T07:05:56.521Z"
"60f2a2b4932fed5326988e0f","48","high","0.956","0.9551212980125267","0.75","1","12","100","constant","thermal","3","3","1","1761","2026-02-22T07:05:58.311Z"
"60f2a2b4932fed5326988e0f","9000","medium","0.8","0.8521447432446401","4","0","47","300","thermal","thermal","2","2","1","1772","2026-02-22T07:06:00.110Z"
"60f2a2b4932fed5326988e0f","25","medium","0.982","0.9828045311230963","0.140625","1","30","200","diverging","thermal","0","3","0","2982","2026-02-22T07:06:03.117Z"
"60f2a2b4932fed5326988e0f","30","medium","0.982","0.9817285613882015","0.140625","1","20","200","constant","linear","0","0","1","2914","2026-02-22T07:06:06.059Z"
"60f2a2b4932fed5326988e0f","14","low","0.954","0.9542316088943188","1.359375","1","9","100","linear","diverging","2","1","0","3498","2026-02-22T07:06:09.587Z"
"60f2a2b4932fed5326988e0f","28","medium","0.982","0.9813695791532051","0.5","1","41","300","linear","diverging","0","0","1","2043","2026-02-22T07:06:11.640Z"
"60f2a2b4932fed5326988e0f","47","high","0.956","0.9563646087386461","1","1","4","100","constant","linear","3","3","1","2980","2026-02-22T07:06:14.647Z"
"60f2a2b4932fed5326988e0f","13","low","0.954","0.9546432920408213","9","1","25","200","linear","diverging","2","1","0","3444","2026-02-22T07:06:18.120Z"
"60f2a2b4932fed5326988e0f","39","high","0.956","0.9558216522238634","0.203125","1","35","300","thermal","constant","3","1","0","3648","2026-02-22T07:06:21.796Z"
"60f2a2b4932fed5326988e0f","17","medium","0.982","0.9822721512920134","0.234375","1","43","300","thermal","diverging","2","1","0","3061","2026-02-22T07:06:24.885Z"
"60f2a2b4932fed5326988e0f","27","medium","0.982","0.9822808700374459","0.1484375","1","44","300","constant","thermal","1","1","1","2880","2026-02-22T07:06:27.793Z"
"60f2a2b4932fed5326988e0f","3","low","0.954","0.9545154591388834","9","1","18","200","diverging","constant","3","2","0","3594","2026-02-22T07:06:31.415Z"
"60f2a2b4932fed5326988e0f","32","medium","0.982","0.9822924626951495","0.0703125","1","3","100","thermal","constant","1","1","1","3499","2026-02-22T07:06:34.942Z"
"60f2a2b4932fed5326988e0f","23","medium","0.982","0.9820552836839584","0.1171875","1","42","300","diverging","diverging","2","2","1","5055","2026-02-22T07:06:40.022Z"
"60f2a2b4932fed5326988e0f","9001","medium","0.8","0.8585012191017506","4","0","47","300","thermal","thermal","0","0","1","3649","2026-02-22T07:06:43.699Z"
"60f2a2b4932fed5326988e0f","41","high","0.956","0.9552692155846958","0.3125","1","1","100","linear","constant","3","3","1","2066","2026-02-22T07:06:45.793Z"
"60f2a2b4932fed5326988e0f","37","high","0.956","0.955004078623011","1.125","1","26","200","diverging","diverging","0","0","1","3708","2026-02-22T07:06:49.527Z"
"60f2a2b4932fed5326988e0f","7","low","0.954","0.9549837368372502","0.6796875","1","24","200","constant","diverging","3","2","0","4507","2026-02-22T07:06:54.062Z"
"60f2a2b4932fed5326988e0f","46","high","0.956","0.9557069530571093","0.625","1","36","300","constant","linear","3","3","1","1693","2026-02-22T07:06:55.764Z"
"60f2a2b4932fed5326988e0f","45","high","0.956","0.9568137019733906","0.3125","1","17","200","linear","constant","3","3","1","3744","2026-02-22T07:06:59.531Z"
"60f2a2b4932fed5326988e0f","38","high","0.956","0.9561468895364166","0.2265625","1","19","200","thermal","constant","0","0","1","3027","2026-02-22T07:07:02.586Z"
"60f2a2b4932fed5326988e0f","2","low","0.954","0.9535201226771461","7.5","1","39","300","thermal","linear","0","1","0","4217","2026-02-22T07:07:06.831Z"
"60f2a2b4932fed5326988e0f","11","low","0.954","0.9534496051297563","1.453125","1","10","100","diverging","diverging","1","3","0","4114","2026-02-22T07:07:10.973Z"
"60f2a2b4932fed5326988e0f","12","low","0.954","0.9536996910723936","0.345703125","1","6","100","diverging","linear","0","0","1","4121","2026-02-22T07:07:15.118Z"
"60f2a2b4932fed5326988e0f","31","medium","0.982","0.9824892438819279","0.625","1","7","100","thermal","linear","3","3","1","2107","2026-02-22T07:07:17.252Z"
"60f2a2b4932fed5326988e0f","15","low","0.954","0.9538178804858991","11.34375","1","31","200","thermal","thermal","2","0","0","3623","2026-02-22T07:07:20.905Z"
"60f2a2b4932fed5326988e0f","36","high","0.956","0.9563868515856854","0.3125","1","16","200","constant","constant","2","2","1","2194","2026-02-22T07:07:23.129Z"
"60f2a2b4932fed5326988e0f","9002","medium","0.8","0.8466901997483824","7.999992370605469","0","47","300","thermal","thermal","3","3","1","1964","2026-02-22T07:07:25.120Z"
"60f2a2b4932fed5326988e0f","9","low","0.954","0.954080159589818","0.890625","1","13","100","linear","thermal","3","2","0","3339","2026-02-22T07:07:28.485Z"
"60f2a2b4932fed5326988e0f","4","low","0.954","0.9544129721147381","0.796875","1","21","200","linear","linear","0","0","1","4475","2026-02-22T07:07:32.987Z"
"60f2a2b4932fed5326988e0f","20","medium","0.982","0.9818239072219587","0.1875","1","34","300","diverging","constant","3","3","1","5115","2026-02-22T07:07:38.130Z"
"60f2a2b4932fed5326988e0f","33","high","0.956","0.9552915188855524","0.8125","1","40","300","constant","diverging","2","2","1","3391","2026-02-22T07:07:41.528Z"
"60f2a2b4932fed5326988e0f","19","medium","0.982","0.9821511402773507","0.1484375","1","37","300","linear","linear","2","2","1","2590","2026-02-22T07:07:44.126Z"
"60f2a2b4932fed5326988e0f","6","low","0.954","0.9538107121573112","1.6875","1","38","300","diverging","linear","0","2","0","6120","2026-02-22T07:07:50.253Z"
"60f2a2b4932fed5326988e0f","24","medium","0.982","0.9815819008671247","0.203125","1","47","300","thermal","thermal","0","0","1","2679","2026-02-22T07:07:52.939Z"
"60f2a2b4932fed5326988e0f","42","high","0.956","0.9567733622358577","2","1","27","200","thermal","diverging","0","0","1","2506","2026-02-22T07:07:55.453Z"
"60f2a2b4932fed5326988e0f","21","medium","0.982","0.9820860138456566","0.15625","1","22","200","diverging","linear","2","2","1","3775","2026-02-22T07:07:59.235Z"
"60f2a2b4932fed5326988e0f","43","high","0.956","0.9556095825914488","0.875","1","2","100","diverging","constant","0","0","1","2013","2026-02-22T07:08:01.255Z"
"60f2a2b4932fed5326988e0f","35","high","0.956","0.9562930462752445","0.6875","1","8","100","constant","diverging","0","0","1","2679","2026-02-22T07:08:03.942Z"
"60f2a2b4932fed5326988e0f","29","medium","0.982","0.9813166327621109","0.4375","1","14","100","diverging","thermal","1","1","1","3215","2026-02-22T07:08:07.164Z"
"60f2a2b4932fed5326988e0f","9003","medium","0.8","0.8725150188708958","4","0","47","300","thermal","thermal","2","2","1","1136","2026-02-22T07:08:08.308Z"
