participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6110e61635b5f414d41265d6","31","medium","0.982","0.9819734799026746","0.109375","1","31","200","thermal","thermal","0","1","0","8815","2026-02-22T01:41:30.934Z"
"6110e61635b5f414d41265d6","2","low","0.954","0.9546495526617451","0.6796875","1","33","300","linear","constant","1","0","0","6792","2026-02-22T01:41:37.750Z"
"6110e61635b5f414d41265d6","16","low","0.954","0.9539486881543928","5.25","1","12","100","constant","thermal","0","0","1","5302","2026-02-22T01:41:43.069Z"
"6110e61635b5f414d41265d6","4","low","0.954","0.9543178665708767","1.265625","1","16","200","constant","constant","1","0","0","2220","2026-02-22T01:41:45.299Z"
"6110e61635b5f414d41265d6","10","low","0.954","0.9547359414504842","10.6875","1","27","200","thermal","diverging","0","1","0","1211","2026-02-22T01:41:46.517Z"
"6110e61635b5f414d41265d6","7","low","0.954","0.9534118762252638","0.984375","1","35","300","thermal","constant","2","1","0","1774","2026-02-22T01:41:48.299Z"
"6110e61635b5f414d41265d6","30","medium","0.982","0.9821411917284159","0.265625","1","9","100","linear","diverging","2","2","1","2647","2026-02-22T01:41:52.549Z"
"6110e61635b5f414d41265d6","47","high","0.956","0.9563749280622343","0.875","1","7","100","thermal","linear","2","2","1","2020","2026-02-22T01:41:54.601Z"
"6110e61635b5f414d41265d6","21","medium","0.982","0.9829817915865143","0.1875","1","11","100","thermal","diverging","0","3","0","2851","2026-02-22T01:41:57.467Z"
"6110e61635b5f414d41265d6","18","medium","0.982","0.9822702298696817","0.328125","1","39","300","thermal","linear","2","2","1","5087","2026-02-22T01:42:02.566Z"
"6110e61635b5f414d41265d6","35","high","0.956","0.9552903461811727","0.65625","1","37","300","linear","linear","0","0","1","2502","2026-02-22T01:42:05.118Z"
"6110e61635b5f414d41265d6","27","medium","0.982","0.98110914156464","0.28125","1","10","100","diverging","diverging","3","3","1","1858","2026-02-22T01:42:07.001Z"
