participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"612ba4bfee20a1ffc86116f9","28","medium","0.982","0.9820457487419606","0.296875","1","28","200","constant","thermal","2","2","1","8580","2026-02-22T02:30:25.067Z"
"612ba4bfee20a1ffc86116f9","27","medium","0.982","0.9820219728630415","0.25","1","2","100","diverging","constant","0","0","1","11225","2026-02-22T02:30:36.307Z"
"612ba4bfee20a1ffc86116f9","16","low","0.954","0.9537881365544073","0.421875","1","3","100","thermal","constant","0","0","1","8323","2026-02-22T02:30:44.659Z"
"612ba4bfee20a1ffc86116f9","34","high","0.956","0.9564744058372365","4","1","39","300","thermal","linear","3","3","1","7721","2026-02-22T02:30:52.386Z"
"612ba4bfee20a1ffc86116f9","31","medium","0.982","0.9810741738633156","0.25","1","4","100","constant","linear","0","0","1","4071","2026-02-22T02:30:56.482Z"
"612ba4bfee20a1ffc86116f9","19","medium","0.982","0.9827658432187838","0.1875","1","8","100","constant","diverging","3","3","1","3052","2026-02-22T02:30:59.563Z"
"612ba4bfee20a1ffc86116f9","8","low","0.954","0.9545072371123601","3","1","47","300","thermal","thermal","3","3","1","17281","2026-02-22T02:31:16.878Z"
"612ba4bfee20a1ffc86116f9","5","low","0.954","0.9538070593641406","0.3515625","1","22","200","diverging","linear","0","0","1","27201","2026-02-22T02:31:44.109Z"
"612ba4bfee20a1ffc86116f9","37","high","0.956","0.9564313829881242","0.28125","1","11","100","thermal","diverging","3","3","1","25102","2026-02-22T02:32:09.243Z"
"612ba4bfee20a1ffc86116f9","23","medium","0.982","0.9817780864737721","0.46875","1","35","300","thermal","constant","2","2","1","5766","2026-02-22T02:32:15.048Z"
"612ba4bfee20a1ffc86116f9","39","high","0.956","0.9558166272034315","0.4375","1","24","200","constant","diverging","1","1","1","7571","2026-02-22T02:32:22.648Z"
"612ba4bfee20a1ffc86116f9","4","low","0.954","0.9547451769411659","0.9375","1","34","300","diverging","constant","2","2","1","17242","2026-02-22T02:32:39.920Z"
"612ba4bfee20a1ffc86116f9","9000","medium","0.8","0.8392502897935615","7","0","47","300","thermal","thermal","0","0","1","4818","2026-02-22T02:32:44.767Z"
"612ba4bfee20a1ffc86116f9","35","high","0.956","0.9550370530902146","0.59375","1","18","200","diverging","constant","3","3","1","3946","2026-02-22T02:32:48.743Z"
"612ba4bfee20a1ffc86116f9","11","low","0.954","0.9543121345350278","6.1875","1","44","300","constant","thermal","0","0","1","11914","2026-02-22T02:33:00.687Z"
"612ba4bfee20a1ffc86116f9","24","medium","0.982","0.9811841936413647","0.1328125","1","46","300","diverging","thermal","3","3","1","25394","2026-02-22T02:33:26.113Z"
"612ba4bfee20a1ffc86116f9","33","high","0.956","0.9558408935025884","0.34375","1","0","100","constant","constant","1","1","1","10095","2026-02-22T02:33:36.217Z"
"612ba4bfee20a1ffc86116f9","15","low","0.954","0.9534125815791663","3","1","7","100","thermal","linear","1","1","1","17767","2026-02-22T02:33:54.010Z"
"612ba4bfee20a1ffc86116f9","13","low","0.954","0.9536464833304921","0.75","1","14","100","diverging","thermal","1","1","1","36327","2026-02-22T02:34:30.371Z"
"612ba4bfee20a1ffc86116f9","20","medium","0.982","0.9814607626473637","0.3125","1","16","200","constant","constant","2","2","1","21954","2026-02-22T02:34:52.355Z"
"612ba4bfee20a1ffc86116f9","2","low","0.954","0.953806434642545","1.5234375","1","15","100","thermal","thermal","1","1","1","40361","2026-02-22T02:35:32.750Z"
"612ba4bfee20a1ffc86116f9","22","medium","0.982","0.9816944193959989","0.46875","1","19","200","thermal","constant","1","1","1","3550","2026-02-22T02:35:36.333Z"
"612ba4bfee20a1ffc86116f9","42","high","0.956","0.9557465831033518","1.25","1","32","300","constant","constant","2","2","1","2325","2026-02-22T02:35:38.693Z"
"612ba4bfee20a1ffc86116f9","10","low","0.954","0.9543676660920258","0.4921875","1","45","300","linear","thermal","3","1","0","6337","2026-02-22T02:35:45.061Z"
"612ba4bfee20a1ffc86116f9","46","high","0.956","0.955995605178514","1.46875","1","9","100","linear","diverging","1","1","1","4218","2026-02-22T02:35:49.309Z"
