participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"634740193026d2b89955a51a","34","high","0.956","0.956593559310945","0.234375","1","15","100","thermal","thermal","0","0","1","8456","2026-02-22T07:06:13.545Z"
"634740193026d2b89955a51a","24","medium","0.982","0.981689836209521","0.375","1","5","100","linear","linear","2","2","1","5585","2026-02-22T07:06:19.145Z"
"634740193026d2b89955a51a","16","low","0.954","0.9543242613572118","0.6328125","1","12","100","constant","thermal","0","1","0","7525","2026-02-22T07:06:26.679Z"
"634740193026d2b89955a51a","9","low","0.954","0.9532470296817437","0.609375","1","1","100","linear","constant","1","0","0","16363","2026-02-22T07:06:43.045Z"
"634740193026d2b89955a51a","38","high","0.956","0.9563705575404098","0.328125","1","23","200","thermal","linear","1","1","1","6629","2026-02-22T07:06:49.678Z"
"634740193026d2b89955a51a","11","low","0.954","0.9542271942471227","0.6796875","1","2","100","diverging","constant","2","1","0","8559","2026-02-22T07:06:58.246Z"
"634740193026d2b89955a51a","23","medium","0.982","0.9811143948127697","0.203125","1","24","200","constant","diverging","0","0","1","6487","2026-02-22T07:07:04.745Z"
"634740193026d2b89955a51a","33","high","0.956","0.9563509479295033","0.2265625","1","43","300","thermal","diverging","0","0","1","4107","2026-02-22T07:07:08.860Z"
"634740193026d2b89955a51a","22","medium","0.982","0.9810567706115355","0.203125","1","38","300","diverging","linear","3","3","1","13523","2026-02-22T07:07:22.395Z"
"634740193026d2b89955a51a","40","high","0.956","0.9569771219845581","0.25","1","47","300","thermal","thermal","0","0","1","9428","2026-02-22T07:07:31.828Z"
"634740193026d2b89955a51a","39","high","0.956","0.9560696770688135","0.5625","1","42","300","diverging","diverging","0","0","1","3845","2026-02-22T07:07:35.679Z"
"634740193026d2b89955a51a","6","low","0.954","0.9530638190607635","3.375","1","19","200","thermal","constant","1","0","0","22225","2026-02-22T07:07:57.914Z"
"634740193026d2b89955a51a","9000","medium","0.8","0.8823933257507153","7.999992370605469","0","47","300","thermal","thermal","1","1","1","3805","2026-02-22T07:08:01.728Z"
"634740193026d2b89955a51a","26","medium","0.982","0.9812383148681679","0.375","1","32","300","constant","constant","0","0","1","5276","2026-02-22T07:08:07.012Z"
"634740193026d2b89955a51a","35","high","0.956","0.9554619163041532","0.15625","1","37","300","linear","linear","3","3","1","3710","2026-02-22T07:08:10.728Z"
"634740193026d2b89955a51a","13","low","0.954","0.9537152661143027","0.59765625","1","17","200","linear","constant","2","2","1","7009","2026-02-22T07:08:17.745Z"
"634740193026d2b89955a51a","19","medium","0.982","0.9829655362621894","0.6875","1","18","200","diverging","constant","1","1","1","3380","2026-02-22T07:08:21.128Z"
"634740193026d2b89955a51a","15","low","0.954","0.9541742346254927","0.46875","1","4","100","constant","linear","1","1","1","5728","2026-02-22T07:08:26.863Z"
"634740193026d2b89955a51a","7","low","0.954","0.9540083732466341","9.796875","1","35","300","thermal","constant","2","2","1","9440","2026-02-22T07:08:36.313Z"
"634740193026d2b89955a51a","47","high","0.956","0.9554966865359409","0.5625","1","7","100","thermal","linear","3","3","1","2474","2026-02-22T07:08:38.794Z"
"634740193026d2b89955a51a","10","low","0.954","0.9543988774926058","0.7265625","1","27","200","thermal","diverging","3","1","0","23094","2026-02-22T07:09:01.894Z"
"634740193026d2b89955a51a","48","high","0.956","0.9554346529662214","0.296875","1","3","100","thermal","constant","1","1","1","4528","2026-02-22T07:09:06.428Z"
"634740193026d2b89955a51a","14","low","0.954","0.9538447007836612","4.5","1","36","300","constant","linear","3","0","0","30941","2026-02-22T07:09:37.378Z"
"634740193026d2b89955a51a","1","low","0.954","0.9538380972481265","0.8671875","1","40","300","constant","diverging","0","0","1","2078","2026-02-22T07:09:39.463Z"
"634740193026d2b89955a51a","45","high","0.956","0.9556829480490001","1","1","14","100","diverging","thermal","1","1","1","5139","2026-02-22T07:09:44.613Z"
"634740193026d2b89955a51a","9001","medium","0.8","0.8575328144629433","7","0","47","300","thermal","thermal","1","1","1","2925","2026-02-22T07:09:47.545Z"
"634740193026d2b89955a51a","44","high","0.956","0.9564171582696039","0.75","1","41","300","linear","diverging","1","1","1","4638","2026-02-22T07:09:52.195Z"
"634740193026d2b89955a51a","18","medium","0.982","0.9816799381956113","0.140625","1","39","300","thermal","linear","3","3","1","13173","2026-02-22T07:10:05.378Z"
"634740193026d2b89955a51a","4","low","0.954","0.9534679161051852","0.4921875","1","16","200","constant","constant","0","0","1","6359","2026-02-22T07:10:11.744Z"
"634740193026d2b89955a51a","21","medium","0.982","0.9823067235853711","0.203125","1","11","100","thermal","diverging","2","2","1","5682","2026-02-22T07:10:17.429Z"
"634740193026d2b89955a51a","28","medium","0.982","0.9818332762933012","0.46875","1","6","100","diverging","linear","2","2","1","4477","2026-02-22T07:10:21.913Z"
"634740193026d2b89955a51a","12","low","0.954","0.9536918992175774","1.4296875","1","28","200","constant","thermal","3","3","1","9087","2026-02-22T07:10:31.011Z"
"634740193026d2b89955a51a","41","high","0.956","0.9555481633874726","0.875","1","30","200","diverging","thermal","1","1","1","9976","2026-02-22T07:10:40.994Z"
"634740193026d2b89955a51a","2","low","0.954","0.9530507909672923","0.84375","1","33","300","linear","constant","1","3","0","11641","2026-02-22T07:10:52.643Z"
"634740193026d2b89955a51a","31","medium","0.982","0.9826748517906144","0.625","1","31","200","thermal","thermal","2","2","1","2378","2026-02-22T07:10:55.028Z"
"634740193026d2b89955a51a","36","high","0.956","0.9569875959768609","0.6875","1","34","300","diverging","constant","0","2","0","2277","2026-02-22T07:10:57.313Z"
"634740193026d2b89955a51a","37","high","0.956","0.9562305393319075","0.421875","1","22","200","diverging","linear","3","3","1","2739","2026-02-22T07:11:00.062Z"
"634740193026d2b89955a51a","43","high","0.956","0.956567208462756","0.203125","1","44","300","constant","thermal","0","0","1","9341","2026-02-22T07:11:09.411Z"
"634740193026d2b89955a51a","9002","medium","0.8","0.8776094672011705","7","0","47","300","thermal","thermal","0","0","1","2360","2026-02-22T07:11:11.778Z"
"634740193026d2b89955a51a","8","low","0.954","0.9543565160778938","11.578125","1","46","300","diverging","thermal","2","2","1","5523","2026-02-22T07:11:17.311Z"
"634740193026d2b89955a51a","5","low","0.954","0.9543110821371878","0.64453125","1","26","200","diverging","diverging","3","3","1","14710","2026-02-22T07:11:32.028Z"
"634740193026d2b89955a51a","3","low","0.954","0.9534711077773813","1.6875","1","8","100","constant","diverging","3","3","1","14947","2026-02-22T07:11:46.978Z"
"634740193026d2b89955a51a","17","medium","0.982","0.9829102664008711","0.25","1","0","100","constant","constant","0","0","1","13814","2026-02-22T07:12:00.796Z"
"634740193026d2b89955a51a","42","high","0.956","0.9556399273815587","0.46875","1","45","300","linear","thermal","2","2","1","1747","2026-02-22T07:12:02.544Z"
"634740193026d2b89955a51a","25","medium","0.982","0.982655047604932","0.5","1","13","100","linear","thermal","1","1","1","4580","2026-02-22T07:12:07.127Z"
"634740193026d2b89955a51a","30","medium","0.982","0.9820276517813531","0.375","1","9","100","linear","diverging","1","1","1","9165","2026-02-22T07:12:16.295Z"
"634740193026d2b89955a51a","20","medium","0.982","0.9820426383082455","0.078125","1","21","200","linear","linear","3","3","1","4763","2026-02-22T07:12:21.061Z"
"634740193026d2b89955a51a","29","medium","0.982","0.9829503833145716","0.1875","1","25","200","linear","diverging","1","2","0","6680","2026-02-22T07:12:27.744Z"
"634740193026d2b89955a51a","32","medium","0.982","0.9812526824384642","0.1171875","1","29","200","linear","thermal","2","2","1","9399","2026-02-22T07:12:37.146Z"
