participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"63fcfd81a075a45d1a821308","20","medium","0.982","0.9824901241010153","2","1","34","300","diverging","constant","0","0","1","8545","2026-02-22T07:07:54.241Z"
"63fcfd81a075a45d1a821308","4","low","0.954","0.95454840625898","0.7265625","1","21","200","linear","linear","3","0","0","19648","2026-02-22T07:08:13.904Z"
"63fcfd81a075a45d1a821308","9","low","0.954","0.9540950717290625","0.52734375","1","13","100","linear","thermal","2","3","0","38941","2026-02-22T07:08:52.868Z"
"63fcfd81a075a45d1a821308","42","high","0.956","0.9552500566505052","0.375","1","27","200","thermal","diverging","3","3","1","4960","2026-02-22T07:08:57.839Z"
"63fcfd81a075a45d1a821308","33","high","0.956","0.956435871545765","0.5625","1","40","300","constant","diverging","0","0","1","6925","2026-02-22T07:09:04.778Z"
"63fcfd81a075a45d1a821308","21","medium","0.982","0.9825368534267193","0.25","1","22","200","diverging","linear","1","0","0","22472","2026-02-22T07:09:27.266Z"
"63fcfd81a075a45d1a821308","5","low","0.954","0.9547787091219345","0.703125","1","11","100","thermal","diverging","0","0","1","19043","2026-02-22T07:09:46.324Z"
"63fcfd81a075a45d1a821308","48","high","0.956","0.956413279691447","1.5","1","12","100","constant","thermal","0","0","1","3772","2026-02-22T07:09:50.112Z"
"63fcfd81a075a45d1a821308","13","low","0.954","0.9542382837462151","0.84375","1","25","200","linear","diverging","0","0","1","8430","2026-02-22T07:09:58.557Z"
"63fcfd81a075a45d1a821308","34","high","0.956","0.9557022063708016","0.13671875","1","33","300","linear","constant","2","2","1","16706","2026-02-22T07:10:15.278Z"
"63fcfd81a075a45d1a821308","2","low","0.954","0.9544069210514082","1.5","1","39","300","thermal","linear","3","3","1","26323","2026-02-22T07:10:41.617Z"
"63fcfd81a075a45d1a821308","19","medium","0.982","0.9822247070766036","0.125","1","37","300","linear","linear","3","1","0","13711","2026-02-22T07:10:55.345Z"
