participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"65600aa7ff0c0fcf0ddcda34","27","medium","0.982","0.9823059687989109","0.203125","1","10","100","diverging","diverging","1","1","1","5552","2026-02-22T07:07:47.525Z"
"65600aa7ff0c0fcf0ddcda34","33","high","0.956","0.9556632456910602","0.296875","1","43","300","thermal","diverging","2","2","1","4501","2026-02-22T07:07:52.037Z"
"65600aa7ff0c0fcf0ddcda34","22","medium","0.982","0.9812474543472488","0.21875","1","38","300","diverging","linear","0","1","0","6157","2026-02-22T07:07:58.204Z"
"65600aa7ff0c0fcf0ddcda34","13","low","0.954","0.9537100249285592","0.36328125","1","17","200","linear","constant","2","0","0","8848","2026-02-22T07:08:07.062Z"
"65600aa7ff0c0fcf0ddcda34","42","high","0.956","0.9569541137438083","2","1","45","300","linear","thermal","0","0","1","4171","2026-02-22T07:08:11.256Z"
"65600aa7ff0c0fcf0ddcda34","30","medium","0.982","0.9818592660282593","0.203125","1","9","100","linear","diverging","3","3","1","2935","2026-02-22T07:08:14.214Z"
"65600aa7ff0c0fcf0ddcda34","23","medium","0.982","0.982694747924173","0.140625","1","24","200","constant","diverging","3","2","0","8601","2026-02-22T07:08:22.838Z"
"65600aa7ff0c0fcf0ddcda34","32","medium","0.982","0.9820376029492741","0.359375","1","29","200","linear","thermal","0","1","0","3335","2026-02-22T07:08:26.197Z"
"65600aa7ff0c0fcf0ddcda34","9","low","0.954","0.9531525566332053","1.734375","1","1","100","linear","constant","1","1","1","3787","2026-02-22T07:08:30.007Z"
"65600aa7ff0c0fcf0ddcda34","40","high","0.956","0.9559984960346732","0.2578125","1","47","300","thermal","thermal","3","3","1","6775","2026-02-22T07:08:36.808Z"
"65600aa7ff0c0fcf0ddcda34","18","medium","0.982","0.9825789275726565","0.25","1","39","300","thermal","linear","3","3","1","5145","2026-02-22T07:08:41.973Z"
"65600aa7ff0c0fcf0ddcda34","24","medium","0.982","0.9814131028737233","0.21875","1","5","100","linear","linear","3","0","0","7412","2026-02-22T07:08:49.410Z"
"65600aa7ff0c0fcf0ddcda34","9000","medium","0.8","0.8543394859189019","7","0","47","300","thermal","thermal","1","1","1","6210","2026-02-22T07:08:55.643Z"
"65600aa7ff0c0fcf0ddcda34","19","medium","0.982","0.9818550286819964","0.171875","1","18","200","diverging","constant","2","0","0","8900","2026-02-22T07:09:04.567Z"
"65600aa7ff0c0fcf0ddcda34","10","low","0.954","0.9540754812566627","3","1","27","200","thermal","diverging","0","0","1","7446","2026-02-22T07:09:12.037Z"
"65600aa7ff0c0fcf0ddcda34","25","medium","0.982","0.9812343250487382","0.171875","1","13","100","linear","thermal","3","3","1","7428","2026-02-22T07:09:19.491Z"
"65600aa7ff0c0fcf0ddcda34","29","medium","0.982","0.9817669093011864","0.125","1","25","200","linear","diverging","3","3","1","4093","2026-02-22T07:09:23.602Z"
"65600aa7ff0c0fcf0ddcda34","31","medium","0.982","0.9818136142773095","0.15625","1","31","200","thermal","thermal","0","0","1","4439","2026-02-22T07:09:28.064Z"
"65600aa7ff0c0fcf0ddcda34","8","low","0.954","0.9539268505321614","7.875","1","46","300","diverging","thermal","0","0","1","4222","2026-02-22T07:09:32.309Z"
"65600aa7ff0c0fcf0ddcda34","43","high","0.956","0.9559496218850718","0.203125","1","44","300","constant","thermal","2","2","1","7881","2026-02-22T07:09:40.214Z"
"65600aa7ff0c0fcf0ddcda34","47","high","0.956","0.955637151272581","2","1","7","100","thermal","linear","2","2","1","3234","2026-02-22T07:09:43.472Z"
"65600aa7ff0c0fcf0ddcda34","4","low","0.954","0.9537077486358762","0.890625","1","16","200","constant","constant","2","2","1","5055","2026-02-22T07:09:48.553Z"
"65600aa7ff0c0fcf0ddcda34","37","high","0.956","0.955077757567312","0.5","1","22","200","diverging","linear","3","3","1","4838","2026-02-22T07:09:53.416Z"
"65600aa7ff0c0fcf0ddcda34","28","medium","0.982","0.9812089040173372","0.140625","1","6","100","diverging","linear","1","1","1","3251","2026-02-22T07:09:56.691Z"
"65600aa7ff0c0fcf0ddcda34","1","low","0.954","0.9535307189230405","1.6875","1","40","300","constant","diverging","2","0","0","8734","2026-02-22T07:10:05.448Z"
"65600aa7ff0c0fcf0ddcda34","9001","medium","0.8","0.8804262424675924","7.5","0","47","300","thermal","thermal","2","2","1","4203","2026-02-22T07:10:09.676Z"
"65600aa7ff0c0fcf0ddcda34","6","low","0.954","0.9549957470683712","0.84375","1","19","200","thermal","constant","0","0","1","5006","2026-02-22T07:10:14.706Z"
"65600aa7ff0c0fcf0ddcda34","16","low","0.954","0.9534330719752128","1.03125","1","12","100","constant","thermal","3","1","0","6392","2026-02-22T07:10:21.124Z"
"65600aa7ff0c0fcf0ddcda34","35","high","0.956","0.9568078438886436","0.53125","1","37","300","linear","linear","2","2","1","4672","2026-02-22T07:10:25.820Z"
"65600aa7ff0c0fcf0ddcda34","2","low","0.954","0.9544644902415869","0.48046875","1","33","300","linear","constant","2","2","1","11647","2026-02-22T07:10:37.485Z"
"65600aa7ff0c0fcf0ddcda34","38","high","0.956","0.9562050709301145","0.625","1","23","200","thermal","linear","0","0","1","5139","2026-02-22T07:10:42.650Z"
"65600aa7ff0c0fcf0ddcda34","17","medium","0.982","0.9815524877319843","0.5","1","0","100","constant","constant","3","3","1","8966","2026-02-22T07:10:51.640Z"
