participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"663eed3d72f4269ddd149f33","8","low","0.954","0.9537633209100537","11.25","1","46","300","diverging","thermal","3","3","1","8126","2026-02-22T07:23:09.002Z"
"663eed3d72f4269ddd149f33","39","high","0.956","0.9565641380698967","0.5","1","42","300","diverging","diverging","0","0","1","2919","2026-02-22T07:23:11.961Z"
"663eed3d72f4269ddd149f33","35","high","0.956","0.9566407072177473","0.5625","1","37","300","linear","linear","2","2","1","18056","2026-02-22T07:23:30.028Z"
"663eed3d72f4269ddd149f33","30","medium","0.982","0.9814610847790293","0.125","1","9","100","linear","diverging","0","1","0","38872","2026-02-22T07:24:08.912Z"
"663eed3d72f4269ddd149f33","28","medium","0.982","0.9828852457120076","0.140625","1","6","100","diverging","linear","2","2","1","53822","2026-02-22T07:25:02.753Z"
"663eed3d72f4269ddd149f33","43","high","0.956","0.9558447856329519","0.6875","1","44","300","constant","thermal","0","0","1","3728","2026-02-22T07:25:06.522Z"
"663eed3d72f4269ddd149f33","25","medium","0.982","0.9821161659588608","0.296875","1","13","100","linear","thermal","0","0","1","3534","2026-02-22T07:25:10.096Z"
"663eed3d72f4269ddd149f33","42","high","0.956","0.9569066991562859","0.75","1","45","300","linear","thermal","0","0","1","28995","2026-02-22T07:25:39.126Z"
"663eed3d72f4269ddd149f33","17","medium","0.982","0.9820924190174135","0.1484375","1","0","100","constant","constant","3","0","0","3356","2026-02-22T07:25:42.532Z"
"663eed3d72f4269ddd149f33","7","low","0.954","0.9540129018621845","0.75","1","35","300","thermal","constant","1","1","1","21630","2026-02-22T07:26:04.205Z"
"663eed3d72f4269ddd149f33","47","high","0.956","0.9562254715262894","0.59375","1","7","100","thermal","linear","2","2","1","2704","2026-02-22T07:26:06.963Z"
"663eed3d72f4269ddd149f33","2","low","0.954","0.9541043801538918","5.8125","1","33","300","linear","constant","0","0","1","4686","2026-02-22T07:26:11.694Z"
"663eed3d72f4269ddd149f33","9000","medium","0.8","0.8563828011795551","6","0","47","300","thermal","thermal","3","3","1","4358","2026-02-22T07:26:16.096Z"
"663eed3d72f4269ddd149f33","9","low","0.954","0.953877989961984","1.734375","1","1","100","linear","constant","2","2","1","17668","2026-02-22T07:26:33.804Z"
"663eed3d72f4269ddd149f33","37","high","0.956","0.9556594791896332","0.453125","1","22","200","diverging","linear","1","1","1","2866","2026-02-22T07:26:36.712Z"
"663eed3d72f4269ddd149f33","27","medium","0.982","0.9812650248904267","0.21875","1","10","100","diverging","diverging","0","0","1","5847","2026-02-22T07:26:42.600Z"
"663eed3d72f4269ddd149f33","22","medium","0.982","0.9815697508057188","0.234375","1","38","300","diverging","linear","2","2","1","3959","2026-02-22T07:26:46.573Z"
"663eed3d72f4269ddd149f33","18","medium","0.982","0.9827108638834917","0.1015625","1","39","300","thermal","linear","3","3","1","14790","2026-02-22T07:27:01.401Z"
"663eed3d72f4269ddd149f33","34","high","0.956","0.9565706437970272","0.875","1","15","100","thermal","thermal","2","2","1","4034","2026-02-22T07:27:05.480Z"
"663eed3d72f4269ddd149f33","36","high","0.956","0.9567344050803333","0.15625","1","34","300","diverging","constant","1","1","1","7872","2026-02-22T07:27:13.399Z"
"663eed3d72f4269ddd149f33","13","low","0.954","0.9536717479876347","1.125","1","17","200","linear","constant","1","1","1","5689","2026-02-22T07:27:19.130Z"
"663eed3d72f4269ddd149f33","29","medium","0.982","0.981698271147929","0.5","1","25","200","linear","diverging","1","1","1","7108","2026-02-22T07:27:26.285Z"
