participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"673a68b6b26d5900008e9df9","19","medium","0.982","0.9821968547001582","0.21875","1","37","300","linear","linear","1","1","1","6284","2026-02-22T01:29:05.872Z"
"673a68b6b26d5900008e9df9","46","high","0.956","0.9555637247394357","0.15625","1","36","300","constant","linear","2","2","1","3419","2026-02-22T01:29:09.304Z"
"673a68b6b26d5900008e9df9","30","medium","0.982","0.982233264626936","0.203125","1","20","200","constant","linear","3","3","1","5135","2026-02-22T01:29:14.462Z"
"673a68b6b26d5900008e9df9","6","low","0.954","0.9542724859749303","0.9375","1","38","300","diverging","linear","1","1","1","13878","2026-02-22T01:29:28.346Z"
"673a68b6b26d5900008e9df9","16","low","0.954","0.9535175749950991","0.65625","1","29","200","linear","thermal","1","1","1","1915","2026-02-22T01:29:30.296Z"
"673a68b6b26d5900008e9df9","35","high","0.956","0.9557892346340239","0.34375","1","8","100","constant","diverging","1","1","1","2478","2026-02-22T01:29:32.804Z"
"673a68b6b26d5900008e9df9","43","high","0.956","0.95513704292116","0.75","1","2","100","diverging","constant","0","0","1","2099","2026-02-22T01:29:34.936Z"
"673a68b6b26d5900008e9df9","18","medium","0.982","0.9823987145422681","0.21875","1","15","100","thermal","thermal","0","0","1","7378","2026-02-22T01:29:42.346Z"
"673a68b6b26d5900008e9df9","39","high","0.956","0.9568573565038434","0.875","1","35","300","thermal","constant","0","0","1","3886","2026-02-22T01:29:46.264Z"
"673a68b6b26d5900008e9df9","11","low","0.954","0.9540194905402642","0.5859375","1","10","100","diverging","diverging","3","2","0","18405","2026-02-22T01:30:04.697Z"
"673a68b6b26d5900008e9df9","47","high","0.956","0.9564760704467153","0.21875","1","4","100","constant","linear","3","3","1","10154","2026-02-22T01:30:14.879Z"
"673a68b6b26d5900008e9df9","45","high","0.956","0.9568646930702651","0.5625","1","17","200","linear","constant","2","2","1","2820","2026-02-22T01:30:17.721Z"
"673a68b6b26d5900008e9df9","9000","medium","0.8","0.8351437181893281","4","0","47","300","thermal","thermal","3","3","1","4855","2026-02-22T01:30:22.603Z"
"673a68b6b26d5900008e9df9","38","high","0.956","0.9561748152761925","0.296875","1","19","200","thermal","constant","3","3","1","4903","2026-02-22T01:30:27.535Z"
"673a68b6b26d5900008e9df9","29","medium","0.982","0.9819370232693955","0.203125","1","14","100","diverging","thermal","3","3","1","4453","2026-02-22T01:30:32.017Z"
"673a68b6b26d5900008e9df9","8","low","0.954","0.9530713120650535","0.5625","1","5","100","linear","linear","1","2","0","24700","2026-02-22T01:30:56.748Z"
"673a68b6b26d5900008e9df9","7","low","0.954","0.9541101304468881","6","1","24","200","constant","diverging","1","1","1","6241","2026-02-22T01:31:02.999Z"
"673a68b6b26d5900008e9df9","14","low","0.954","0.9547807138773904","0.65625","1","9","100","linear","diverging","3","3","1","2989","2026-02-22T01:31:06.019Z"
"673a68b6b26d5900008e9df9","26","medium","0.982","0.9825539511512287","0.25","1","45","300","linear","thermal","3","3","1","2321","2026-02-22T01:31:08.372Z"
"673a68b6b26d5900008e9df9","12","low","0.954","0.9535406017902501","6","1","6","100","diverging","linear","0","0","1","4289","2026-02-22T01:31:12.691Z"
"673a68b6b26d5900008e9df9","44","high","0.956","0.9556667002806749","0.296875","1","28","200","constant","thermal","2","2","1","3761","2026-02-22T01:31:16.485Z"
"673a68b6b26d5900008e9df9","4","low","0.954","0.9545965850127295","11.625","1","21","200","linear","linear","0","0","1","2244","2026-02-22T01:31:18.759Z"
"673a68b6b26d5900008e9df9","31","medium","0.982","0.9817946038380578","0.34375","1","7","100","thermal","linear","3","3","1","13497","2026-02-22T01:31:32.287Z"
"673a68b6b26d5900008e9df9","37","high","0.956","0.9557517145206408","1.5","1","26","200","diverging","diverging","3","3","1","2273","2026-02-22T01:31:34.589Z"
"673a68b6b26d5900008e9df9","41","high","0.956","0.9569654656856216","1.25","1","1","100","linear","constant","0","0","1","2251","2026-02-22T01:31:36.872Z"
