participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"675a1c9c5cac55bc951ff999","45","high","0.956","0.956389372393126","0.5","1","14","100","diverging","thermal","2","2","1","5392","2026-02-22T04:03:44.491Z"
"675a1c9c5cac55bc951ff999","16","low","0.954","0.9537353644344321","11.53125","1","12","100","constant","thermal","2","2","1","8457","2026-02-22T04:03:52.981Z"
"675a1c9c5cac55bc951ff999","28","medium","0.982","0.9815482032056269","0.28125","1","6","100","diverging","linear","3","2","0","454","2026-02-22T04:03:56.159Z"
"675a1c9c5cac55bc951ff999","46","high","0.956","0.9554706799213274","0.5625","1","20","200","constant","linear","0","0","1","6807","2026-02-22T04:04:02.973Z"
"675a1c9c5cac55bc951ff999","6","low","0.954","0.9531147175031052","0.4921875","1","19","200","thermal","constant","3","3","1","20693","2026-02-22T04:04:23.672Z"
"675a1c9c5cac55bc951ff999","31","medium","0.982","0.9828971587002998","0.4375","1","31","200","thermal","thermal","1","1","1","5338","2026-02-22T04:04:29.082Z"
"675a1c9c5cac55bc951ff999","8","low","0.954","0.9533504929742102","0.3984375","1","46","300","diverging","thermal","0","0","1","13877","2026-02-22T04:04:43.009Z"
"675a1c9c5cac55bc951ff999","13","low","0.954","0.9543034471704251","6","1","17","200","linear","constant","1","1","1","8963","2026-02-22T04:04:52.018Z"
"675a1c9c5cac55bc951ff999","44","high","0.956","0.9551226041286763","0.46875","1","41","300","linear","diverging","2","2","1","27184","2026-02-22T04:05:19.248Z"
"675a1c9c5cac55bc951ff999","10","low","0.954","0.9546341589720548","0.609375","1","27","200","thermal","diverging","0","0","1","17637","2026-02-22T04:05:36.923Z"
"675a1c9c5cac55bc951ff999","48","high","0.956","0.9556938009797957","0.3125","1","3","100","thermal","constant","2","2","1","30526","2026-02-22T04:06:07.487Z"
"675a1c9c5cac55bc951ff999","33","high","0.956","0.955113492270664","0.59375","1","43","300","thermal","diverging","3","3","1","4844","2026-02-22T04:06:12.373Z"
"675a1c9c5cac55bc951ff999","9000","medium","0.8","0.8475693451753877","7","0","47","300","thermal","thermal","1","1","1","21018","2026-02-22T04:06:33.438Z"
"675a1c9c5cac55bc951ff999","20","medium","0.982","0.9828902967331571","0.25","1","21","200","linear","linear","3","3","1","15997","2026-02-22T04:06:49.474Z"
"675a1c9c5cac55bc951ff999","42","high","0.956","0.9560992193700556","0.2109375","1","45","300","linear","thermal","1","1","1","15749","2026-02-22T04:07:05.260Z"
"675a1c9c5cac55bc951ff999","22","medium","0.982","0.9812721156217449","0.1484375","1","38","300","diverging","linear","0","0","1","8660","2026-02-22T04:07:13.964Z"
"675a1c9c5cac55bc951ff999","27","medium","0.982","0.982869837704132","0.171875","1","10","100","diverging","diverging","3","3","1","11666","2026-02-22T04:07:25.655Z"
"675a1c9c5cac55bc951ff999","38","high","0.956","0.9558908121724302","0.3125","1","23","200","thermal","linear","1","1","1","7227","2026-02-22T04:07:32.917Z"
"675a1c9c5cac55bc951ff999","4","low","0.954","0.9549531476855904","1.5","1","16","200","constant","constant","0","0","1","4040","2026-02-22T04:07:37.003Z"
"675a1c9c5cac55bc951ff999","25","medium","0.982","0.9817282403922823","0.4375","1","13","100","linear","thermal","3","3","1","6017","2026-02-22T04:07:43.069Z"
"675a1c9c5cac55bc951ff999","7","low","0.954","0.9530028427070307","0.703125","1","35","300","thermal","constant","0","0","1","13991","2026-02-22T04:07:57.103Z"
"675a1c9c5cac55bc951ff999","17","medium","0.982","0.9826317181850727","0.25","1","0","100","constant","constant","0","0","1","2054","2026-02-22T04:07:59.200Z"
"675a1c9c5cac55bc951ff999","30","medium","0.982","0.9823539015864544","0.875","1","9","100","linear","diverging","3","3","1","2170","2026-02-22T04:08:01.416Z"
"675a1c9c5cac55bc951ff999","3","low","0.954","0.9540333993860358","9","1","8","100","constant","diverging","2","2","1","4046","2026-02-22T04:08:05.500Z"
"675a1c9c5cac55bc951ff999","41","high","0.956","0.9554381250398283","0.125","1","30","200","diverging","thermal","1","2","0","8758","2026-02-22T04:08:14.292Z"
"675a1c9c5cac55bc951ff999","9001","medium","0.8","0.8602784744676559","7.75","0","47","300","thermal","thermal","1","1","1","3017","2026-02-22T04:08:17.348Z"
"675a1c9c5cac55bc951ff999","11","low","0.954","0.9542550368692287","0.3046875","1","2","100","diverging","constant","0","0","1","4516","2026-02-22T04:08:21.901Z"
"675a1c9c5cac55bc951ff999","32","medium","0.982","0.9822961168489958","0.140625","1","29","200","linear","thermal","3","3","1","11893","2026-02-22T04:08:33.835Z"
"675a1c9c5cac55bc951ff999","9","low","0.954","0.9542470427840377","5.8125","1","1","100","linear","constant","1","1","1","46126","2026-02-22T04:09:20.000Z"
"675a1c9c5cac55bc951ff999","47","high","0.956","0.9557939230616588","0.625","1","7","100","thermal","linear","2","2","1","2568","2026-02-22T04:09:22.591Z"
"675a1c9c5cac55bc951ff999","12","low","0.954","0.9537175756201306","0.796875","1","28","200","constant","thermal","1","1","1","5836","2026-02-22T04:09:28.472Z"
"675a1c9c5cac55bc951ff999","23","medium","0.982","0.9821121842811367","0.28125","1","24","200","constant","diverging","2","2","1","14963","2026-02-22T04:09:43.475Z"
"675a1c9c5cac55bc951ff999","15","low","0.954","0.9535275092945625","0.5390625","1","4","100","constant","linear","0","0","1","8163","2026-02-22T04:09:51.676Z"
"675a1c9c5cac55bc951ff999","5","low","0.954","0.953924549455576","1.1953125","1","26","200","diverging","diverging","2","2","1","13406","2026-02-22T04:10:05.128Z"
"675a1c9c5cac55bc951ff999","34","high","0.956","0.9568345469347614","0.203125","1","15","100","thermal","thermal","0","0","1","10721","2026-02-22T04:10:15.890Z"
"675a1c9c5cac55bc951ff999","21","medium","0.982","0.9814126727506475","0.21875","1","11","100","thermal","diverging","0","0","1","5538","2026-02-22T04:10:21.463Z"
"675a1c9c5cac55bc951ff999","39","high","0.956","0.9553789374936299","0.75","1","42","300","diverging","diverging","2","2","1","2697","2026-02-22T04:10:24.207Z"
"675a1c9c5cac55bc951ff999","35","high","0.956","0.9560561272299402","0.46875","1","37","300","linear","linear","2","2","1","7576","2026-02-22T04:10:31.822Z"
"675a1c9c5cac55bc951ff999","9002","medium","0.8","0.7995289010729751","6","0","47","300","thermal","thermal","0","0","1","3534","2026-02-22T04:10:35.389Z"
"675a1c9c5cac55bc951ff999","43","high","0.956","0.955655019232035","1","1","44","300","constant","thermal","3","3","1","1540","2026-02-22T04:10:36.969Z"
"675a1c9c5cac55bc951ff999","14","low","0.954","0.9534863274901078","0.55078125","1","36","300","constant","linear","3","3","1","31155","2026-02-22T04:11:08.163Z"
"675a1c9c5cac55bc951ff999","40","high","0.956","0.9552964612393411","1.25","1","47","300","thermal","thermal","0","0","1","3054","2026-02-22T04:11:11.255Z"
"675a1c9c5cac55bc951ff999","29","medium","0.982","0.9818190345317155","0.421875","1","25","200","linear","diverging","3","3","1","5489","2026-02-22T04:11:16.766Z"
"675a1c9c5cac55bc951ff999","18","medium","0.982","0.9823027894271558","0.25","1","39","300","thermal","linear","3","3","1","5481","2026-02-22T04:11:22.264Z"
