participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"678c1ca5f4998df7a4ee994c","14","low","0.954","0.953189009582863","0.796875","1","9","100","linear","diverging","1","1","1","26621","2026-02-22T07:07:38.348Z"
"678c1ca5f4998df7a4ee994c","39","high","0.956","0.9561585253857445","4","1","35","300","thermal","constant","2","2","1","4229","2026-02-22T07:07:42.607Z"
"678c1ca5f4998df7a4ee994c","31","medium","0.982","0.9823737128813534","0.3125","1","7","100","thermal","linear","3","3","1","3476","2026-02-22T07:07:48.531Z"
"678c1ca5f4998df7a4ee994c","18","medium","0.982","0.9813337088385211","0.75","1","15","100","thermal","thermal","0","0","1","2796","2026-02-22T07:07:51.354Z"
"678c1ca5f4998df7a4ee994c","44","high","0.956","0.9558406663692088","0.390625","1","28","200","constant","thermal","2","2","1","131509","2026-02-22T07:10:02.937Z"
"678c1ca5f4998df7a4ee994c","8","low","0.954","0.953620003825291","1.546875","1","5","100","linear","linear","0","0","1","9219","2026-02-22T07:10:12.204Z"
"678c1ca5f4998df7a4ee994c","40","high","0.956","0.9553539196384161","4","1","46","300","diverging","thermal","2","2","1","2409","2026-02-22T07:10:14.722Z"
"678c1ca5f4998df7a4ee994c","2","low","0.954","0.9534610034013845","11.671875","1","39","300","thermal","linear","2","2","1","71629","2026-02-22T07:11:26.464Z"
"678c1ca5f4998df7a4ee994c","30","medium","0.982","0.9820310198265497","0.265625","1","20","200","constant","linear","2","2","1","2914","2026-02-22T07:11:29.492Z"
"678c1ca5f4998df7a4ee994c","36","high","0.956","0.9563892920734941","1.5","1","16","200","constant","constant","1","1","1","3715","2026-02-22T07:11:33.278Z"
"678c1ca5f4998df7a4ee994c","7","low","0.954","0.9543352794632824","1.96875","1","24","200","constant","diverging","0","0","1","3274","2026-02-22T07:11:36.590Z"
