participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6841f4329a9deda70eae9ed4","18","medium","0.982","0.9826822072752502","0.5625","1","39","300","thermal","linear","0","0","1","8786","2026-02-22T07:06:31.979Z"
"6841f4329a9deda70eae9ed4","15","low","0.954","0.9540479914911874","6.140625","1","4","100","constant","linear","2","2","1","8736","2026-02-22T07:06:40.749Z"
"6841f4329a9deda70eae9ed4","35","high","0.956","0.9561218130393124","0.359375","1","37","300","linear","linear","3","3","1","5207","2026-02-22T07:06:56.005Z"
"6841f4329a9deda70eae9ed4","27","medium","0.982","0.9822322546331171","0.1640625","1","10","100","diverging","diverging","1","0","0","29249","2026-02-22T07:07:25.266Z"
"6841f4329a9deda70eae9ed4","8","low","0.954","0.9546060948670482","0.609375","1","46","300","diverging","thermal","3","1","0","24832","2026-02-22T07:07:50.138Z"
"6841f4329a9deda70eae9ed4","43","high","0.956","0.9559225983920564","0.875","1","44","300","constant","thermal","0","0","1","4933","2026-02-22T07:07:55.119Z"
"6841f4329a9deda70eae9ed4","14","low","0.954","0.9533232395325607","0.65625","1","36","300","constant","linear","0","0","1","6878","2026-02-22T07:08:02.033Z"
"6841f4329a9deda70eae9ed4","45","high","0.956","0.955805881694346","4","1","14","100","diverging","thermal","0","0","1","6279","2026-02-22T07:08:08.364Z"
"6841f4329a9deda70eae9ed4","5","low","0.954","0.9543062962165927","0.4453125","1","26","200","diverging","diverging","3","3","1","8824","2026-02-22T07:08:17.229Z"
"6841f4329a9deda70eae9ed4","21","medium","0.982","0.9815957049294679","0.375","1","11","100","thermal","diverging","1","1","1","57406","2026-02-22T07:09:14.674Z"
"6841f4329a9deda70eae9ed4","30","medium","0.982","0.9811044389519826","0.6875","1","9","100","linear","diverging","3","3","1","3121","2026-02-22T07:09:17.842Z"
"6841f4329a9deda70eae9ed4","9","low","0.954","0.9542559606417009","1.40625","1","1","100","linear","constant","2","2","1","10315","2026-02-22T07:09:28.194Z"
"6841f4329a9deda70eae9ed4","9000","medium","0.8","0.8598008371775593","4","0","47","300","thermal","thermal","0","0","1","4138","2026-02-22T07:09:32.380Z"
"6841f4329a9deda70eae9ed4","23","medium","0.982","0.9829583957150441","0.25","1","24","200","constant","diverging","2","2","1","4249","2026-02-22T07:09:36.664Z"
"6841f4329a9deda70eae9ed4","40","high","0.956","0.9553051119247117","0.625","1","47","300","thermal","thermal","0","0","1","2795","2026-02-22T07:09:39.494Z"
"6841f4329a9deda70eae9ed4","12","low","0.954","0.9540507629371532","9","1","28","200","constant","thermal","2","2","1","5989","2026-02-22T07:09:45.538Z"
"6841f4329a9deda70eae9ed4","33","high","0.956","0.9563690510596389","0.28125","1","43","300","thermal","diverging","2","2","1","7563","2026-02-22T07:09:53.113Z"
"6841f4329a9deda70eae9ed4","42","high","0.956","0.9552432642207579","0.34375","1","45","300","linear","thermal","0","0","1","2278","2026-02-22T07:09:55.422Z"
"6841f4329a9deda70eae9ed4","29","medium","0.982","0.9822831808158738","0.1328125","1","25","200","linear","diverging","2","2","1","8731","2026-02-22T07:10:04.197Z"
"6841f4329a9deda70eae9ed4","7","low","0.954","0.9548625092866345","0.75","1","35","300","thermal","constant","2","3","0","6388","2026-02-22T07:10:10.630Z"
"6841f4329a9deda70eae9ed4","6","low","0.954","0.9547172081130444","0.75","1","19","200","thermal","constant","1","3","0","12367","2026-02-22T07:10:23.034Z"
"6841f4329a9deda70eae9ed4","31","medium","0.982","0.9815897291375534","0.40625","1","31","200","thermal","thermal","0","0","1","8390","2026-02-22T07:10:31.463Z"
"6841f4329a9deda70eae9ed4","2","low","0.954","0.9549489163164533","0.703125","1","33","300","linear","constant","3","3","1","4627","2026-02-22T07:10:36.124Z"
"6841f4329a9deda70eae9ed4","28","medium","0.982","0.9829710000195669","0.171875","1","6","100","diverging","linear","2","2","1","5330","2026-02-22T07:10:41.491Z"
"6841f4329a9deda70eae9ed4","1","low","0.954","0.9543136757327584","0.6328125","1","40","300","constant","diverging","0","2","0","34651","2026-02-22T07:11:16.187Z"
"6841f4329a9deda70eae9ed4","9001","medium","0.8","0.8538582641631465","7.5","0","47","300","thermal","thermal","3","3","1","2091","2026-02-22T07:11:18.310Z"
"6841f4329a9deda70eae9ed4","3","low","0.954","0.9541975448242963","0.52734375","1","8","100","constant","diverging","3","3","1","6965","2026-02-22T07:11:25.317Z"
"6841f4329a9deda70eae9ed4","26","medium","0.982","0.9821914495559054","0.234375","1","32","300","constant","constant","1","1","1","8451","2026-02-22T07:11:33.803Z"
"6841f4329a9deda70eae9ed4","20","medium","0.982","0.9827413398537297","0.3125","1","21","200","linear","linear","1","2","0","3371","2026-02-22T07:11:37.215Z"
"6841f4329a9deda70eae9ed4","11","low","0.954","0.9537846018069537","0.65625","1","2","100","diverging","constant","2","2","1","5520","2026-02-22T07:11:42.747Z"
"6841f4329a9deda70eae9ed4","38","high","0.956","0.9563210542008781","0.6875","1","23","200","thermal","linear","1","1","1","2735","2026-02-22T07:11:45.520Z"
"6841f4329a9deda70eae9ed4","47","high","0.956","0.9556772227645329","0.265625","1","7","100","thermal","linear","0","0","1","4654","2026-02-22T07:11:50.209Z"
"6841f4329a9deda70eae9ed4","48","high","0.956","0.9559558911677061","0.375","1","3","100","thermal","constant","3","3","1","3153","2026-02-22T07:11:53.402Z"
"6841f4329a9deda70eae9ed4","32","medium","0.982","0.9821541223387427","0.1640625","1","29","200","linear","thermal","1","1","1","4519","2026-02-22T07:11:57.963Z"
"6841f4329a9deda70eae9ed4","25","medium","0.982","0.9827109662865218","0.875","1","13","100","linear","thermal","0","0","1","2783","2026-02-22T07:12:00.782Z"
"6841f4329a9deda70eae9ed4","37","high","0.956","0.9569052778721189","0.265625","1","22","200","diverging","linear","1","2","0","3450","2026-02-22T07:12:04.271Z"
"6841f4329a9deda70eae9ed4","44","high","0.956","0.956014590492171","0.3125","1","41","300","linear","diverging","0","0","1","2873","2026-02-22T07:12:07.192Z"
