participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6932f8200cc88ea0570aabba","28","medium","0.982","0.9817670720402614","0.1328125","1","28","200","constant","thermal","1","1","1","12500","2026-02-22T07:08:21.495Z"
"6932f8200cc88ea0570aabba","33","high","0.956","0.9556082382933333","4","1","0","100","constant","constant","0","0","1","2729","2026-02-22T07:08:24.234Z"
"6932f8200cc88ea0570aabba","27","medium","0.982","0.9821583488321562","0.2265625","1","2","100","diverging","constant","2","2","1","3021","2026-02-22T07:08:27.265Z"
"6932f8200cc88ea0570aabba","11","low","0.954","0.9542632119070628","0.3984375","1","44","300","constant","thermal","1","1","1","12646","2026-02-22T07:08:39.915Z"
"6932f8200cc88ea0570aabba","43","high","0.956","0.9553794840201679","0.75","1","10","100","diverging","diverging","2","2","1","3983","2026-02-22T07:08:43.913Z"
"6932f8200cc88ea0570aabba","36","high","0.956","0.956728042091098","0.46875","1","21","200","linear","linear","2","2","1","2948","2026-02-22T07:08:46.878Z"
"6932f8200cc88ea0570aabba","22","medium","0.982","0.9810654272435624","0.109375","1","19","200","thermal","constant","3","2","0","27125","2026-02-22T07:09:14.020Z"
"6932f8200cc88ea0570aabba","24","medium","0.982","0.9821707836027761","0.4375","1","46","300","diverging","thermal","2","2","1","4562","2026-02-22T07:09:18.596Z"
"6932f8200cc88ea0570aabba","44","high","0.956","0.9558502409321118","1.125","1","6","100","diverging","linear","2","2","1","3595","2026-02-22T07:09:22.207Z"
"6932f8200cc88ea0570aabba","31","medium","0.982","0.9810978492164518","0.203125","1","4","100","constant","linear","1","1","1","2507","2026-02-22T07:09:24.730Z"
"6932f8200cc88ea0570aabba","12","low","0.954","0.9540700894479184","0.5625","1","41","300","linear","diverging","2","2","1","12122","2026-02-22T07:09:36.871Z"
"6932f8200cc88ea0570aabba","35","high","0.956","0.9568611494322162","0.8125","1","18","200","diverging","constant","2","2","1","9059","2026-02-22T07:09:45.948Z"
"6932f8200cc88ea0570aabba","9000","medium","0.8","0.8007808228830144","0.84375","0","47","300","thermal","thermal","1","1","1","3693","2026-02-22T07:09:49.659Z"
"6932f8200cc88ea0570aabba","25","medium","0.982","0.981031569520783","0.171875","1","1","100","linear","constant","3","3","1","3642","2026-02-22T07:09:53.319Z"
"6932f8200cc88ea0570aabba","39","high","0.956","0.9553450802483372","0.5","1","24","200","constant","diverging","0","0","1","1773","2026-02-22T07:09:55.114Z"
"6932f8200cc88ea0570aabba","20","medium","0.982","0.9822718037487881","0.25","1","16","200","constant","constant","1","1","1","3726","2026-02-22T07:09:58.854Z"
