participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6941891541c8e9e8823fa2f6","28","medium","0.982","0.9822552568641338","0.28125","1","28","200","constant","thermal","2","2","1","22629","2026-02-22T07:07:56.941Z"
"6941891541c8e9e8823fa2f6","37","high","0.956","0.9553965289363685","0.4375","1","11","100","thermal","diverging","3","3","1","5053","2026-02-22T07:08:02.032Z"
"6941891541c8e9e8823fa2f6","1","low","0.954","0.9546365059984119","0.5625","1","43","300","thermal","diverging","1","1","1","17713","2026-02-22T07:08:19.764Z"
"6941891541c8e9e8823fa2f6","38","high","0.956","0.9556367641553072","0.625","1","38","300","diverging","linear","1","1","1","6260","2026-02-22T07:08:26.030Z"
"6941891541c8e9e8823fa2f6","19","medium","0.982","0.9816934905931126","0.5","1","8","100","constant","diverging","3","3","1","19544","2026-02-22T07:08:45.597Z"
"6941891541c8e9e8823fa2f6","36","high","0.956","0.9554956066366903","0.171875","1","21","200","linear","linear","3","3","1","21136","2026-02-22T07:09:06.753Z"
"6941891541c8e9e8823fa2f6","40","high","0.956","0.9553250334476905","1","1","5","100","linear","linear","3","3","1","3070","2026-02-22T07:09:09.841Z"
"6941891541c8e9e8823fa2f6","24","medium","0.982","0.9814870624246683","0.375","1","46","300","diverging","thermal","3","3","1","6204","2026-02-22T07:09:16.061Z"
"6941891541c8e9e8823fa2f6","3","low","0.954","0.9540208946658729","0.9140625","1","37","300","linear","linear","0","0","1","14311","2026-02-22T07:09:30.396Z"
"6941891541c8e9e8823fa2f6","7","low","0.954","0.9536376451863194","11.484375","1","42","300","diverging","diverging","3","2","0","36989","2026-02-22T07:10:07.405Z"
"6941891541c8e9e8823fa2f6","34","high","0.956","0.9552325496388896","0.3125","1","39","300","thermal","linear","0","0","1","6287","2026-02-22T07:10:13.710Z"
"6941891541c8e9e8823fa2f6","10","low","0.954","0.9548135133516126","0.75","1","45","300","linear","thermal","1","3","0","39569","2026-02-22T07:10:53.296Z"
"6941891541c8e9e8823fa2f6","9000","medium","0.8","0.817616558967559","4","0","47","300","thermal","thermal","0","0","1","8314","2026-02-22T07:11:01.636Z"
"6941891541c8e9e8823fa2f6","16","low","0.954","0.9542837619342799","0.703125","1","3","100","thermal","constant","2","2","1","9465","2026-02-22T07:11:11.120Z"
"6941891541c8e9e8823fa2f6","6","low","0.954","0.9548006857913773","1.03125","1","23","200","thermal","linear","3","3","1","26380","2026-02-22T07:11:37.521Z"
"6941891541c8e9e8823fa2f6","11","low","0.954","0.953736911504487","1.3359375","1","44","300","constant","thermal","1","1","1","7387","2026-02-22T07:11:44.933Z"
"6941891541c8e9e8823fa2f6","30","medium","0.982","0.9825884796581164","0.15625","1","36","300","constant","linear","0","0","1","3137","2026-02-22T07:11:48.080Z"
"6941891541c8e9e8823fa2f6","27","medium","0.982","0.982480050891497","0.1171875","1","2","100","diverging","constant","0","0","1","24069","2026-02-22T07:12:12.169Z"
"6941891541c8e9e8823fa2f6","26","medium","0.982","0.9827822194936121","0.15625","1","27","200","thermal","diverging","3","3","1","68309","2026-02-22T07:13:20.496Z"
"6941891541c8e9e8823fa2f6","42","high","0.956","0.9566531978256059","0.296875","1","32","300","constant","constant","2","2","1","7212","2026-02-22T07:13:27.728Z"
"6941891541c8e9e8823fa2f6","33","high","0.956","0.9566367873122699","0.3125","1","0","100","constant","constant","1","1","1","9520","2026-02-22T07:13:37.265Z"
"6941891541c8e9e8823fa2f6","25","medium","0.982","0.9813019835183135","0.21875","1","1","100","linear","constant","0","0","1","8476","2026-02-22T07:13:45.760Z"
"6941891541c8e9e8823fa2f6","2","low","0.954","0.9545744909530623","1.03125","1","15","100","thermal","thermal","3","3","1","29034","2026-02-22T07:14:14.817Z"
"6941891541c8e9e8823fa2f6","44","high","0.956","0.9565303557797479","0.8125","1","6","100","diverging","linear","2","2","1","2997","2026-02-22T07:14:17.833Z"
"6941891541c8e9e8823fa2f6","46","high","0.956","0.9565595837885589","0.1875","1","9","100","linear","diverging","1","1","1","7034","2026-02-22T07:14:24.884Z"
"6941891541c8e9e8823fa2f6","9001","medium","0.8","0.8573794694372673","4","0","47","300","thermal","thermal","2","2","1","6397","2026-02-22T07:14:31.305Z"
"6941891541c8e9e8823fa2f6","35","high","0.956","0.9562386567589821","0.1875","1","18","200","diverging","constant","0","0","1","3005","2026-02-22T07:14:34.328Z"
"6941891541c8e9e8823fa2f6","15","low","0.954","0.9539901164249128","0.5390625","1","7","100","thermal","linear","1","2","0","15921","2026-02-22T07:14:50.265Z"
