participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6945b2bc841178ca14128632","15","low","0.954","0.9542486908490737","0.75","1","4","100","constant","linear","2","2","1","7949","2026-02-22T04:29:50.923Z"
"6945b2bc841178ca14128632","48","high","0.956","0.9562199262398351","0.5","1","3","100","thermal","constant","0","0","1","1914","2026-02-22T04:29:52.866Z"
"6945b2bc841178ca14128632","47","high","0.956","0.9559834643315579","0.5625","1","7","100","thermal","linear","2","2","1","2268","2026-02-22T04:29:55.150Z"
"6945b2bc841178ca14128632","41","high","0.956","0.9559157336370465","0.2578125","1","30","200","diverging","thermal","3","3","1","2433","2026-02-22T04:29:57.593Z"
"6945b2bc841178ca14128632","25","medium","0.982","0.9811515639411564","0.234375","1","13","100","linear","thermal","1","1","1","2488","2026-02-22T04:30:00.088Z"
"6945b2bc841178ca14128632","1","low","0.954","0.9537151187949668","0.65625","1","40","300","constant","diverging","1","1","1","7419","2026-02-22T04:30:07.512Z"
"6945b2bc841178ca14128632","32","medium","0.982","0.98189833571689","0.1640625","1","29","200","linear","thermal","0","1","0","6723","2026-02-22T04:30:14.251Z"
"6945b2bc841178ca14128632","28","medium","0.982","0.9821404447184182","1.4375","1","6","100","diverging","linear","1","1","1","1852","2026-02-22T04:30:16.137Z"
"6945b2bc841178ca14128632","19","medium","0.982","0.9829484702151511","0.1875","1","18","200","diverging","constant","2","3","0","4407","2026-02-22T04:30:20.565Z"
"6945b2bc841178ca14128632","16","low","0.954","0.9530164695022751","0.5390625","1","12","100","constant","thermal","1","1","1","2382","2026-02-22T04:30:22.971Z"
"6945b2bc841178ca14128632","14","low","0.954","0.9538819848482953","3.9375","1","36","300","constant","linear","2","2","1","1726","2026-02-22T04:30:24.719Z"
"6945b2bc841178ca14128632","23","medium","0.982","0.9819387231066161","0.109375","1","24","200","constant","diverging","0","0","1","16444","2026-02-22T04:30:41.186Z"
"6945b2bc841178ca14128632","9000","medium","0.8","0.7998398143725938","1.015625","0","47","300","thermal","thermal","2","2","1","2732","2026-02-22T04:30:43.940Z"
"6945b2bc841178ca14128632","33","high","0.956","0.9566756036826486","0.53125","1","43","300","thermal","diverging","1","1","1","3420","2026-02-22T04:30:47.383Z"
"6945b2bc841178ca14128632","17","medium","0.982","0.9820972313576354","0.171875","1","0","100","constant","constant","0","0","1","3542","2026-02-22T04:30:50.947Z"
"6945b2bc841178ca14128632","11","low","0.954","0.9532300650370742","0.609375","1","2","100","diverging","constant","1","1","1","4215","2026-02-22T04:30:55.187Z"
"6945b2bc841178ca14128632","46","high","0.956","0.9561980665114949","0.9375","1","20","200","constant","linear","3","3","1","3071","2026-02-22T04:30:58.266Z"
"6945b2bc841178ca14128632","7","low","0.954","0.9546534368569993","0.796875","1","35","300","thermal","constant","3","0","0","11542","2026-02-22T04:31:09.829Z"
"6945b2bc841178ca14128632","39","high","0.956","0.9561850601867676","4","1","42","300","diverging","diverging","1","1","1","3452","2026-02-22T04:31:13.305Z"
"6945b2bc841178ca14128632","27","medium","0.982","0.9825860921461596","0.15625","1","10","100","diverging","diverging","0","0","1","6436","2026-02-22T04:31:19.764Z"
"6945b2bc841178ca14128632","22","medium","0.982","0.9818432327031651","0.265625","1","38","300","diverging","linear","0","0","1","4467","2026-02-22T04:31:24.254Z"
"6945b2bc841178ca14128632","44","high","0.956","0.9557115514343386","0.40625","1","41","300","linear","diverging","2","2","1","2016","2026-02-22T04:31:26.291Z"
"6945b2bc841178ca14128632","9","low","0.954","0.9539298857137055","9.1875","1","1","100","linear","constant","2","2","1","6884","2026-02-22T04:31:33.200Z"
"6945b2bc841178ca14128632","35","high","0.956","0.9554533509911182","0.75","1","37","300","linear","linear","1","1","1","3726","2026-02-22T04:31:36.950Z"
"6945b2bc841178ca14128632","4","low","0.954","0.9540551583784692","9","1","16","200","constant","constant","0","0","1","5520","2026-02-22T04:31:42.493Z"
"6945b2bc841178ca14128632","9001","medium","0.8","0.8501958708459757","6","0","47","300","thermal","thermal","2","2","1","2306","2026-02-22T04:31:44.831Z"
