participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"69606ec5fd842b942ecc6932","17","medium","0.982","0.981888813735096","0.46875","1","0","100","constant","constant","2","2","1","4305","2026-02-22T07:08:11.485Z"
"69606ec5fd842b942ecc6932","39","high","0.956","0.9564879736516103","0.5625","1","42","300","diverging","diverging","1","1","1","2777","2026-02-22T07:08:14.269Z"
"69606ec5fd842b942ecc6932","32","medium","0.982","0.9819114505737231","0.3125","1","29","200","linear","thermal","3","3","1","2361","2026-02-22T07:08:16.635Z"
"69606ec5fd842b942ecc6932","26","medium","0.982","0.9824481903768841","0.1875","1","32","300","constant","constant","3","3","1","2945","2026-02-22T07:08:19.585Z"
"69606ec5fd842b942ecc6932","23","medium","0.982","0.9818668341459214","0.1875","1","24","200","constant","diverging","1","1","1","2129","2026-02-22T07:08:21.719Z"
"69606ec5fd842b942ecc6932","24","medium","0.982","0.9815637951130483","0.203125","1","5","100","linear","linear","3","3","1","4479","2026-02-22T07:08:26.219Z"
"69606ec5fd842b942ecc6932","20","medium","0.982","0.9817005055569274","0.625","1","21","200","linear","linear","3","3","1","4174","2026-02-22T07:08:30.420Z"
"69606ec5fd842b942ecc6932","16","low","0.954","0.9533845250317435","11.203125","1","12","100","constant","thermal","3","3","1","2019","2026-02-22T07:08:32.470Z"
"69606ec5fd842b942ecc6932","9","low","0.954","0.9536763000645331","3.46875","1","1","100","linear","constant","1","1","1","27543","2026-02-22T07:09:00.036Z"
"69606ec5fd842b942ecc6932","2","low","0.954","0.9536497479085079","6","1","33","300","linear","constant","0","0","1","6094","2026-02-22T07:09:06.153Z"
"69606ec5fd842b942ecc6932","12","low","0.954","0.9541220997085141","1.03125","1","28","200","constant","thermal","1","1","1","3480","2026-02-22T07:09:09.655Z"
"69606ec5fd842b942ecc6932","7","low","0.954","0.9537408999452355","1.359375","1","35","300","thermal","constant","2","2","1","16357","2026-02-22T07:09:26.037Z"
"69606ec5fd842b942ecc6932","9000","medium","0.8","0.8341408544480035","7","0","47","300","thermal","thermal","1","1","1","2882","2026-02-22T07:09:28.942Z"
"69606ec5fd842b942ecc6932","4","low","0.954","0.9545792042147956","0.7265625","1","16","200","constant","constant","1","1","1","8310","2026-02-22T07:09:37.273Z"
"69606ec5fd842b942ecc6932","35","high","0.956","0.9557526766783354","0.46875","1","37","300","linear","linear","0","0","1","3323","2026-02-22T07:09:40.620Z"
"69606ec5fd842b942ecc6932","44","high","0.956","0.9554398004600915","0.265625","1","41","300","linear","diverging","1","1","1","2261","2026-02-22T07:09:42.904Z"
"69606ec5fd842b942ecc6932","37","high","0.956","0.9564974321938631","0.4375","1","22","200","diverging","linear","0","0","1","3227","2026-02-22T07:09:46.139Z"
"69606ec5fd842b942ecc6932","6","low","0.954","0.9549097683282515","0.9375","1","19","200","thermal","constant","0","0","1","22758","2026-02-22T07:10:08.921Z"
"69606ec5fd842b942ecc6932","19","medium","0.982","0.9822462797805398","0.1875","1","18","200","diverging","constant","1","1","1","3779","2026-02-22T07:10:12.721Z"
"69606ec5fd842b942ecc6932","45","high","0.956","0.9555488773835261","0.4375","1","14","100","diverging","thermal","1","1","1","2398","2026-02-22T07:10:15.138Z"
"69606ec5fd842b942ecc6932","34","high","0.956","0.9567446286014021","0.4375","1","15","100","thermal","thermal","0","0","1","1827","2026-02-22T07:10:16.987Z"
"69606ec5fd842b942ecc6932","29","medium","0.982","0.981460712982326","0.15625","1","25","200","linear","diverging","1","1","1","3480","2026-02-22T07:10:20.487Z"
"69606ec5fd842b942ecc6932","40","high","0.956","0.9557664968214418","0.5","1","47","300","thermal","thermal","1","1","1","3328","2026-02-22T07:10:23.838Z"
"69606ec5fd842b942ecc6932","31","medium","0.982","0.9829963931408898","0.6875","1","31","200","thermal","thermal","3","3","1","6428","2026-02-22T07:10:30.289Z"
"69606ec5fd842b942ecc6932","30","medium","0.982","0.9826469735492331","0.1328125","1","9","100","linear","diverging","3","3","1","3979","2026-02-22T07:10:34.296Z"
"69606ec5fd842b942ecc6932","9001","medium","0.8","0.8686628757893493","7.5","0","47","300","thermal","thermal","2","2","1","3120","2026-02-22T07:10:37.437Z"
"69606ec5fd842b942ecc6932","48","high","0.956","0.9563893668001523","0.53125","1","3","100","thermal","constant","1","1","1","4225","2026-02-22T07:10:41.688Z"
"69606ec5fd842b942ecc6932","41","high","0.956","0.9568743003623386","0.3125","1","30","200","diverging","thermal","1","1","1","7426","2026-02-22T07:10:49.137Z"
"69606ec5fd842b942ecc6932","42","high","0.956","0.9560274967647753","1.0625","1","45","300","linear","thermal","2","2","1","5111","2026-02-22T07:10:54.271Z"
"69606ec5fd842b942ecc6932","28","medium","0.982","0.9820389111011253","0.1875","1","6","100","diverging","linear","3","3","1","5158","2026-02-22T07:10:59.437Z"
"69606ec5fd842b942ecc6932","36","high","0.956","0.9567768174339706","0.4375","1","34","300","diverging","constant","1","1","1","4396","2026-02-22T07:11:03.854Z"
"69606ec5fd842b942ecc6932","1","low","0.954","0.9541351522424102","0.71484375","1","40","300","constant","diverging","2","2","1","12281","2026-02-22T07:11:16.156Z"
"69606ec5fd842b942ecc6932","18","medium","0.982","0.9816911695097946","0.234375","1","39","300","thermal","linear","1","3","0","13955","2026-02-22T07:11:30.138Z"
"69606ec5fd842b942ecc6932","3","low","0.954","0.9535387235244394","11.625","1","8","100","constant","diverging","0","0","1","17680","2026-02-22T07:11:47.839Z"
"69606ec5fd842b942ecc6932","13","low","0.954","0.9546467315560835","1.125","1","17","200","linear","constant","1","1","1","7657","2026-02-22T07:11:55.524Z"
"69606ec5fd842b942ecc6932","27","medium","0.982","0.9820043256715447","0.1015625","1","10","100","diverging","diverging","3","0","0","26508","2026-02-22T07:12:22.056Z"
"69606ec5fd842b942ecc6932","46","high","0.956","0.9560536519312925","0.59375","1","20","200","constant","linear","0","0","1","2900","2026-02-22T07:12:24.972Z"
"69606ec5fd842b942ecc6932","33","high","0.956","0.9552537810955773","0.234375","1","43","300","thermal","diverging","3","3","1","8096","2026-02-22T07:12:33.090Z"
"69606ec5fd842b942ecc6932","9002","medium","0.8","0.9006995289663519","7.75","0","47","300","thermal","thermal","3","3","1","4976","2026-02-22T07:12:38.090Z"
"69606ec5fd842b942ecc6932","22","medium","0.982","0.9818590676970153","0.1484375","1","38","300","diverging","linear","3","3","1","14379","2026-02-22T07:12:52.491Z"
"69606ec5fd842b942ecc6932","25","medium","0.982","0.9811659633115273","0.25","1","13","100","linear","thermal","1","1","1","2623","2026-02-22T07:12:55.140Z"
"69606ec5fd842b942ecc6932","15","low","0.954","0.9535229347176323","0.609375","1","4","100","constant","linear","3","3","1","3778","2026-02-22T07:12:58.941Z"
"69606ec5fd842b942ecc6932","43","high","0.956","0.9560411392534159","0.5","1","44","300","constant","thermal","3","3","1","3624","2026-02-22T07:13:02.574Z"
"69606ec5fd842b942ecc6932","8","low","0.954","0.9544250117435747","1.0078125","1","46","300","diverging","thermal","0","0","1","5071","2026-02-22T07:13:07.657Z"
"69606ec5fd842b942ecc6932","11","low","0.954","0.9544529657269261","5.2734375","1","2","100","diverging","constant","2","2","1","5874","2026-02-22T07:13:13.539Z"
"69606ec5fd842b942ecc6932","5","low","0.954","0.9540589271514286","1.78125","1","26","200","diverging","diverging","0","0","1","11091","2026-02-22T07:13:24.639Z"
"69606ec5fd842b942ecc6932","38","high","0.956","0.956341902163216","0.5625","1","23","200","thermal","linear","0","0","1","2296","2026-02-22T07:13:26.940Z"
"69606ec5fd842b942ecc6932","14","low","0.954","0.9540645730171824","0.36328125","1","36","300","constant","linear","2","2","1","8077","2026-02-22T07:13:35.024Z"
"69606ec5fd842b942ecc6932","47","high","0.956","0.9559507667037979","0.625","1","7","100","thermal","linear","0","0","1","2860","2026-02-22T07:13:37.891Z"
"69606ec5fd842b942ecc6932","10","low","0.954","0.9536548806064779","0.8671875","1","27","200","thermal","diverging","0","0","1","4757","2026-02-22T07:13:42.656Z"
"69606ec5fd842b942ecc6932","21","medium","0.982","0.9815945089252361","0.28125","1","11","100","thermal","diverging","1","1","1","3726","2026-02-22T07:13:46.391Z"
"69606ec5fd842b942ecc6932","9003","medium","0.8","0.8420419797815939","7.5","0","47","300","thermal","thermal","3","3","1","2918","2026-02-22T07:13:49.324Z"
