participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6978df5ffad10009a9036796","33","high","0.956","0.9558682374634081","0.25","1","0","100","constant","constant","1","1","1","25973","2026-02-22T03:35:47.964Z"
"6978df5ffad10009a9036796","4","low","0.954","0.9543457975054674","0.90234375","1","34","300","diverging","constant","1","1","1","31075","2026-02-22T03:36:19.078Z"
"6978df5ffad10009a9036796","18","medium","0.982","0.9821931776478695","0.234375","1","33","300","linear","constant","0","0","1","6167","2026-02-22T03:36:25.285Z"
"6978df5ffad10009a9036796","11","low","0.954","0.95428148646017","0.8671875","1","44","300","constant","thermal","3","3","1","15350","2026-02-22T03:36:40.647Z"
"6978df5ffad10009a9036796","31","medium","0.982","0.981521516414715","0.21875","1","4","100","constant","linear","1","1","1","3618","2026-02-22T03:36:44.286Z"
"6978df5ffad10009a9036796","13","low","0.954","0.9535776606681092","0.5859375","1","14","100","diverging","thermal","2","2","1","10968","2026-02-22T03:36:55.284Z"
"6978df5ffad10009a9036796","14","low","0.954","0.9530849486206351","4.5","1","20","200","constant","linear","0","0","1","6397","2026-02-22T03:37:01.707Z"
"6978df5ffad10009a9036796","42","high","0.956","0.9550658804683478","0.59375","1","32","300","constant","constant","1","1","1","3278","2026-02-22T03:37:05.014Z"
"6978df5ffad10009a9036796","32","medium","0.982","0.9829752028460189","0.15625","1","12","100","constant","thermal","2","2","1","15415","2026-02-22T03:37:20.458Z"
"6978df5ffad10009a9036796","27","medium","0.982","0.9822139278281508","0.375","1","2","100","diverging","constant","3","3","1","7465","2026-02-22T03:37:27.945Z"
"6978df5ffad10009a9036796","36","high","0.956","0.9557787284770956","0.1875","1","21","200","linear","linear","0","0","1","22103","2026-02-22T03:37:50.075Z"
"6978df5ffad10009a9036796","25","medium","0.982","0.9811178696794237","0.125","1","1","100","linear","constant","2","2","1","6046","2026-02-22T03:37:56.149Z"
"6978df5ffad10009a9036796","9000","medium","0.8","0.839199571180504","7","0","47","300","thermal","thermal","3","3","1","8096","2026-02-22T03:38:04.263Z"
"6978df5ffad10009a9036796","24","medium","0.982","0.981468686290701","0.28125","1","46","300","diverging","thermal","1","1","1","27710","2026-02-22T03:38:31.997Z"
"6978df5ffad10009a9036796","37","high","0.956","0.9567257977231611","0.375","1","11","100","thermal","diverging","1","1","1","5740","2026-02-22T03:38:37.759Z"
"6978df5ffad10009a9036796","19","medium","0.982","0.9827360087493687","0.1875","1","8","100","constant","diverging","3","3","1","4941","2026-02-22T03:38:42.724Z"
"6978df5ffad10009a9036796","29","medium","0.982","0.9820847287012074","0.625","1","17","200","linear","constant","0","0","1","6967","2026-02-22T03:38:49.701Z"
"6978df5ffad10009a9036796","21","medium","0.982","0.9815934888332084","0.25","1","26","200","diverging","diverging","0","0","1","5215","2026-02-22T03:38:54.948Z"
"6978df5ffad10009a9036796","35","high","0.956","0.9559650728557585","1.25","1","18","200","diverging","constant","2","2","1","2883","2026-02-22T03:38:57.853Z"
"6978df5ffad10009a9036796","43","high","0.956","0.9561890858216124","0.9375","1","10","100","diverging","diverging","3","3","1","2544","2026-02-22T03:39:00.422Z"
"6978df5ffad10009a9036796","38","high","0.956","0.9561179357013554","0.28125","1","38","300","diverging","linear","1","1","1","6725","2026-02-22T03:39:07.172Z"
"6978df5ffad10009a9036796","12","low","0.954","0.9535875073396668","0.65625","1","41","300","linear","diverging","0","0","1","4678","2026-02-22T03:39:11.879Z"
"6978df5ffad10009a9036796","45","high","0.956","0.9564375542495785","0.46875","1","25","200","linear","diverging","0","0","1","4382","2026-02-22T03:39:16.293Z"
"6978df5ffad10009a9036796","40","high","0.956","0.9564336495122375","2.125","1","5","100","linear","linear","0","0","1","6094","2026-02-22T03:39:22.413Z"
"6978df5ffad10009a9036796","5","low","0.954","0.9545507383976828","0.33984375","1","22","200","diverging","linear","0","0","1","156331","2026-02-22T03:41:58.772Z"
"6978df5ffad10009a9036796","9001","medium","0.8","0.8204697675095104","7.999992370605469","0","47","300","thermal","thermal","3","3","1","7472","2026-02-22T03:42:06.270Z"
"6978df5ffad10009a9036796","7","low","0.954","0.9535961477550065","0.421875","1","42","300","diverging","diverging","1","1","1","19819","2026-02-22T03:42:26.108Z"
"6978df5ffad10009a9036796","44","high","0.956","0.9564989039500781","1","1","6","100","diverging","linear","3","3","1","3894","2026-02-22T03:42:30.028Z"
"6978df5ffad10009a9036796","1","low","0.954","0.9548023482730886","11.25","1","43","300","thermal","diverging","2","2","1","4777","2026-02-22T03:42:34.832Z"
"6978df5ffad10009a9036796","23","medium","0.982","0.9812935423015633","0.1875","1","35","300","thermal","constant","1","1","1","5288","2026-02-22T03:42:40.133Z"
"6978df5ffad10009a9036796","8","low","0.954","0.9539170824152224","1.1015625","1","47","300","thermal","thermal","0","0","1","4670","2026-02-22T03:42:44.825Z"
"6978df5ffad10009a9036796","41","high","0.956","0.955928815637007","0.375","1","13","100","linear","thermal","3","3","1","5272","2026-02-22T03:42:50.121Z"
"6978df5ffad10009a9036796","3","low","0.954","0.9536993460047022","0.3046875","1","37","300","linear","linear","2","2","1","2998","2026-02-22T03:42:53.140Z"
"6978df5ffad10009a9036796","34","high","0.956","0.9556030853016467","0.1875","1","39","300","thermal","linear","3","3","1","5276","2026-02-22T03:42:58.441Z"
"6978df5ffad10009a9036796","22","medium","0.982","0.9829109995895142","0.40625","1","19","200","thermal","constant","2","2","1","12439","2026-02-22T03:43:10.902Z"
"6978df5ffad10009a9036796","47","high","0.956","0.956291266696169","1.75","1","31","200","thermal","thermal","0","1","0","4110","2026-02-22T03:43:15.036Z"
"6978df5ffad10009a9036796","6","low","0.954","0.9544427779301952","0.4921875","1","23","200","thermal","linear","0","0","1","28074","2026-02-22T03:43:43.141Z"
"6978df5ffad10009a9036796","2","low","0.954","0.9530304568345469","0.2578125","1","15","100","thermal","thermal","3","3","1","31758","2026-02-22T03:44:14.922Z"
"6978df5ffad10009a9036796","9002","medium","0.8","0.8336629279937171","6","0","47","300","thermal","thermal","0","0","1","4170","2026-02-22T03:44:19.124Z"
"6978df5ffad10009a9036796","16","low","0.954","0.9539910639640666","1.4765625","1","3","100","thermal","constant","1","1","1","27251","2026-02-22T03:44:46.393Z"
"6978df5ffad10009a9036796","28","medium","0.982","0.9812729573336384","0.203125","1","28","200","constant","thermal","0","0","1","17556","2026-02-22T03:45:03.973Z"
"6978df5ffad10009a9036796","48","high","0.956","0.955983140893032","0.18359375","1","29","200","linear","thermal","2","2","1","23532","2026-02-22T03:45:27.533Z"
"6978df5ffad10009a9036796","26","medium","0.982","0.9819964323949048","0.2109375","1","27","200","thermal","diverging","3","3","1","8162","2026-02-22T03:45:35.705Z"
"6978df5ffad10009a9036796","30","medium","0.982","0.9811378124280824","0.1875","1","36","300","constant","linear","1","1","1","4763","2026-02-22T03:45:40.477Z"
"6978df5ffad10009a9036796","9","low","0.954","0.9542471517812681","1.546875","1","30","200","diverging","thermal","1","1","1","4943","2026-02-22T03:45:45.429Z"
"6978df5ffad10009a9036796","46","high","0.956","0.9558270805126072","1.75","1","9","100","linear","diverging","2","2","1","4075","2026-02-22T03:45:49.512Z"
"6978df5ffad10009a9036796","10","low","0.954","0.9534066142925122","2.25","1","45","300","linear","thermal","3","3","1","32241","2026-02-22T03:46:21.765Z"
"6978df5ffad10009a9036796","20","medium","0.982","0.9818406958020598","0.4375","1","16","200","constant","constant","2","2","1","5142","2026-02-22T03:46:26.917Z"
"6978df5ffad10009a9036796","39","high","0.956","0.9568017319394098","4","1","24","200","constant","diverging","0","0","1","2072","2026-02-22T03:46:28.997Z"
"6978df5ffad10009a9036796","15","low","0.954","0.9537175222949874","1.125","1","7","100","thermal","linear","2","2","1","17346","2026-02-22T03:46:46.353Z"
"6978df5ffad10009a9036796","17","medium","0.982","0.9814555760316682","1.25","1","40","300","constant","diverging","3","3","1","6912","2026-02-22T03:46:53.271Z"
"6978df5ffad10009a9036796","9003","medium","0.8","0.8735207666736089","7.5","0","47","300","thermal","thermal","2","2","1","4501","2026-02-22T03:46:57.780Z"
