participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"697bf21abe0f0d126216125d","19","medium","0.982","0.9819449700523856","0.40625","1","18","200","diverging","constant","2","2","1","5345","2026-02-22T02:36:23.433Z"
"697bf21abe0f0d126216125d","2","low","0.954","0.9538968433565033","9.1640625","1","33","300","linear","constant","2","2","1","11075","2026-02-22T02:36:34.516Z"
"697bf21abe0f0d126216125d","4","low","0.954","0.9541816026088203","3","1","16","200","constant","constant","1","1","1","10280","2026-02-22T02:36:44.812Z"
"697bf21abe0f0d126216125d","16","low","0.954","0.9535181558656616","0.5390625","1","12","100","constant","thermal","1","1","1","13626","2026-02-22T02:36:58.454Z"
"697bf21abe0f0d126216125d","33","high","0.956","0.9553763131190625","1.1875","1","43","300","thermal","diverging","3","3","1","3506","2026-02-22T02:37:01.989Z"
"697bf21abe0f0d126216125d","25","medium","0.982","0.9818483654654668","0.375","1","13","100","linear","thermal","1","1","1","3635","2026-02-22T02:37:05.648Z"
"697bf21abe0f0d126216125d","30","medium","0.982","0.9828352364477656","0.265625","1","9","100","linear","diverging","0","0","1","5431","2026-02-22T02:37:11.102Z"
"697bf21abe0f0d126216125d","38","high","0.956","0.9565776531871539","0.65625","1","23","200","thermal","linear","2","2","1","7323","2026-02-22T02:37:18.445Z"
"697bf21abe0f0d126216125d","37","high","0.956","0.9553097657208603","1.625","1","22","200","diverging","linear","3","3","1","3647","2026-02-22T02:37:22.116Z"
"697bf21abe0f0d126216125d","36","high","0.956","0.9551906703715595","0.375","1","34","300","diverging","constant","2","2","1","8031","2026-02-22T02:37:30.170Z"
"697bf21abe0f0d126216125d","29","medium","0.982","0.9821301336526232","0.25","1","25","200","linear","diverging","3","3","1","6462","2026-02-22T02:37:36.655Z"
"697bf21abe0f0d126216125d","9","low","0.954","0.9540018536603455","0.52734375","1","1","100","linear","constant","3","0","0","21771","2026-02-22T02:37:58.450Z"
"697bf21abe0f0d126216125d","9000","medium","0.8","0.826675907884705","7.5","0","47","300","thermal","thermal","0","0","1","2297","2026-02-22T02:38:00.773Z"
"697bf21abe0f0d126216125d","18","medium","0.982","0.9819798003123602","0.4375","1","39","300","thermal","linear","2","2","1","5646","2026-02-22T02:38:06.442Z"
"697bf21abe0f0d126216125d","39","high","0.956","0.9561564676898674","0.9375","1","42","300","diverging","diverging","3","3","1","2843","2026-02-22T02:38:09.308Z"
"697bf21abe0f0d126216125d","1","low","0.954","0.9534824196028925","7.5","1","40","300","constant","diverging","0","0","1","11682","2026-02-22T02:38:21.013Z"
"697bf21abe0f0d126216125d","3","low","0.954","0.9532218027805355","0.9375","1","8","100","constant","diverging","2","2","1","7227","2026-02-22T02:38:28.249Z"
"697bf21abe0f0d126216125d","7","low","0.954","0.9537497067825008","0.890625","1","35","300","thermal","constant","3","2","0","17024","2026-02-22T02:38:45.295Z"
"697bf21abe0f0d126216125d","32","medium","0.982","0.9822778164079784","0.1640625","1","29","200","linear","thermal","3","3","1","7225","2026-02-22T02:38:52.543Z"
"697bf21abe0f0d126216125d","12","low","0.954","0.954885452225065","0.4921875","1","28","200","constant","thermal","1","2","0","6381","2026-02-22T02:38:58.944Z"
"697bf21abe0f0d126216125d","24","medium","0.982","0.9822168557311597","0.59375","1","5","100","linear","linear","0","0","1","2016","2026-02-22T02:39:00.983Z"
"697bf21abe0f0d126216125d","34","high","0.956","0.9568108311446436","0.234375","1","15","100","thermal","thermal","0","0","1","1915","2026-02-22T02:39:02.920Z"
"697bf21abe0f0d126216125d","42","high","0.956","0.9562365407500387","0.265625","1","45","300","linear","thermal","0","0","1","4611","2026-02-22T02:39:07.554Z"
"697bf21abe0f0d126216125d","13","low","0.954","0.9545422380957591","0.3515625","1","17","200","linear","constant","2","2","1","8727","2026-02-22T02:39:16.303Z"
"697bf21abe0f0d126216125d","40","high","0.956","0.9565525938448968","0.3125","1","47","300","thermal","thermal","2","2","1","2314","2026-02-22T02:39:18.640Z"
"697bf21abe0f0d126216125d","9001","medium","0.8","0.8859488870800276","7.999992370605469","0","47","300","thermal","thermal","2","2","1","2493","2026-02-22T02:39:21.155Z"
"697bf21abe0f0d126216125d","15","low","0.954","0.9546004874412706","1.59375","1","4","100","constant","linear","3","3","1","17771","2026-02-22T02:39:38.946Z"
"697bf21abe0f0d126216125d","26","medium","0.982","0.9819736850137377","0.1171875","1","32","300","constant","constant","2","2","1","7859","2026-02-22T02:39:46.829Z"
"697bf21abe0f0d126216125d","48","high","0.956","0.9565007957063124","0.34375","1","3","100","thermal","constant","3","3","1","3539","2026-02-22T02:39:50.391Z"
"697bf21abe0f0d126216125d","27","medium","0.982","0.981909496591814","0.1875","1","10","100","diverging","diverging","1","1","1","3326","2026-02-22T02:39:53.725Z"
"697bf21abe0f0d126216125d","22","medium","0.982","0.9818792572359963","0.203125","1","38","300","diverging","linear","1","1","1","4753","2026-02-22T02:39:58.500Z"
"697bf21abe0f0d126216125d","23","medium","0.982","0.981724917504006","0.875","1","24","200","constant","diverging","0","0","1","11002","2026-02-22T02:40:09.525Z"
"697bf21abe0f0d126216125d","45","high","0.956","0.9564989905525901","0.375","1","14","100","diverging","thermal","0","0","1","2596","2026-02-22T02:40:12.146Z"
"697bf21abe0f0d126216125d","17","medium","0.982","0.9812991193676679","0.171875","1","0","100","constant","constant","3","3","1","7019","2026-02-22T02:40:19.189Z"
"697bf21abe0f0d126216125d","31","medium","0.982","0.9829414067472683","0.15625","1","31","200","thermal","thermal","1","1","1","5772","2026-02-22T02:40:24.984Z"
"697bf21abe0f0d126216125d","10","low","0.954","0.9542335544744112","0.4453125","1","27","200","thermal","diverging","2","2","1","8428","2026-02-22T02:40:33.437Z"
"697bf21abe0f0d126216125d","35","high","0.956","0.9552300669915791","0.5","1","37","300","linear","linear","1","1","1","2675","2026-02-22T02:40:36.135Z"
"697bf21abe0f0d126216125d","41","high","0.956","0.9562692318126712","0.40625","1","30","200","diverging","thermal","2","2","1","4020","2026-02-22T02:40:40.177Z"
"697bf21abe0f0d126216125d","9002","medium","0.8","0.8784752337382746","7.5","0","47","300","thermal","thermal","3","3","1","2309","2026-02-22T02:40:42.509Z"
"697bf21abe0f0d126216125d","20","medium","0.982","0.9811920860088389","0.1328125","1","21","200","linear","linear","2","2","1","3272","2026-02-22T02:40:45.802Z"
"697bf21abe0f0d126216125d","14","low","0.954","0.9530616192058474","9.46875","1","36","300","constant","linear","1","1","1","7335","2026-02-22T02:40:53.157Z"
"697bf21abe0f0d126216125d","47","high","0.956","0.9560123426034501","0.13671875","1","7","100","thermal","linear","0","0","1","6774","2026-02-22T02:40:59.953Z"
"697bf21abe0f0d126216125d","28","medium","0.982","0.9820736028541592","0.265625","1","6","100","diverging","linear","2","2","1","6417","2026-02-22T02:41:06.379Z"
"697bf21abe0f0d126216125d","44","high","0.956","0.9567413891460961","1.5","1","41","300","linear","diverging","2","2","1","2612","2026-02-22T02:41:08.997Z"
"697bf21abe0f0d126216125d","5","low","0.954","0.9539424587106672","1.21875","1","26","200","diverging","diverging","0","0","1","5667","2026-02-22T02:41:14.670Z"
"697bf21abe0f0d126216125d","46","high","0.956","0.9562063428320074","0.203125","1","20","200","constant","linear","3","3","1","9806","2026-02-22T02:41:24.482Z"
"697bf21abe0f0d126216125d","43","high","0.956","0.9550991196784393","0.875","1","44","300","constant","thermal","1","1","1","3313","2026-02-22T02:41:27.801Z"
"697bf21abe0f0d126216125d","6","low","0.954","0.9546580120799166","0.5625","1","19","200","thermal","constant","3","3","1","7722","2026-02-22T02:41:35.529Z"
"697bf21abe0f0d126216125d","21","medium","0.982","0.9823567934359381","0.0859375","1","11","100","thermal","diverging","1","1","1","3066","2026-02-22T02:41:38.600Z"
"697bf21abe0f0d126216125d","11","low","0.954","0.9540501899997913","0.55078125","1","2","100","diverging","constant","1","1","1","10515","2026-02-22T02:41:49.121Z"
"697bf21abe0f0d126216125d","8","low","0.954","0.9532096638175822","1.3125","1","46","300","diverging","thermal","3","1","0","15404","2026-02-22T02:42:04.531Z"
"697bf21abe0f0d126216125d","9003","medium","0.8","0.8719479119770643","7.999992370605469","0","47","300","thermal","thermal","0","0","1","3111","2026-02-22T02:42:07.648Z"
