participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6982be56cf9bf83a577d9e3e","24","medium","0.982","0.9821839553025273","0.25","1","46","300","diverging","thermal","2","2","1","9023","2026-02-22T07:06:51.709Z"
"6982be56cf9bf83a577d9e3e","3","low","0.954","0.9543451575095885","0.796875","1","37","300","linear","linear","0","0","1","21922","2026-02-22T07:07:13.662Z"
"6982be56cf9bf83a577d9e3e","29","medium","0.982","0.9819079044940509","0.328125","1","17","200","linear","constant","1","1","1","6111","2026-02-22T07:07:21.246Z"
"6982be56cf9bf83a577d9e3e","15","low","0.954","0.953620034997121","1.21875","1","7","100","thermal","linear","3","3","1","22226","2026-02-22T07:07:43.481Z"
"6982be56cf9bf83a577d9e3e","33","high","0.956","0.956191635710837","0.2734375","1","0","100","constant","constant","2","2","1","12961","2026-02-22T07:07:56.466Z"
"6982be56cf9bf83a577d9e3e","4","low","0.954","0.9542253781243865","0.6796875","1","34","300","diverging","constant","1","1","1","42522","2026-02-22T07:08:39.019Z"
"6982be56cf9bf83a577d9e3e","2","low","0.954","0.954306131972778","6","1","15","100","thermal","thermal","2","2","1","13205","2026-02-22T07:08:52.254Z"
"6982be56cf9bf83a577d9e3e","6","low","0.954","0.9535525007313065","11.109375","1","23","200","thermal","linear","0","0","1","5571","2026-02-22T07:08:57.854Z"
"6982be56cf9bf83a577d9e3e","34","high","0.956","0.9559222502970705","0.4375","1","39","300","thermal","linear","0","0","1","6688","2026-02-22T07:09:04.571Z"
"6982be56cf9bf83a577d9e3e","9","low","0.954","0.9539751205142942","0.890625","1","30","200","diverging","thermal","3","3","1","13838","2026-02-22T07:09:18.439Z"
"6982be56cf9bf83a577d9e3e","26","medium","0.982","0.9826538569042301","0.21875","1","27","200","thermal","diverging","1","1","1","8588","2026-02-22T07:09:27.056Z"
"6982be56cf9bf83a577d9e3e","31","medium","0.982","0.9818886479931412","0.234375","1","4","100","constant","linear","2","2","1","8523","2026-02-22T07:09:35.608Z"
"6982be56cf9bf83a577d9e3e","9000","medium","0.8","0.8557310810953687","4","0","47","300","thermal","thermal","3","3","1","22422","2026-02-22T07:09:58.059Z"
"6982be56cf9bf83a577d9e3e","45","high","0.956","0.9568915881874464","1","1","25","200","linear","diverging","1","1","1","4305","2026-02-22T07:10:02.393Z"
"6982be56cf9bf83a577d9e3e","20","medium","0.982","0.981639270724691","0.140625","1","16","200","constant","constant","0","0","1","3872","2026-02-22T07:10:06.293Z"
"6982be56cf9bf83a577d9e3e","35","high","0.956","0.9569121154593924","0.171875","1","18","200","diverging","constant","1","1","1","4605","2026-02-22T07:10:10.927Z"
"6982be56cf9bf83a577d9e3e","30","medium","0.982","0.9816987460672238","0.140625","1","36","300","constant","linear","0","0","1","19306","2026-02-22T07:10:30.245Z"
"6982be56cf9bf83a577d9e3e","48","high","0.956","0.9569507736856815","7.9375","1","29","200","linear","thermal","2","2","1","12890","2026-02-22T07:10:43.163Z"
"6982be56cf9bf83a577d9e3e","10","low","0.954","0.9541879182907939","1.3125","1","45","300","linear","thermal","0","0","1","50761","2026-02-22T07:11:33.951Z"
"6982be56cf9bf83a577d9e3e","42","high","0.956","0.9552009208475049","0.203125","1","32","300","constant","constant","1","1","1","6471","2026-02-22T07:11:40.451Z"
"6982be56cf9bf83a577d9e3e","43","high","0.956","0.9567811331908681","7.9375","1","10","100","diverging","diverging","1","1","1","4022","2026-02-22T07:11:44.502Z"
"6982be56cf9bf83a577d9e3e","25","medium","0.982","0.9821270696580333","0.875","1","1","100","linear","constant","0","0","1","7756","2026-02-22T07:11:52.286Z"
"6982be56cf9bf83a577d9e3e","8","low","0.954","0.9537292105130551","0.3984375","1","47","300","thermal","thermal","2","2","1","10804","2026-02-22T07:12:03.120Z"
"6982be56cf9bf83a577d9e3e","28","medium","0.982","0.981220732518531","0.34375","1","28","200","constant","thermal","3","3","1","8589","2026-02-22T07:12:11.737Z"
"6982be56cf9bf83a577d9e3e","1","low","0.954","0.9547578435117122","0.65625","1","43","300","thermal","diverging","1","1","1","12986","2026-02-22T07:12:24.755Z"
"6982be56cf9bf83a577d9e3e","9001","medium","0.8","0.8469482057037305","7.5","0","47","300","thermal","thermal","2","2","1","12753","2026-02-22T07:12:37.539Z"
"6982be56cf9bf83a577d9e3e","37","high","0.956","0.9566926195144422","0.46875","1","11","100","thermal","diverging","0","0","1","5271","2026-02-22T07:12:42.839Z"
"6982be56cf9bf83a577d9e3e","22","medium","0.982","0.9821904860768099","0.203125","1","19","200","thermal","constant","1","1","1","5822","2026-02-22T07:12:48.691Z"
"6982be56cf9bf83a577d9e3e","32","medium","0.982","0.9819166954990224","0.1484375","1","12","100","constant","thermal","1","1","1","3388","2026-02-22T07:12:52.107Z"
"6982be56cf9bf83a577d9e3e","36","high","0.956","0.9566446068481473","0.4375","1","21","200","linear","linear","2","2","1","13521","2026-02-22T07:13:05.642Z"
"6982be56cf9bf83a577d9e3e","27","medium","0.982","0.9815235462106011","0.3125","1","2","100","diverging","constant","2","2","1","8258","2026-02-22T07:13:13.923Z"
"6982be56cf9bf83a577d9e3e","39","high","0.956","0.9562462561858356","4","1","24","200","constant","diverging","0","0","1","6853","2026-02-22T07:13:20.795Z"
"6982be56cf9bf83a577d9e3e","16","low","0.954","0.9546165857906","0.84375","1","3","100","thermal","constant","3","3","1","8988","2026-02-22T07:13:29.803Z"
"6982be56cf9bf83a577d9e3e","13","low","0.954","0.9633587347278564","11.999988555908203","1","14","100","diverging","thermal","1","1","1","45360","2026-02-22T07:14:15.179Z"
"6982be56cf9bf83a577d9e3e","47","high","0.956","0.9550196543716857","0.3125","1","31","200","thermal","thermal","1","1","1","4487","2026-02-22T07:14:19.696Z"
"6982be56cf9bf83a577d9e3e","11","low","0.954","0.9538922030574191","0.76171875","1","44","300","constant","thermal","2","2","1","9591","2026-02-22T07:14:29.313Z"
"6982be56cf9bf83a577d9e3e","40","high","0.956","0.9564208557501132","0.34375","1","5","100","linear","linear","0","0","1","4922","2026-02-22T07:14:34.263Z"
"6982be56cf9bf83a577d9e3e","46","high","0.956","0.9568836254369065","0.375","1","9","100","linear","diverging","2","2","1","6273","2026-02-22T07:14:40.564Z"
"6982be56cf9bf83a577d9e3e","9002","medium","0.8","0.8610866190835071","6","0","47","300","thermal","thermal","2","2","1","12808","2026-02-22T07:14:53.398Z"
"6982be56cf9bf83a577d9e3e","23","medium","0.982","0.9822481030795207","0.140625","1","35","300","thermal","constant","2","2","1","6620","2026-02-22T07:15:00.049Z"
"6982be56cf9bf83a577d9e3e","21","medium","0.982","0.9810836109903708","0.234375","1","26","200","diverging","diverging","0","0","1","45708","2026-02-22T07:15:45.785Z"
"6982be56cf9bf83a577d9e3e","7","low","0.954","0.9541435759549287","0.298828125","1","42","300","diverging","diverging","0","0","1","60560","2026-02-22T07:16:46.373Z"
"6982be56cf9bf83a577d9e3e","38","high","0.956","0.9559493966643424","0.1875","1","38","300","diverging","linear","0","0","1","5671","2026-02-22T07:16:52.057Z"
"6982be56cf9bf83a577d9e3e","18","medium","0.982","0.9817232078210213","0.125","1","33","300","linear","constant","3","3","1","19825","2026-02-22T07:17:11.892Z"
"6982be56cf9bf83a577d9e3e","17","medium","0.982","0.9825994494660503","0.234375","1","40","300","constant","diverging","1","1","1","11422","2026-02-22T07:17:23.326Z"
"6982be56cf9bf83a577d9e3e","41","high","0.956","0.9561794923846024","0.40625","1","13","100","linear","thermal","1","1","1","2458","2026-02-22T07:17:25.793Z"
"6982be56cf9bf83a577d9e3e","5","low","0.954","0.9547305898379487","0.9375","1","22","200","diverging","linear","1","1","1","19856","2026-02-22T07:17:45.661Z"
"6982be56cf9bf83a577d9e3e","19","medium","0.982","0.9824013423080119","0.203125","1","8","100","constant","diverging","0","0","1","15024","2026-02-22T07:18:00.695Z"
"6982be56cf9bf83a577d9e3e","12","low","0.954","0.953029218324906","0.75","1","41","300","linear","diverging","2","2","1","10807","2026-02-22T07:18:11.513Z"
"6982be56cf9bf83a577d9e3e","44","high","0.956","0.9552152630012147","4","1","6","100","diverging","linear","0","0","1","2357","2026-02-22T07:18:13.880Z"
"6982be56cf9bf83a577d9e3e","14","low","0.954","0.9541032010395496","0.45703125","1","20","200","constant","linear","3","0","0","29474","2026-02-22T07:18:43.365Z"
"6982be56cf9bf83a577d9e3e","9003","medium","0.8","0.8687052080779658","4","0","47","300","thermal","thermal","1","1","1","4307","2026-02-22T07:18:47.682Z"
