participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"698345887d7ece8bbab524c9","25","medium","0.982","0.9822983186489282","0.28125","1","30","200","diverging","thermal","1","1","1","15141","2026-02-22T02:44:18.413Z"
"698345887d7ece8bbab524c9","32","medium","0.982","0.9812132738086898","0.34375","1","3","100","thermal","constant","0","0","1","3368","2026-02-22T02:44:21.792Z"
"698345887d7ece8bbab524c9","19","medium","0.982","0.9816988245471857","0.25","1","37","300","linear","linear","0","0","1","20142","2026-02-22T02:44:41.942Z"
"698345887d7ece8bbab524c9","31","medium","0.982","0.9817285893559685","0.296875","1","7","100","thermal","linear","3","3","1","10611","2026-02-22T02:44:52.555Z"
"698345887d7ece8bbab524c9","23","medium","0.982","0.9825758898051756","0.1328125","1","42","300","diverging","diverging","3","3","1","6143","2026-02-22T02:44:58.704Z"
"698345887d7ece8bbab524c9","41","high","0.956","0.9551458423602232","0.46875","1","1","100","linear","constant","3","3","1","4546","2026-02-22T02:45:03.256Z"
"698345887d7ece8bbab524c9","5","low","0.954","0.9533869957607407","9","1","11","100","thermal","diverging","0","0","1","27389","2026-02-22T02:45:30.652Z"
"698345887d7ece8bbab524c9","40","high","0.956","0.9562984695083924","0.5","1","46","300","diverging","thermal","1","1","1","2639","2026-02-22T02:45:33.297Z"
"698345887d7ece8bbab524c9","3","low","0.954","0.9542856371701517","11.90625","1","18","200","diverging","constant","0","0","1","4148","2026-02-22T02:45:37.452Z"
"698345887d7ece8bbab524c9","47","high","0.956","0.9561992532035704","5","1","4","100","constant","linear","2","2","1","20998","2026-02-22T02:45:58.458Z"
"698345887d7ece8bbab524c9","35","high","0.956","0.9561963400339608","0.5","1","8","100","constant","diverging","0","0","1","4168","2026-02-22T02:46:02.632Z"
"698345887d7ece8bbab524c9","15","low","0.954","0.9543518456710103","0.5859375","1","31","200","thermal","thermal","0","0","1","8896","2026-02-22T02:46:11.535Z"
"698345887d7ece8bbab524c9","9000","medium","0.8","0.8757153527272938","7.999992370605469","0","47","300","thermal","thermal","2","2","1","4725","2026-02-22T02:46:16.267Z"
"698345887d7ece8bbab524c9","42","high","0.956","0.9563100562622303","4","1","27","200","thermal","diverging","2","2","1","6625","2026-02-22T02:46:22.898Z"
"698345887d7ece8bbab524c9","1","low","0.954","0.9543926990145913","1.078125","1","0","100","constant","constant","0","0","1","3520","2026-02-22T02:46:26.425Z"
"698345887d7ece8bbab524c9","10","low","0.954","0.9547692945917146","0.609375","1","32","300","constant","constant","1","3","0","101537","2026-02-22T02:48:07.969Z"
"698345887d7ece8bbab524c9","20","medium","0.982","0.9828889280790502","0.4375","1","34","300","diverging","constant","1","1","1","3476","2026-02-22T02:48:11.447Z"
"698345887d7ece8bbab524c9","11","low","0.954","0.9543415373302728","1.40625","1","10","100","diverging","diverging","3","3","1","17518","2026-02-22T02:48:28.971Z"
"698345887d7ece8bbab524c9","6","low","0.954","0.9547946835160556","1.5234375","1","38","300","diverging","linear","1","1","1","7203","2026-02-22T02:48:36.181Z"
"698345887d7ece8bbab524c9","26","medium","0.982","0.9828047313813743","0.15625","1","45","300","linear","thermal","2","2","1","8796","2026-02-22T02:48:44.984Z"
"698345887d7ece8bbab524c9","18","medium","0.982","0.9817590174581079","0.28125","1","15","100","thermal","thermal","3","3","1","7911","2026-02-22T02:48:52.901Z"
"698345887d7ece8bbab524c9","4","low","0.954","0.9535202446940748","0.1904296875","1","21","200","linear","linear","2","2","1","31316","2026-02-22T02:49:24.225Z"
