participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"698b89654feb04a863ef6cb5","13","low","0.954","0.953845711610527","0.75","1","14","100","diverging","thermal","3","3","1","8575","2026-02-22T01:31:14.850Z"
"698b89654feb04a863ef6cb5","2","low","0.954","0.9541036377870301","0.59765625","1","15","100","thermal","thermal","1","2","0","22753","2026-02-22T01:31:37.618Z"
"698b89654feb04a863ef6cb5","6","low","0.954","0.9540304100133955","0.59765625","1","23","200","thermal","linear","0","2","0","10604","2026-02-22T01:31:48.275Z"
"698b89654feb04a863ef6cb5","39","high","0.956","0.9563663323785063","0.28125","1","24","200","constant","diverging","2","2","1","7428","2026-02-22T01:31:55.715Z"
"698b89654feb04a863ef6cb5","11","low","0.954","0.9548933651970625","0.65625","1","44","300","constant","thermal","0","2","0","7477","2026-02-22T01:32:03.234Z"
"698b89654feb04a863ef6cb5","12","low","0.954","0.9543146776044333","3.140625","1","41","300","linear","diverging","1","2","0","14531","2026-02-22T01:32:17.801Z"
"698b89654feb04a863ef6cb5","17","medium","0.982","0.9829625021741684","0.28125","1","40","300","constant","diverging","0","0","1","10503","2026-02-22T01:32:28.347Z"
"698b89654feb04a863ef6cb5","4","low","0.954","0.9543560975624609","3.09375","1","34","300","diverging","constant","0","2","0","12561","2026-02-22T01:32:40.954Z"
"698b89654feb04a863ef6cb5","9","low","0.954","0.9545358607574251","10.5","1","30","200","diverging","thermal","3","3","1","8117","2026-02-22T01:32:49.098Z"
"698b89654feb04a863ef6cb5","38","high","0.956","0.9557641378139319","0.875","1","38","300","diverging","linear","0","0","1","4949","2026-02-22T01:32:54.082Z"
"698b89654feb04a863ef6cb5","30","medium","0.982","0.9821360976603241","0.171875","1","36","300","constant","linear","1","1","1","3210","2026-02-22T01:32:57.330Z"
"698b89654feb04a863ef6cb5","22","medium","0.982","0.9814999160117802","0.75","1","19","200","thermal","constant","3","3","1","5383","2026-02-22T01:33:02.754Z"
"698b89654feb04a863ef6cb5","9000","medium","0.8","0.8961464141080437","7","0","47","300","thermal","thermal","2","2","1","7513","2026-02-22T01:33:10.305Z"
"698b89654feb04a863ef6cb5","19","medium","0.982","0.9812703524709745","0.28125","1","8","100","constant","diverging","2","2","1","6946","2026-02-22T01:33:17.289Z"
"698b89654feb04a863ef6cb5","26","medium","0.982","0.9818032408644137","0.1875","1","27","200","thermal","diverging","1","2","0","7510","2026-02-22T01:33:24.842Z"
"698b89654feb04a863ef6cb5","14","low","0.954","0.9542514736908284","0.8203125","1","20","200","constant","linear","1","1","1","6362","2026-02-22T01:33:31.242Z"
