participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"698cf4dee24b87ad4c3038e1","47","high","0.956","0.9562304975476874","0.75","1","4","100","constant","linear","2","2","1","14195","2026-02-22T02:33:27.163Z"
"698cf4dee24b87ad4c3038e1","33","high","0.956","0.9568964684651527","0.34375","1","40","300","constant","diverging","1","1","1","5836","2026-02-22T02:33:33.021Z"
"698cf4dee24b87ad4c3038e1","1","low","0.954","0.9541885937624518","0.6328125","1","0","100","constant","constant","3","3","1","26960","2026-02-22T02:33:59.989Z"
"698cf4dee24b87ad4c3038e1","21","medium","0.982","0.9819896139637058","0.234375","1","22","200","diverging","linear","0","0","1","4210","2026-02-22T02:34:04.217Z"
"698cf4dee24b87ad4c3038e1","4","low","0.954","0.9547889611856958","0.41015625","1","21","200","linear","linear","3","3","1","9684","2026-02-22T02:34:13.925Z"
"698cf4dee24b87ad4c3038e1","31","medium","0.982","0.9820890314807537","0.234375","1","7","100","thermal","linear","2","2","1","27985","2026-02-22T02:34:41.940Z"
"698cf4dee24b87ad4c3038e1","30","medium","0.982","0.981841815033706","0.28125","1","20","200","constant","linear","0","0","1","9249","2026-02-22T02:34:51.214Z"
"698cf4dee24b87ad4c3038e1","25","medium","0.982","0.9828809984711432","0.34375","1","30","200","diverging","thermal","1","1","1","7602","2026-02-22T02:34:58.840Z"
"698cf4dee24b87ad4c3038e1","40","high","0.956","0.9559754594261837","1.875","1","46","300","diverging","thermal","1","1","1","14175","2026-02-22T02:35:13.042Z"
"698cf4dee24b87ad4c3038e1","27","medium","0.982","0.9823581134078644","0.21875","1","44","300","constant","thermal","1","1","1","15537","2026-02-22T02:35:28.604Z"
"698cf4dee24b87ad4c3038e1","5","low","0.954","0.9534340403248182","0.41015625","1","11","100","thermal","diverging","0","0","1","23702","2026-02-22T02:35:52.330Z"
"698cf4dee24b87ad4c3038e1","13","low","0.954","0.9541017299240082","1.27734375","1","25","200","linear","diverging","2","2","1","11008","2026-02-22T02:36:03.362Z"
"698cf4dee24b87ad4c3038e1","9000","medium","0.8","0.8821603915370181","7.5","0","47","300","thermal","thermal","2","2","1","3778","2026-02-22T02:36:07.167Z"
"698cf4dee24b87ad4c3038e1","28","medium","0.982","0.9818698913135613","0.1484375","1","41","300","linear","diverging","0","0","1","8102","2026-02-22T02:36:15.293Z"
"698cf4dee24b87ad4c3038e1","20","medium","0.982","0.9819948253931632","0.296875","1","34","300","diverging","constant","1","0","0","86570","2026-02-22T02:37:41.890Z"
"698cf4dee24b87ad4c3038e1","34","high","0.956","0.9569131400473452","0.375","1","33","300","linear","constant","0","0","1","5951","2026-02-22T02:37:47.866Z"
"698cf4dee24b87ad4c3038e1","12","low","0.954","0.9545422802766116","0.3046875","1","6","100","diverging","linear","0","0","1","8659","2026-02-22T02:37:56.534Z"
"698cf4dee24b87ad4c3038e1","23","medium","0.982","0.9825699703443748","0.40625","1","42","300","diverging","diverging","3","3","1","5092","2026-02-22T02:38:01.650Z"
"698cf4dee24b87ad4c3038e1","7","low","0.954","0.9542790687082024","0.50390625","1","24","200","constant","diverging","0","0","1","8289","2026-02-22T02:38:09.966Z"
"698cf4dee24b87ad4c3038e1","46","high","0.956","0.9562367097695152","0.5625","1","36","300","constant","linear","2","2","1","4569","2026-02-22T02:38:14.560Z"
"698cf4dee24b87ad4c3038e1","36","high","0.956","0.9568662995837042","0.265625","1","16","200","constant","constant","0","0","1","7063","2026-02-22T02:38:21.648Z"
"698cf4dee24b87ad4c3038e1","42","high","0.956","0.9560065849765339","0.625","1","27","200","thermal","diverging","0","0","1","9453","2026-02-22T02:38:31.128Z"
"698cf4dee24b87ad4c3038e1","9","low","0.954","0.953727074703984","6","1","13","100","linear","thermal","3","3","1","103990","2026-02-22T02:40:15.144Z"
"698cf4dee24b87ad4c3038e1","41","high","0.956","0.9551744608265642","0.296875","1","1","100","linear","constant","2","2","1","19279","2026-02-22T02:40:34.452Z"
"698cf4dee24b87ad4c3038e1","38","high","0.956","0.9561436655446987","0.21875","1","19","200","thermal","constant","2","2","1","8686","2026-02-22T02:40:43.162Z"
"698cf4dee24b87ad4c3038e1","9001","medium","0.8","0.8475864148859072","7.5","0","47","300","thermal","thermal","3","3","1","3714","2026-02-22T02:40:46.904Z"
"698cf4dee24b87ad4c3038e1","8","low","0.954","0.9546470497494968","0.9140625","1","5","100","linear","linear","0","0","1","12154","2026-02-22T02:40:59.085Z"
"698cf4dee24b87ad4c3038e1","26","medium","0.982","0.9821475424011574","0.296875","1","45","300","linear","thermal","2","2","1","13416","2026-02-22T02:41:12.525Z"
"698cf4dee24b87ad4c3038e1","10","low","0.954","0.953703045128496","0.287109375","1","32","300","constant","constant","0","0","1","15177","2026-02-22T02:41:27.729Z"
"698cf4dee24b87ad4c3038e1","29","medium","0.982","0.982708369598806","0.15625","1","14","100","diverging","thermal","3","3","1","21494","2026-02-22T02:41:49.233Z"
"698cf4dee24b87ad4c3038e1","19","medium","0.982","0.9814444404286558","0.1328125","1","37","300","linear","linear","0","0","1","11184","2026-02-22T02:42:00.441Z"
"698cf4dee24b87ad4c3038e1","45","high","0.956","0.9561230827274756","0.390625","1","17","200","linear","constant","2","2","1","5823","2026-02-22T02:42:06.289Z"
"698cf4dee24b87ad4c3038e1","39","high","0.956","0.9560641035218438","1.125","1","35","300","thermal","constant","2","2","1","4246","2026-02-22T02:42:10.561Z"
"698cf4dee24b87ad4c3038e1","16","low","0.954","0.9531647921351816","0.75","1","29","200","linear","thermal","1","1","1","9334","2026-02-22T02:42:19.920Z"
"698cf4dee24b87ad4c3038e1","24","medium","0.982","0.9818237132579613","0.1640625","1","47","300","thermal","thermal","2","2","1","7055","2026-02-22T02:42:27.001Z"
"698cf4dee24b87ad4c3038e1","6","low","0.954","0.9539787173775695","5.25","1","38","300","diverging","linear","2","2","1","5584","2026-02-22T02:42:32.611Z"
"698cf4dee24b87ad4c3038e1","32","medium","0.982","0.9811083959241252","0.15625","1","3","100","thermal","constant","1","1","1","5980","2026-02-22T02:42:38.617Z"
"698cf4dee24b87ad4c3038e1","14","low","0.954","0.9548431770215088","0.84375","1","9","100","linear","diverging","0","0","1","44218","2026-02-22T02:43:22.862Z"
"698cf4dee24b87ad4c3038e1","9002","medium","0.8","0.8609432304588867","7.5","0","47","300","thermal","thermal","3","3","1","3905","2026-02-22T02:43:26.793Z"
"698cf4dee24b87ad4c3038e1","44","high","0.956","0.9569253890514543","7","1","28","200","constant","thermal","1","1","1","3695","2026-02-22T02:43:30.510Z"
"698cf4dee24b87ad4c3038e1","2","low","0.954","0.9542309058127201","0.85546875","1","39","300","thermal","linear","0","0","1","34739","2026-02-22T02:44:05.277Z"
"698cf4dee24b87ad4c3038e1","37","high","0.956","0.9561781691384377","0.390625","1","26","200","diverging","diverging","1","1","1","5698","2026-02-22T02:44:11.001Z"
"698cf4dee24b87ad4c3038e1","17","medium","0.982","0.9816240894474937","1.5","1","43","300","thermal","diverging","0","0","1","13139","2026-02-22T02:44:24.147Z"
"698cf4dee24b87ad4c3038e1","15","low","0.954","0.9541613814260219","0.890625","1","31","200","thermal","thermal","0","0","1","7287","2026-02-22T02:44:31.441Z"
"698cf4dee24b87ad4c3038e1","18","medium","0.982","0.9813865705772078","0.25","1","15","100","thermal","thermal","2","2","1","18855","2026-02-22T02:44:50.303Z"
"698cf4dee24b87ad4c3038e1","48","high","0.956","0.9559483175326313","0.2890625","1","12","100","constant","thermal","2","2","1","5536","2026-02-22T02:44:55.845Z"
"698cf4dee24b87ad4c3038e1","3","low","0.954","0.9541998887941103","10.96875","1","18","200","diverging","constant","0","0","1","177635","2026-02-22T02:47:53.486Z"
"698cf4dee24b87ad4c3038e1","22","medium","0.982","0.9822172890667343","0.109375","1","23","200","thermal","linear","1","1","1","29489","2026-02-22T02:48:22.982Z"
"698cf4dee24b87ad4c3038e1","35","high","0.956","0.9564622242256091","0.46875","1","8","100","constant","diverging","3","3","1","12018","2026-02-22T02:48:35.010Z"
"698cf4dee24b87ad4c3038e1","11","low","0.954","0.9535835632202104","1.03125","1","10","100","diverging","diverging","1","1","1","47261","2026-02-22T02:49:22.277Z"
"698cf4dee24b87ad4c3038e1","43","high","0.956","0.9554885031678104","0.53125","1","2","100","diverging","constant","3","3","1","15619","2026-02-22T02:49:37.903Z"
"698cf4dee24b87ad4c3038e1","9003","medium","0.8","0.877723007879216","7","0","47","300","thermal","thermal","0","0","1","4543","2026-02-22T02:49:42.453Z"
