participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"698f8e8ec02d6d5f92286914","2","low","0.954","0.9536288951351946","0.66796875","1","15","100","thermal","thermal","1","1","1","22890","2026-02-22T07:06:04.691Z"
"698f8e8ec02d6d5f92286914","29","medium","0.982","0.98103020678953","0.4375","1","17","200","linear","constant","3","3","1","9851","2026-02-22T07:06:14.553Z"
"698f8e8ec02d6d5f92286914","10","low","0.954","0.9539998068763307","9","1","45","300","linear","thermal","2","2","1","18033","2026-02-22T07:06:32.595Z"
"698f8e8ec02d6d5f92286914","36","high","0.956","0.9566118660858387","0.40625","1","21","200","linear","linear","2","2","1","8041","2026-02-22T07:06:40.638Z"
"698f8e8ec02d6d5f92286914","6","low","0.954","0.9543345360490426","1.2421875","1","23","200","thermal","linear","0","0","1","6746","2026-02-22T07:06:47.390Z"
"698f8e8ec02d6d5f92286914","25","medium","0.982","0.9824719445120259","0.140625","1","1","100","linear","constant","0","3","0","14523","2026-02-22T07:07:01.921Z"
"698f8e8ec02d6d5f92286914","39","high","0.956","0.9565606857396557","0.328125","1","24","200","constant","diverging","0","0","1","3753","2026-02-22T07:07:05.682Z"
"698f8e8ec02d6d5f92286914","31","medium","0.982","0.982366005045627","0.5","1","4","100","constant","linear","1","1","1","4143","2026-02-22T07:07:09.833Z"
"698f8e8ec02d6d5f92286914","34","high","0.956","0.9551833864168093","0.34375","1","39","300","thermal","linear","0","0","1","2723","2026-02-22T07:07:12.563Z"
"698f8e8ec02d6d5f92286914","46","high","0.956","0.9559116020334102","0.2734375","1","9","100","linear","diverging","1","1","1","11365","2026-02-22T07:07:23.935Z"
"698f8e8ec02d6d5f92286914","27","medium","0.982","0.9818857063435921","0.265625","1","2","100","diverging","constant","2","2","1","7005","2026-02-22T07:07:30.947Z"
"698f8e8ec02d6d5f92286914","38","high","0.956","0.9554772322160782","0.6875","1","38","300","diverging","linear","2","2","1","6373","2026-02-22T07:07:37.327Z"
"698f8e8ec02d6d5f92286914","9000","medium","0.8","0.8363661722068755","7","0","47","300","thermal","thermal","0","0","1","1754","2026-02-22T07:07:39.087Z"
"698f8e8ec02d6d5f92286914","37","high","0.956","0.9555359685609597","0.296875","1","11","100","thermal","diverging","3","3","1","7155","2026-02-22T07:07:46.250Z"
"698f8e8ec02d6d5f92286914","20","medium","0.982","0.981570545794084","0.34375","1","16","200","constant","constant","3","3","1","4963","2026-02-22T07:07:51.220Z"
"698f8e8ec02d6d5f92286914","7","low","0.954","0.9532702391147244","0.5390625","1","42","300","diverging","diverging","0","1","0","22116","2026-02-22T07:08:13.342Z"
"698f8e8ec02d6d5f92286914","9","low","0.954","0.9548050936969285","0.9609375","1","30","200","diverging","thermal","3","3","1","3657","2026-02-22T07:08:17.003Z"
"698f8e8ec02d6d5f92286914","48","high","0.956","0.9557718705742413","1","1","29","200","linear","thermal","0","0","1","2861","2026-02-22T07:08:19.870Z"
"698f8e8ec02d6d5f92286914","41","high","0.956","0.9551008844912223","0.5625","1","13","100","linear","thermal","3","3","1","1979","2026-02-22T07:08:21.856Z"
"698f8e8ec02d6d5f92286914","42","high","0.956","0.956976960070568","0.75","1","32","300","constant","constant","3","3","1","1236","2026-02-22T07:08:23.099Z"
"698f8e8ec02d6d5f92286914","33","high","0.956","0.9552810387777576","7.5","1","0","100","constant","constant","3","3","1","1128","2026-02-22T07:08:24.233Z"
"698f8e8ec02d6d5f92286914","16","low","0.954","0.9544848050913646","0.3515625","1","3","100","thermal","constant","0","1","0","22659","2026-02-22T07:08:46.900Z"
"698f8e8ec02d6d5f92286914","11","low","0.954","0.9539225590044338","1.21875","1","44","300","constant","thermal","1","1","1","2920","2026-02-22T07:08:49.826Z"
"698f8e8ec02d6d5f92286914","45","high","0.956","0.9550719261095822","0.625","1","25","200","linear","diverging","1","1","1","1923","2026-02-22T07:08:51.756Z"
"698f8e8ec02d6d5f92286914","21","medium","0.982","0.9812800185296919","0.25","1","26","200","diverging","diverging","1","1","1","5390","2026-02-22T07:08:57.152Z"
"698f8e8ec02d6d5f92286914","9001","medium","0.8","0.8165649408515626","4","0","47","300","thermal","thermal","1","1","1","1661","2026-02-22T07:08:58.820Z"
"698f8e8ec02d6d5f92286914","43","high","0.956","0.9567538942606325","0.296875","1","10","100","diverging","diverging","3","3","1","3378","2026-02-22T07:09:02.205Z"
"698f8e8ec02d6d5f92286914","18","medium","0.982","0.981998723968517","0.21875","1","33","300","linear","constant","1","1","1","6404","2026-02-22T07:09:08.615Z"
"698f8e8ec02d6d5f92286914","19","medium","0.982","0.9826179834014415","0.1171875","1","8","100","constant","diverging","1","1","1","5678","2026-02-22T07:09:14.301Z"
"698f8e8ec02d6d5f92286914","26","medium","0.982","0.9828162594500395","0.3125","1","27","200","thermal","diverging","3","3","1","3515","2026-02-22T07:09:17.818Z"
"698f8e8ec02d6d5f92286914","3","low","0.954","0.9546271894032227","3.375","1","37","300","linear","linear","0","0","1","10109","2026-02-22T07:09:27.933Z"
"698f8e8ec02d6d5f92286914","12","low","0.954","0.9545219248816478","1.453125","1","41","300","linear","diverging","2","2","1","14849","2026-02-22T07:09:42.790Z"
"698f8e8ec02d6d5f92286914","28","medium","0.982","0.9814911442891162","0.34375","1","28","200","constant","thermal","0","0","1","8359","2026-02-22T07:09:51.156Z"
"698f8e8ec02d6d5f92286914","1","low","0.954","0.954830164221601","3","1","43","300","thermal","diverging","0","0","1","3923","2026-02-22T07:09:55.085Z"
"698f8e8ec02d6d5f92286914","22","medium","0.982","0.9810265211605717","0.34375","1","19","200","thermal","constant","1","1","1","2427","2026-02-22T07:09:57.519Z"
"698f8e8ec02d6d5f92286914","44","high","0.956","0.9565376656258755","4","1","6","100","diverging","linear","0","0","1","2445","2026-02-22T07:09:59.970Z"
"698f8e8ec02d6d5f92286914","5","low","0.954","0.9531435245764757","6.375","1","22","200","diverging","linear","3","3","1","19328","2026-02-22T07:10:19.305Z"
"698f8e8ec02d6d5f92286914","8","low","0.954","0.9540222326414056","0.515625","1","47","300","thermal","thermal","3","3","1","7230","2026-02-22T07:10:26.541Z"
"698f8e8ec02d6d5f92286914","9002","medium","0.8","0.878752851612953","6","0","47","300","thermal","thermal","3","3","1","1897","2026-02-22T07:10:28.445Z"
"698f8e8ec02d6d5f92286914","32","medium","0.982","0.9819237787422062","0.34375","1","12","100","constant","thermal","1","1","1","3195","2026-02-22T07:10:31.648Z"
"698f8e8ec02d6d5f92286914","14","low","0.954","0.9539847360950111","0.890625","1","20","200","constant","linear","3","3","1","3992","2026-02-22T07:10:35.647Z"
"698f8e8ec02d6d5f92286914","15","low","0.954","0.9530195775652828","1.5","1","7","100","thermal","linear","0","0","1","2811","2026-02-22T07:10:38.465Z"
"698f8e8ec02d6d5f92286914","24","medium","0.982","0.9828665020168086","0.171875","1","46","300","diverging","thermal","0","0","1","4248","2026-02-22T07:10:42.716Z"
"698f8e8ec02d6d5f92286914","47","high","0.956","0.9557697583128549","0.5","1","31","200","thermal","thermal","2","2","1","3839","2026-02-22T07:10:46.557Z"
"698f8e8ec02d6d5f92286914","30","medium","0.982","0.9821732799839942","0.1796875","1","36","300","constant","linear","2","2","1","12161","2026-02-22T07:10:58.719Z"
