participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"698f9f8c4242e1c38500aae2","28","medium","0.982","0.9829751644632164","0.203125","1","41","300","linear","diverging","3","0","0","5416","2026-02-22T02:12:01.594Z"
"698f9f8c4242e1c38500aae2","7","low","0.954","0.9539911354950799","1.3125","1","24","200","constant","diverging","3","0","0","8575","2026-02-22T02:12:10.177Z"
"698f9f8c4242e1c38500aae2","18","medium","0.982","0.9816448452632017","0.28125","1","15","100","thermal","thermal","3","0","0","3266","2026-02-22T02:12:17.864Z"
"698f9f8c4242e1c38500aae2","14","low","0.954","0.9546211161652786","0.28125","1","9","100","linear","diverging","1","1","1","5390","2026-02-22T02:12:23.266Z"
"698f9f8c4242e1c38500aae2","42","high","0.956","0.9563770278783275","0.2265625","1","27","200","thermal","diverging","2","3","0","6799","2026-02-22T02:12:30.092Z"
"698f9f8c4242e1c38500aae2","31","medium","0.982","0.982514854572862","0.171875","1","7","100","thermal","linear","1","1","1","3571","2026-02-22T02:12:33.685Z"
"698f9f8c4242e1c38500aae2","37","high","0.956","0.9558755820051774","1.375","1","26","200","diverging","diverging","2","2","1","1445","2026-02-22T02:12:35.156Z"
"698f9f8c4242e1c38500aae2","1","low","0.954","0.9531903801898607","0.9375","1","0","100","constant","constant","2","2","1","3950","2026-02-22T02:12:39.131Z"
"698f9f8c4242e1c38500aae2","47","high","0.956","0.9557751440537182","0.296875","1","4","100","constant","linear","2","0","0","9468","2026-02-22T02:12:48.625Z"
"698f9f8c4242e1c38500aae2","43","high","0.956","0.9558219507568316","0.5625","1","2","100","diverging","constant","0","0","1","3042","2026-02-22T02:12:51.694Z"
"698f9f8c4242e1c38500aae2","10","low","0.954","0.95310308585974","0.50390625","1","32","300","constant","constant","1","1","1","5488","2026-02-22T02:12:57.207Z"
"698f9f8c4242e1c38500aae2","36","high","0.956","0.9561515748897637","0.4375","1","16","200","constant","constant","3","3","1","2451","2026-02-22T02:12:59.683Z"
"698f9f8c4242e1c38500aae2","9000","medium","0.8","0.8266688218560503","4","0","47","300","thermal","thermal","1","1","1","3889","2026-02-22T02:13:03.597Z"
"698f9f8c4242e1c38500aae2","4","low","0.954","0.9544724466811778","0.5390625","1","21","200","linear","linear","2","1","0","11998","2026-02-22T02:13:15.619Z"
"698f9f8c4242e1c38500aae2","29","medium","0.982","0.9810317936520129","0.1875","1","14","100","diverging","thermal","3","3","1","7297","2026-02-22T02:13:22.940Z"
"698f9f8c4242e1c38500aae2","21","medium","0.982","0.9823125573479888","0.3125","1","22","200","diverging","linear","3","3","1","2230","2026-02-22T02:13:25.195Z"
"698f9f8c4242e1c38500aae2","30","medium","0.982","0.9810243322388469","0.375","1","20","200","constant","linear","0","0","1","3131","2026-02-22T02:13:28.337Z"
"698f9f8c4242e1c38500aae2","44","high","0.956","0.9562876989607206","0.4375","1","28","200","constant","thermal","1","0","0","2381","2026-02-22T02:13:30.742Z"
"698f9f8c4242e1c38500aae2","34","high","0.956","0.9557735948210154","0.484375","1","33","300","linear","constant","3","3","1","2915","2026-02-22T02:13:33.683Z"
"698f9f8c4242e1c38500aae2","22","medium","0.982","0.9819773137136816","0.34375","1","23","200","thermal","linear","2","0","0","6421","2026-02-22T02:13:40.130Z"
"698f9f8c4242e1c38500aae2","24","medium","0.982","0.9820710651241854","0.140625","1","47","300","thermal","thermal","2","0","0","5462","2026-02-22T02:13:45.615Z"
"698f9f8c4242e1c38500aae2","6","low","0.954","0.9540843062954536","0.65625","1","38","300","diverging","linear","0","0","1","3106","2026-02-22T02:13:48.747Z"
"698f9f8c4242e1c38500aae2","48","high","0.956","0.9560263909979149","0.75","1","12","100","constant","thermal","0","0","1","2576","2026-02-22T02:13:51.346Z"
"698f9f8c4242e1c38500aae2","35","high","0.956","0.9553246531986235","0.75","1","8","100","constant","diverging","2","2","1","2592","2026-02-22T02:13:53.962Z"
"698f9f8c4242e1c38500aae2","23","medium","0.982","0.9829109944373977","0.109375","1","42","300","diverging","diverging","1","3","0","7745","2026-02-22T02:14:01.730Z"
"698f9f8c4242e1c38500aae2","9001","medium","0.8","0.8978119719034605","7","0","47","300","thermal","thermal","2","2","1","2393","2026-02-22T02:14:04.146Z"
"698f9f8c4242e1c38500aae2","46","high","0.956","0.9555348998170355","1.5","1","36","300","constant","linear","2","2","1","2196","2026-02-22T02:14:06.365Z"
"698f9f8c4242e1c38500aae2","25","medium","0.982","0.9825486146868209","0.203125","1","30","200","diverging","thermal","0","0","1","3423","2026-02-22T02:14:09.811Z"
"698f9f8c4242e1c38500aae2","8","low","0.954","0.9531643156285862","0.41015625","1","5","100","linear","linear","2","0","0","7953","2026-02-22T02:14:17.789Z"
"698f9f8c4242e1c38500aae2","3","low","0.954","0.9543391493843126","0.421875","1","18","200","diverging","constant","1","1","1","7413","2026-02-22T02:14:25.211Z"
"698f9f8c4242e1c38500aae2","33","high","0.956","0.9559284367446764","0.75","1","40","300","constant","diverging","1","1","1","1546","2026-02-22T02:14:26.784Z"
"698f9f8c4242e1c38500aae2","45","high","0.956","0.9558807748206171","0.28125","1","17","200","linear","constant","1","0","0","3413","2026-02-22T02:14:30.221Z"
"698f9f8c4242e1c38500aae2","39","high","0.956","0.956831720036704","0.3125","1","35","300","thermal","constant","1","1","1","5111","2026-02-22T02:14:35.355Z"
"698f9f8c4242e1c38500aae2","19","medium","0.982","0.9826758079563979","0.140625","1","37","300","linear","linear","2","2","1","7280","2026-02-22T02:14:42.659Z"
"698f9f8c4242e1c38500aae2","26","medium","0.982","0.9811126237830831","0.3125","1","45","300","linear","thermal","3","3","1","3753","2026-02-22T02:14:46.437Z"
"698f9f8c4242e1c38500aae2","15","low","0.954","0.9536736166001057","0.45703125","1","31","200","thermal","thermal","1","1","1","6616","2026-02-22T02:14:53.077Z"
"698f9f8c4242e1c38500aae2","5","low","0.954","0.9549054155053162","0.6796875","1","11","100","thermal","diverging","1","1","1","7288","2026-02-22T02:15:00.387Z"
"698f9f8c4242e1c38500aae2","2","low","0.954","0.954026636923461","1.125","1","39","300","thermal","linear","1","1","1","7724","2026-02-22T02:15:08.134Z"
"698f9f8c4242e1c38500aae2","9002","medium","0.8","0.8074377014553247","7.75","0","47","300","thermal","thermal","1","1","1","7872","2026-02-22T02:15:16.030Z"
"698f9f8c4242e1c38500aae2","20","medium","0.982","0.9824554006766386","0.296875","1","34","300","diverging","constant","2","2","1","4896","2026-02-22T02:15:20.951Z"
"698f9f8c4242e1c38500aae2","12","low","0.954","0.9538973565194757","3.46875","1","6","100","diverging","linear","2","2","1","9347","2026-02-22T02:15:30.320Z"
"698f9f8c4242e1c38500aae2","27","medium","0.982","0.9818971540197236","0.15625","1","44","300","constant","thermal","0","0","1","2549","2026-02-22T02:15:32.891Z"
"698f9f8c4242e1c38500aae2","17","medium","0.982","0.981685526283376","0.265625","1","43","300","thermal","diverging","0","0","1","8878","2026-02-22T02:15:41.782Z"
"698f9f8c4242e1c38500aae2","16","low","0.954","0.9541131905602133","0.57421875","1","29","200","linear","thermal","3","0","0","11621","2026-02-22T02:15:53.414Z"
"698f9f8c4242e1c38500aae2","38","high","0.956","0.9567344949733828","0.40625","1","19","200","thermal","constant","1","1","1","2070","2026-02-22T02:15:55.496Z"
"698f9f8c4242e1c38500aae2","41","high","0.956","0.956879818079138","0.46875","1","1","100","linear","constant","3","3","1","2685","2026-02-22T02:15:58.191Z"
"698f9f8c4242e1c38500aae2","40","high","0.956","0.9556156981893742","1.125","1","46","300","diverging","thermal","3","3","1","1760","2026-02-22T02:15:59.961Z"
"698f9f8c4242e1c38500aae2","32","medium","0.982","0.9827222858228113","0.1015625","1","3","100","thermal","constant","1","2","0","15408","2026-02-22T02:16:15.379Z"
"698f9f8c4242e1c38500aae2","9","low","0.954","0.9532517334509621","11.625","1","13","100","linear","thermal","3","2","0","4074","2026-02-22T02:16:19.464Z"
"698f9f8c4242e1c38500aae2","13","low","0.954","0.9533024066465219","7.40625","1","25","200","linear","diverging","3","0","0","9710","2026-02-22T02:16:29.184Z"
"698f9f8c4242e1c38500aae2","11","low","0.954","0.9539838158247681","2.015625","1","10","100","diverging","diverging","1","1","1","5997","2026-02-22T02:16:35.190Z"
"698f9f8c4242e1c38500aae2","9003","medium","0.8","0.9022198707122335","7.999992370605469","0","47","300","thermal","thermal","3","3","1","2665","2026-02-22T02:16:37.871Z"
