participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"698fa15b8a7403d01be92fa6","40","high","0.956","0.9555599693782647","0.296875","1","47","300","thermal","thermal","2","2","1","37005","2026-02-22T02:15:21.854Z"
"698fa15b8a7403d01be92fa6","26","medium","0.982","0.9825757745112534","0.15625","1","32","300","constant","constant","0","1","0","8314","2026-02-22T02:15:30.203Z"
"698fa15b8a7403d01be92fa6","2","low","0.954","0.953753642659704","0.62109375","1","33","300","linear","constant","1","1","1","8303","2026-02-22T02:15:38.536Z"
"698fa15b8a7403d01be92fa6","9","low","0.954","0.9538294567660655","0.251953125","1","1","100","linear","constant","2","1","0","4077","2026-02-22T02:15:42.620Z"
"698fa15b8a7403d01be92fa6","32","medium","0.982","0.9810413024292785","0.28125","1","29","200","linear","thermal","0","0","1","5057","2026-02-22T02:15:47.703Z"
"698fa15b8a7403d01be92fa6","42","high","0.956","0.9556523652198257","0.625","1","45","300","linear","thermal","3","3","1","2625","2026-02-22T02:15:50.353Z"
"698fa15b8a7403d01be92fa6","47","high","0.956","0.9555394336702393","0.296875","1","7","100","thermal","linear","2","2","1","3974","2026-02-22T02:15:54.353Z"
"698fa15b8a7403d01be92fa6","43","high","0.956","0.9555032341870555","0.75","1","44","300","constant","thermal","2","2","1","2012","2026-02-22T02:15:56.403Z"
"698fa15b8a7403d01be92fa6","45","high","0.956","0.9562340999451125","0.3125","1","14","100","diverging","thermal","3","3","1","1688","2026-02-22T02:15:58.119Z"
"698fa15b8a7403d01be92fa6","13","low","0.954","0.9536454355151989","1.640625","1","17","200","linear","constant","0","2","0","16775","2026-02-22T02:16:14.920Z"
"698fa15b8a7403d01be92fa6","37","high","0.956","0.9562483360778778","2","1","22","200","diverging","linear","2","2","1","10992","2026-02-22T02:16:25.937Z"
"698fa15b8a7403d01be92fa6","11","low","0.954","0.9530685853785137","10.265625","1","2","100","diverging","constant","2","2","1","6356","2026-02-22T02:16:32.319Z"
"698fa15b8a7403d01be92fa6","9000","medium","0.8","0.8714615813874221","6","0","47","300","thermal","thermal","0","0","1","3540","2026-02-22T02:16:35.885Z"
"698fa15b8a7403d01be92fa6","12","low","0.954","0.9545007146877943","11.953125","1","28","200","constant","thermal","1","0","0","11963","2026-02-22T02:16:47.871Z"
"698fa15b8a7403d01be92fa6","5","low","0.954","0.9544487496132531","0.6328125","1","26","200","diverging","diverging","0","0","1","3988","2026-02-22T02:16:51.886Z"
"698fa15b8a7403d01be92fa6","48","high","0.956","0.9558036694442668","0.71875","1","3","100","thermal","constant","1","1","1","2875","2026-02-22T02:16:54.786Z"
"698fa15b8a7403d01be92fa6","14","low","0.954","0.953542772095512","0.4921875","1","36","300","constant","linear","2","2","1","4591","2026-02-22T02:16:59.385Z"
"698fa15b8a7403d01be92fa6","38","high","0.956","0.955155238996836","0.375","1","23","200","thermal","linear","2","2","1","4809","2026-02-22T02:17:04.220Z"
"698fa15b8a7403d01be92fa6","4","low","0.954","0.9542396748940071","0.4921875","1","16","200","constant","constant","1","1","1","18790","2026-02-22T02:17:23.036Z"
"698fa15b8a7403d01be92fa6","27","medium","0.982","0.9819050221821528","0.15625","1","10","100","diverging","diverging","2","2","1","3059","2026-02-22T02:17:26.119Z"
"698fa15b8a7403d01be92fa6","23","medium","0.982","0.9817423140278136","0.328125","1","24","200","constant","diverging","0","0","1","6523","2026-02-22T02:17:32.668Z"
"698fa15b8a7403d01be92fa6","24","medium","0.982","0.981876762427086","0.21875","1","5","100","linear","linear","3","3","1","3376","2026-02-22T02:17:36.070Z"
"698fa15b8a7403d01be92fa6","17","medium","0.982","0.9824800504341842","0.375","1","0","100","constant","constant","3","3","1","3433","2026-02-22T02:17:39.536Z"
"698fa15b8a7403d01be92fa6","3","low","0.954","0.9533556214651567","1.40625","1","8","100","constant","diverging","2","2","1","8642","2026-02-22T02:17:48.203Z"
"698fa15b8a7403d01be92fa6","7","low","0.954","0.9535971266268385","0.69140625","1","35","300","thermal","constant","1","1","1","3521","2026-02-22T02:17:51.753Z"
"698fa15b8a7403d01be92fa6","9001","medium","0.8","0.8355452052536042","6","0","47","300","thermal","thermal","0","0","1","2024","2026-02-22T02:17:53.803Z"
"698fa15b8a7403d01be92fa6","25","medium","0.982","0.9820281454946002","0.75","1","13","100","linear","thermal","3","3","1","7242","2026-02-22T02:18:01.070Z"
"698fa15b8a7403d01be92fa6","31","medium","0.982","0.9812269075447619","0.4375","1","31","200","thermal","thermal","3","3","1","2241","2026-02-22T02:18:03.336Z"
"698fa15b8a7403d01be92fa6","21","medium","0.982","0.9819608403303755","0.1875","1","11","100","thermal","diverging","3","3","1","7656","2026-02-22T02:18:11.019Z"
"698fa15b8a7403d01be92fa6","34","high","0.956","0.9560378632315102","0.5625","1","15","100","thermal","thermal","2","2","1","2109","2026-02-22T02:18:13.136Z"
"698fa15b8a7403d01be92fa6","44","high","0.956","0.9568117460528949","0.28125","1","41","300","linear","diverging","0","0","1","4092","2026-02-22T02:18:17.252Z"
"698fa15b8a7403d01be92fa6","10","low","0.954","0.9535544321775286","0.38671875","1","27","200","thermal","diverging","3","3","1","1524","2026-02-22T02:18:18.803Z"
"698fa15b8a7403d01be92fa6","22","medium","0.982","0.9827116177317362","0.234375","1","38","300","diverging","linear","3","3","1","2808","2026-02-22T02:18:21.635Z"
"698fa15b8a7403d01be92fa6","33","high","0.956","0.9559011976914362","0.75","1","43","300","thermal","diverging","3","3","1","2476","2026-02-22T02:18:24.136Z"
"698fa15b8a7403d01be92fa6","39","high","0.956","0.955601542899563","0.3125","1","42","300","diverging","diverging","0","0","1","4240","2026-02-22T02:18:28.402Z"
"698fa15b8a7403d01be92fa6","18","medium","0.982","0.9821303046975816","0.1875","1","39","300","thermal","linear","1","1","1","4143","2026-02-22T02:18:32.569Z"
"698fa15b8a7403d01be92fa6","16","low","0.954","0.9546633624363543","10.5","1","12","100","constant","thermal","3","0","0","5941","2026-02-22T02:18:38.537Z"
"698fa15b8a7403d01be92fa6","29","medium","0.982","0.982755369295618","0.3125","1","25","200","linear","diverging","2","2","1","3022","2026-02-22T02:18:41.586Z"
"698fa15b8a7403d01be92fa6","9002","medium","0.8","0.8915262344974361","7","0","47","300","thermal","thermal","0","0","1","1922","2026-02-22T02:18:43.535Z"
"698fa15b8a7403d01be92fa6","6","low","0.954","0.9637004621649404","11.25","1","19","200","thermal","constant","1","0","0","11240","2026-02-22T02:18:54.802Z"
"698fa15b8a7403d01be92fa6","8","low","0.954","0.9530347006575511","0.4921875","1","46","300","diverging","thermal","0","0","1","9074","2026-02-22T02:19:03.902Z"
"698fa15b8a7403d01be92fa6","1","low","0.954","0.9535332767149174","0.609375","1","40","300","constant","diverging","3","3","1","10506","2026-02-22T02:19:14.435Z"
"698fa15b8a7403d01be92fa6","15","low","0.954","0.9539125010039299","0.4453125","1","4","100","constant","linear","1","0","0","9892","2026-02-22T02:19:24.335Z"
"698fa15b8a7403d01be92fa6","46","high","0.956","0.9562041931170072","0.375","1","20","200","constant","linear","3","3","1","5160","2026-02-22T02:19:29.503Z"
"698fa15b8a7403d01be92fa6","36","high","0.956","0.9564274448558977","1.25","1","34","300","diverging","constant","3","3","1","28543","2026-02-22T02:19:58.052Z"
"698fa15b8a7403d01be92fa6","28","medium","0.982","0.9824943492646601","0.1328125","1","6","100","diverging","linear","1","3","0","37328","2026-02-22T02:20:35.386Z"
"698fa15b8a7403d01be92fa6","35","high","0.956","0.9562082927511215","2","1","37","300","linear","linear","3","3","1","1243","2026-02-22T02:20:36.636Z"
"698fa15b8a7403d01be92fa6","20","medium","0.982","0.9823622760872555","0.1875","1","21","200","linear","linear","1","1","1","4677","2026-02-22T02:20:41.319Z"
"698fa15b8a7403d01be92fa6","41","high","0.956","0.9555504749993359","0.40625","1","30","200","diverging","thermal","0","0","1","2593","2026-02-22T02:20:43.919Z"
"698fa15b8a7403d01be92fa6","19","medium","0.982","0.9813323903629901","0.375","1","18","200","diverging","constant","2","2","1","2794","2026-02-22T02:20:46.720Z"
"698fa15b8a7403d01be92fa6","30","medium","0.982","0.9812741037641793","0.3125","1","9","100","linear","diverging","2","2","1","12125","2026-02-22T02:20:58.852Z"
"698fa15b8a7403d01be92fa6","9003","medium","0.8","0.8723904760241848","4","0","47","300","thermal","thermal","2","2","1","1342","2026-02-22T02:21:00.201Z"
