participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"69914167a3f3df4cef9e082c","39","high","0.956","0.9563740421724417","0.625","1","42","300","diverging","diverging","1","1","1","2530","2026-02-22T07:05:34.753Z"
"69914167a3f3df4cef9e082c","3","low","0.954","0.953712077154526","0.609375","1","8","100","constant","diverging","3","3","1","3106","2026-02-22T07:05:37.865Z"
"69914167a3f3df4cef9e082c","29","medium","0.982","0.9819321367349052","0.15625","1","25","200","linear","diverging","1","1","1","3492","2026-02-22T07:05:41.369Z"
"69914167a3f3df4cef9e082c","11","low","0.954","0.9534976716133656","2.296875","1","2","100","diverging","constant","2","2","1","7511","2026-02-22T07:05:48.882Z"
"69914167a3f3df4cef9e082c","12","low","0.954","0.9537625664612198","0.46875","1","28","200","constant","thermal","3","3","1","2969","2026-02-22T07:05:51.874Z"
"69914167a3f3df4cef9e082c","20","medium","0.982","0.9828062437436441","0.1875","1","21","200","linear","linear","3","3","1","3131","2026-02-22T07:05:55.058Z"
"69914167a3f3df4cef9e082c","30","medium","0.982","0.9819104980672261","0.125","1","9","100","linear","diverging","1","1","1","2865","2026-02-22T07:05:57.946Z"
"69914167a3f3df4cef9e082c","22","medium","0.982","0.9818567451222018","0.21875","1","38","300","diverging","linear","2","2","1","7847","2026-02-22T07:06:05.818Z"
"69914167a3f3df4cef9e082c","21","medium","0.982","0.9824171086294575","0.265625","1","11","100","thermal","diverging","1","1","1","3145","2026-02-22T07:06:08.986Z"
"69914167a3f3df4cef9e082c","13","low","0.954","0.9531722649877286","1.3125","1","17","200","linear","constant","2","2","1","7717","2026-02-22T07:06:16.722Z"
"69914167a3f3df4cef9e082c","45","high","0.956","0.9563349099846536","0.203125","1","14","100","diverging","thermal","3","3","1","5553","2026-02-22T07:06:22.298Z"
"69914167a3f3df4cef9e082c","47","high","0.956","0.9567295297295595","0.5","1","7","100","thermal","linear","0","0","1","8792","2026-02-22T07:06:31.122Z"
"69914167a3f3df4cef9e082c","9000","medium","0.8","0.8425193997710032","4","0","47","300","thermal","thermal","3","3","1","4647","2026-02-22T07:06:35.794Z"
"69914167a3f3df4cef9e082c","25","medium","0.982","0.9827007340776769","0.375","1","13","100","linear","thermal","3","3","1","5383","2026-02-22T07:06:41.202Z"
"69914167a3f3df4cef9e082c","43","high","0.956","0.9561141715347221","0.40625","1","44","300","constant","thermal","0","0","1","5641","2026-02-22T07:06:46.866Z"
"69914167a3f3df4cef9e082c","15","low","0.954","0.9549782956466163","0.83203125","1","4","100","constant","linear","0","0","1","10776","2026-02-22T07:06:57.666Z"
"69914167a3f3df4cef9e082c","46","high","0.956","0.95634362426513","0.4375","1","20","200","constant","linear","0","1","0","2766","2026-02-22T07:07:00.442Z"
"69914167a3f3df4cef9e082c","23","medium","0.982","0.982284401416133","0.28125","1","24","200","constant","diverging","3","3","1","1369","2026-02-22T07:07:01.833Z"
"69914167a3f3df4cef9e082c","14","low","0.954","0.9537237532962839","0.3984375","1","36","300","constant","linear","3","3","1","8271","2026-02-22T07:07:10.130Z"
"69914167a3f3df4cef9e082c","48","high","0.956","0.9552304713728205","0.328125","1","3","100","thermal","constant","0","0","1","11271","2026-02-22T07:07:21.426Z"
