participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6992cbc78e1063a80a315c40","4","low","0.954","0.9533410197569794","0.38671875","1","16","200","constant","constant","3","1","0","13023","2026-02-22T07:07:39.160Z"
"6992cbc78e1063a80a315c40","29","medium","0.982","0.9822687535997678","0.171875","1","25","200","linear","diverging","0","0","1","5569","2026-02-22T07:07:44.754Z"
"6992cbc78e1063a80a315c40","18","medium","0.982","0.9813634038593702","0.1328125","1","39","300","thermal","linear","0","1","0","5908","2026-02-22T07:07:50.672Z"
"6992cbc78e1063a80a315c40","5","low","0.954","0.9533193178111519","1.453125","1","26","200","diverging","diverging","3","2","0","5419","2026-02-22T07:07:56.098Z"
"6992cbc78e1063a80a315c40","45","high","0.956","0.956156922313788","0.3125","1","14","100","diverging","thermal","3","1","0","3849","2026-02-22T07:07:59.970Z"
"6992cbc78e1063a80a315c40","9","low","0.954","0.9534352301636947","0.7265625","1","1","100","linear","constant","1","1","1","5622","2026-02-22T07:08:05.639Z"
"6992cbc78e1063a80a315c40","40","high","0.956","0.9566930065547614","0.5","1","47","300","thermal","thermal","3","3","1","2802","2026-02-22T07:08:08.480Z"
"6992cbc78e1063a80a315c40","19","medium","0.982","0.981766217128399","0.21875","1","18","200","diverging","constant","2","2","1","2075","2026-02-22T07:08:10.580Z"
"6992cbc78e1063a80a315c40","14","low","0.954","0.9537878983172637","5.8125","1","36","300","constant","linear","0","1","0","10893","2026-02-22T07:08:21.500Z"
"6992cbc78e1063a80a315c40","2","low","0.954","0.9533014305698678","0.52734375","1","33","300","linear","constant","2","2","1","2932","2026-02-22T07:08:24.454Z"
"6992cbc78e1063a80a315c40","39","high","0.956","0.9560726543265322","0.328125","1","42","300","diverging","diverging","0","0","1","4429","2026-02-22T07:08:28.911Z"
"6992cbc78e1063a80a315c40","15","low","0.954","0.9542825969223437","0.421875","1","4","100","constant","linear","1","1","1","6468","2026-02-22T07:08:35.404Z"
"6992cbc78e1063a80a315c40","9000","medium","0.8","0.8514878834321981","7.75","0","47","300","thermal","thermal","2","2","1","2709","2026-02-22T07:08:38.142Z"
"6992cbc78e1063a80a315c40","11","low","0.954","0.9548017428661125","1.125","1","2","100","diverging","constant","3","2","0","7374","2026-02-22T07:08:45.540Z"
"6992cbc78e1063a80a315c40","7","low","0.954","0.9542937504518474","0.375","1","35","300","thermal","constant","3","3","1","5577","2026-02-22T07:08:51.143Z"
"6992cbc78e1063a80a315c40","25","medium","0.982","0.9817067949743865","0.203125","1","13","100","linear","thermal","0","0","1","4430","2026-02-22T07:08:55.595Z"
"6992cbc78e1063a80a315c40","32","medium","0.982","0.9817539060774663","0.25","1","29","200","linear","thermal","1","1","1","6001","2026-02-22T07:09:01.605Z"
"6992cbc78e1063a80a315c40","3","low","0.954","0.9530712269735697","0.84375","1","8","100","constant","diverging","1","1","1","16048","2026-02-22T07:09:17.679Z"
"6992cbc78e1063a80a315c40","10","low","0.954","0.9531455395174536","6.09375","1","27","200","thermal","diverging","0","0","1","4323","2026-02-22T07:09:22.029Z"
"6992cbc78e1063a80a315c40","26","medium","0.982","0.982561068229114","0.21875","1","32","300","constant","constant","1","1","1","2640","2026-02-22T07:09:24.695Z"
"6992cbc78e1063a80a315c40","8","low","0.954","0.9544583513558268","0.9375","1","46","300","diverging","thermal","2","2","1","11014","2026-02-22T07:09:35.732Z"
"6992cbc78e1063a80a315c40","38","high","0.956","0.9565244241810391","6.75","1","23","200","thermal","linear","3","3","1","5481","2026-02-22T07:09:41.239Z"
"6992cbc78e1063a80a315c40","6","low","0.954","0.9539085995437974","0.298828125","1","19","200","thermal","constant","0","0","1","10499","2026-02-22T07:09:51.766Z"
"6992cbc78e1063a80a315c40","33","high","0.956","0.9554005654819554","1.25","1","43","300","thermal","diverging","0","0","1","6064","2026-02-22T07:09:57.854Z"
"6992cbc78e1063a80a315c40","22","medium","0.982","0.9814191414861086","0.40625","1","38","300","diverging","linear","0","0","1","6154","2026-02-22T07:10:04.030Z"
"6992cbc78e1063a80a315c40","9001","medium","0.8","0.8285879121619191","7.5","0","47","300","thermal","thermal","3","3","1","2289","2026-02-22T07:10:06.342Z"
"6992cbc78e1063a80a315c40","48","high","0.956","0.9559114577939426","0.5","1","3","100","thermal","constant","0","0","1","1506","2026-02-22T07:10:07.878Z"
"6992cbc78e1063a80a315c40","34","high","0.956","0.9566332028063327","0.28125","1","15","100","thermal","thermal","3","3","1","1500","2026-02-22T07:10:09.406Z"
"6992cbc78e1063a80a315c40","36","high","0.956","0.9559624574532696","1.125","1","34","300","diverging","constant","0","0","1","3917","2026-02-22T07:10:13.356Z"
"6992cbc78e1063a80a315c40","13","low","0.954","0.9543407585865754","6","1","17","200","linear","constant","1","1","1","9547","2026-02-22T07:10:22.910Z"
"6992cbc78e1063a80a315c40","16","low","0.954","0.9537255104790813","0.7265625","1","12","100","constant","thermal","2","2","1","4961","2026-02-22T07:10:27.896Z"
"6992cbc78e1063a80a315c40","37","high","0.956","0.9555796121171295","1.0625","1","22","200","diverging","linear","0","0","1","1515","2026-02-22T07:10:29.438Z"
"6992cbc78e1063a80a315c40","47","high","0.956","0.956397608370685","0.25","1","7","100","thermal","linear","1","1","1","5856","2026-02-22T07:10:35.320Z"
"6992cbc78e1063a80a315c40","44","high","0.956","0.9555228466067766","0.78125","1","41","300","linear","diverging","3","3","1","1743","2026-02-22T07:10:37.086Z"
"6992cbc78e1063a80a315c40","30","medium","0.982","0.9815751681333057","0.125","1","9","100","linear","diverging","0","0","1","5816","2026-02-22T07:10:42.930Z"
"6992cbc78e1063a80a315c40","23","medium","0.982","0.9812969066461806","0.375","1","24","200","constant","diverging","0","0","1","6286","2026-02-22T07:10:49.242Z"
"6992cbc78e1063a80a315c40","31","medium","0.982","0.9812223774751022","0.15625","1","31","200","thermal","thermal","0","0","1","23378","2026-02-22T07:11:12.646Z"
"6992cbc78e1063a80a315c40","21","medium","0.982","0.9818493888957704","0.40625","1","11","100","thermal","diverging","1","1","1","3318","2026-02-22T07:11:15.994Z"
