participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"699682150479d70e4a010516","13","low","0.954","0.9537725910311774","0.5390625","1","25","200","linear","diverging","1","1","1","6375","2026-02-22T03:50:13.184Z"
"699682150479d70e4a010516","33","high","0.956","0.9554638835468","4","1","40","300","constant","diverging","2","2","1","2326","2026-02-22T03:50:15.527Z"
"699682150479d70e4a010516","30","medium","0.982","0.9814067929388844","0.234375","1","20","200","constant","linear","0","1","0","6750","2026-02-22T03:50:22.289Z"
"699682150479d70e4a010516","2","low","0.954","0.9541449332998142","1.171875","1","39","300","thermal","linear","0","0","1","6076","2026-02-22T03:50:28.375Z"
"699682150479d70e4a010516","43","high","0.956","0.9563844204243264","0.5625","1","2","100","diverging","constant","1","1","1","2747","2026-02-22T03:50:31.153Z"
"699682150479d70e4a010516","15","low","0.954","0.9531561990272865","0.703125","1","31","200","thermal","thermal","3","2","0","7205","2026-02-22T03:50:38.365Z"
"699682150479d70e4a010516","38","high","0.956","0.9553896327377306","0.75","1","19","200","thermal","constant","2","2","1","3761","2026-02-22T03:50:42.160Z"
"699682150479d70e4a010516","21","medium","0.982","0.9818710023619398","0.15625","1","22","200","diverging","linear","3","1","0","4364","2026-02-22T03:50:46.552Z"
"699682150479d70e4a010516","36","high","0.956","0.9565387536580252","0.4375","1","16","200","constant","constant","2","2","1","3447","2026-02-22T03:50:50.048Z"
"699682150479d70e4a010516","28","medium","0.982","0.9827422524620111","0.203125","1","41","300","linear","diverging","2","2","1","3598","2026-02-22T03:50:53.680Z"
"699682150479d70e4a010516","14","low","0.954","0.9537276521722899","0.46875","1","9","100","linear","diverging","0","0","1","4398","2026-02-22T03:50:58.109Z"
"699682150479d70e4a010516","19","medium","0.982","0.9825377301820943","0.171875","1","37","300","linear","linear","0","0","1","2886","2026-02-22T03:51:01.024Z"
"699682150479d70e4a010516","9000","medium","0.8","0.8817152580843526","4","0","47","300","thermal","thermal","2","2","1","2194","2026-02-22T03:51:03.250Z"
"699682150479d70e4a010516","31","medium","0.982","0.981850483129736","0.265625","1","7","100","thermal","linear","2","2","1","1815","2026-02-22T03:51:05.095Z"
"699682150479d70e4a010516","27","medium","0.982","0.9815958106966138","0.1328125","1","44","300","constant","thermal","0","0","1","8093","2026-02-22T03:51:13.220Z"
"699682150479d70e4a010516","44","high","0.956","0.9567810052976969","0.8125","1","28","200","constant","thermal","0","0","1","1995","2026-02-22T03:51:15.245Z"
"699682150479d70e4a010516","32","medium","0.982","0.9815371087493482","0.21875","1","3","100","thermal","constant","3","3","1","4638","2026-02-22T03:51:19.893Z"
"699682150479d70e4a010516","25","medium","0.982","0.9827739154567467","0.1875","1","30","200","diverging","thermal","1","1","1","12690","2026-02-22T03:51:32.612Z"
"699682150479d70e4a010516","29","medium","0.982","0.9828149530886278","0.5","1","14","100","diverging","thermal","3","3","1","3698","2026-02-22T03:51:36.339Z"
"699682150479d70e4a010516","8","low","0.954","0.9538785816880436","1.03125","1","5","100","linear","linear","0","0","1","7485","2026-02-22T03:51:43.853Z"
"699682150479d70e4a010516","23","medium","0.982","0.9814264607857903","0.265625","1","42","300","diverging","diverging","3","3","1","10878","2026-02-22T03:51:54.761Z"
"699682150479d70e4a010516","5","low","0.954","0.9540979509487577","0.609375","1","11","100","thermal","diverging","3","3","1","9308","2026-02-22T03:52:04.101Z"
"699682150479d70e4a010516","41","high","0.956","0.9562556960012578","0.13671875","1","1","100","linear","constant","1","1","1","7525","2026-02-22T03:52:11.653Z"
"699682150479d70e4a010516","48","high","0.956","0.956050321775633","0.2421875","1","12","100","constant","thermal","3","3","1","3731","2026-02-22T03:52:15.412Z"
"699682150479d70e4a010516","37","high","0.956","0.9558763178921493","0.53125","1","26","200","diverging","diverging","0","0","1","2179","2026-02-22T03:52:17.621Z"
"699682150479d70e4a010516","9001","medium","0.8","0.8349015636189422","4","0","47","300","thermal","thermal","3","3","1","3283","2026-02-22T03:52:20.933Z"
"699682150479d70e4a010516","11","low","0.954","0.953549612793558","11.8125","1","10","100","diverging","diverging","0","3","0","17063","2026-02-22T03:52:38.029Z"
"699682150479d70e4a010516","7","low","0.954","0.9542504778258284","5.6015625","1","24","200","constant","diverging","2","2","1","10601","2026-02-22T03:52:48.661Z"
"699682150479d70e4a010516","4","low","0.954","0.9548768639137983","1.40625","1","21","200","linear","linear","0","0","1","13065","2026-02-22T03:53:01.755Z"
"699682150479d70e4a010516","22","medium","0.982","0.981019154041387","0.1875","1","23","200","thermal","linear","2","2","1","5359","2026-02-22T03:53:07.123Z"
"699682150479d70e4a010516","35","high","0.956","0.9563237743373159","0.25","1","8","100","constant","diverging","2","2","1","2122","2026-02-22T03:53:09.275Z"
"699682150479d70e4a010516","9","low","0.954","0.9541155830878737","0.55078125","1","13","100","linear","thermal","3","3","1","6938","2026-02-22T03:53:16.245Z"
"699682150479d70e4a010516","20","medium","0.982","0.9829709208586177","0.234375","1","34","300","diverging","constant","1","2","0","18613","2026-02-22T03:53:34.889Z"
"699682150479d70e4a010516","46","high","0.956","0.9559460636894586","0.59375","1","36","300","constant","linear","3","3","1","2337","2026-02-22T03:53:37.257Z"
"699682150479d70e4a010516","16","low","0.954","0.9544484370100174","1.171875","1","29","200","linear","thermal","1","1","1","5138","2026-02-22T03:53:42.427Z"
