participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6996ab799aa692cbae6d5f2c","19","medium","0.982","0.9814177410533134","0.40625","1","18","200","diverging","constant","2","3","0","6338","2026-02-22T01:32:51.587Z"
"6996ab799aa692cbae6d5f2c","40","high","0.956","0.9558166811188612","0.5","1","47","300","thermal","thermal","3","3","1","3273","2026-02-22T01:32:54.881Z"
"6996ab799aa692cbae6d5f2c","20","medium","0.982","0.9813165948131914","0.34375","1","21","200","linear","linear","1","1","1","2781","2026-02-22T01:32:57.669Z"
"6996ab799aa692cbae6d5f2c","13","low","0.954","0.9533012585030226","0.9375","1","17","200","linear","constant","3","3","1","6650","2026-02-22T01:33:04.327Z"
"6996ab799aa692cbae6d5f2c","25","medium","0.982","0.9818104955682678","0.08203125","1","13","100","linear","thermal","2","2","1","15119","2026-02-22T01:33:19.463Z"
"6996ab799aa692cbae6d5f2c","32","medium","0.982","0.9821521800108931","0.171875","1","29","200","linear","thermal","2","2","1","8911","2026-02-22T01:33:28.400Z"
"6996ab799aa692cbae6d5f2c","37","high","0.956","0.9565021924486208","0.1875","1","22","200","diverging","linear","0","0","1","3449","2026-02-22T01:33:31.869Z"
"6996ab799aa692cbae6d5f2c","14","low","0.954","0.9579471019114139","11.999988555908203","1","36","300","constant","linear","0","0","1","4361","2026-02-22T01:33:36.251Z"
"6996ab799aa692cbae6d5f2c","44","high","0.956","0.9553217110771206","0.59375","1","41","300","linear","diverging","2","2","1","2128","2026-02-22T01:33:38.399Z"
"6996ab799aa692cbae6d5f2c","10","low","0.954","0.9532253463276086","0.5859375","1","27","200","thermal","diverging","3","1","0","11504","2026-02-22T01:33:49.926Z"
"6996ab799aa692cbae6d5f2c","21","medium","0.982","0.9814855503043156","0.265625","1","11","100","thermal","diverging","3","3","1","4442","2026-02-22T01:33:54.390Z"
"6996ab799aa692cbae6d5f2c","5","low","0.954","0.9545718906910173","1.21875","1","26","200","diverging","diverging","3","3","1","4572","2026-02-22T01:33:58.982Z"
"6996ab799aa692cbae6d5f2c","9000","medium","0.8","0.8183954127110378","6","0","47","300","thermal","thermal","3","3","1","2285","2026-02-22T01:34:01.285Z"
"6996ab799aa692cbae6d5f2c","43","high","0.956","0.9553994376103566","1","1","44","300","constant","thermal","3","3","1","1617","2026-02-22T01:34:02.922Z"
