participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"6999ead26224e1a253bcc1d3","39","high","0.956","0.9560230350199207","0.75","1","24","200","constant","diverging","0","0","1","3744","2026-02-22T01:57:37.202Z"
"6999ead26224e1a253bcc1d3","26","medium","0.982","0.9824298597667493","0.140625","1","27","200","thermal","diverging","1","1","1","4505","2026-02-22T01:57:41.719Z"
"6999ead26224e1a253bcc1d3","31","medium","0.982","0.9813848636884939","0.140625","1","4","100","constant","linear","2","2","1","7026","2026-02-22T01:57:48.751Z"
"6999ead26224e1a253bcc1d3","28","medium","0.982","0.9819928392570533","0.28125","1","28","200","constant","thermal","0","0","1","5341","2026-02-22T01:57:54.102Z"
"6999ead26224e1a253bcc1d3","43","high","0.956","0.9566002959112482","0.46875","1","10","100","diverging","diverging","1","1","1","4662","2026-02-22T01:57:58.778Z"
"6999ead26224e1a253bcc1d3","22","medium","0.982","0.9829431540390071","0.6875","1","19","200","thermal","constant","3","3","1","6228","2026-02-22T01:58:05.022Z"
"6999ead26224e1a253bcc1d3","16","low","0.954","0.9541788918230922","0.76171875","1","3","100","thermal","constant","3","3","1","2124","2026-02-22T01:58:07.160Z"
"6999ead26224e1a253bcc1d3","19","medium","0.982","0.9818652436714436","0.296875","1","8","100","constant","diverging","0","0","1","9726","2026-02-22T01:58:16.900Z"
"6999ead26224e1a253bcc1d3","46","high","0.956","0.9565634442165705","0.5","1","9","100","linear","diverging","2","2","1","3846","2026-02-22T01:58:20.760Z"
"6999ead26224e1a253bcc1d3","9","low","0.954","0.9538358970410589","0.796875","1","30","200","diverging","thermal","3","3","1","21833","2026-02-22T01:58:42.606Z"
"6999ead26224e1a253bcc1d3","18","medium","0.982","0.9821608027920166","0.6875","1","33","300","linear","constant","0","0","1","4595","2026-02-22T01:58:47.214Z"
"6999ead26224e1a253bcc1d3","6","low","0.954","0.9545807025959803","3.421875","1","23","200","thermal","linear","0","0","1","10003","2026-02-22T01:58:57.230Z"
"6999ead26224e1a253bcc1d3","9000","medium","0.8","0.8842208163898365","6","0","47","300","thermal","thermal","1","1","1","5002","2026-02-22T01:59:02.245Z"
"6999ead26224e1a253bcc1d3","3","low","0.954","0.9540837454922717","0.9609375","1","37","300","linear","linear","3","3","1","4131","2026-02-22T01:59:06.389Z"
"6999ead26224e1a253bcc1d3","48","high","0.956","0.9553499200444854","1","1","29","200","linear","thermal","2","2","1","3621","2026-02-22T01:59:10.022Z"
"6999ead26224e1a253bcc1d3","8","low","0.954","0.9540643083423592","0.48046875","1","47","300","thermal","thermal","2","0","0","29587","2026-02-22T01:59:39.623Z"
"6999ead26224e1a253bcc1d3","32","medium","0.982","0.9817163690993006","0.296875","1","12","100","constant","thermal","0","0","1","8112","2026-02-22T01:59:47.738Z"
