subjectid,responseid,block,trial,stimulus,colormap,colorCategorization,vis,centerPerturb,noisePerturb,noisePerturbCount,noiseAmplitude,correct,modelChoice,selectedCanvas,responseTime,generationTime
1551,63329,2,1,13,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,12948,263
1551,63330,2,2,14,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,17760,333
1551,63331,2,3,15,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,5,8199,372
1551,63332,2,4,16,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,9633,482
1551,63333,2,5,17,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,15961,373
1551,63334,2,6,18,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,14512,333
1551,63335,2,7,19,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,10861,590
1551,63336,2,8,20,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,14727,329
1551,63337,2,9,21,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,5239,339
1551,63338,2,10,22,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,3122,461
1551,63339,2,11,23,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,3627,580
1551,63340,2,12,24,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,19151,311
1551,63317,1,1,1,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,9132,271
1551,63318,1,2,2,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,8959,335
1551,63319,1,3,3,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,6131,319
1551,63320,1,4,4,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,8809,325
1551,63321,1,5,5,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,2168,367
1551,63322,1,6,6,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,25518,318
1551,63323,1,7,7,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,50080,346
1551,63324,1,8,8,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,93916,506
1551,63325,1,9,9,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,15425,332
1551,63326,1,10,10,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,20750,309
1551,63327,1,11,11,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,30518,305
1551,63328,1,12,12,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,19574,315
1551,63341,3,1,25,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,3,32424,439
1551,63342,3,2,26,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,7618,293
1551,63343,3,3,27,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,2,20500,386
1551,63344,3,4,28,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,3,14996,360
1551,63345,3,5,29,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,4884,361
1551,63346,3,6,30,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,4,10875,349
1551,63347,3,7,31,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,12931,357
1551,63348,3,8,32,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,2,23680,305
1551,63349,3,9,33,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,3,10723,264
1551,63350,3,10,34,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,5,12929,341
1551,63351,3,11,35,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,2,40733,493
1551,63352,3,12,36,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,11197,308
1555,63461,1,1,1,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,1,16249,1001
1555,63462,1,2,2,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,27717,517
1555,63463,1,3,3,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,26021,490
1555,63464,1,4,4,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,3346,462
1555,63465,1,5,5,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,20727,475
1555,63466,1,6,6,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,15992,468
1555,63467,1,7,7,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,4,5140,501
1555,63468,1,8,8,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,8312,464
1555,63469,1,9,9,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,1,25309,478
1555,63470,1,10,10,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,14426,471
1555,63471,1,11,11,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,4,22883,469
1555,63472,1,12,12,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,26621,474
1555,63473,2,1,13,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,24972,481
1555,63474,2,2,14,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,8022,599
1555,63475,2,3,15,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,9680,494
