subjectid,expcondition,responseid,block,trial,stimulus,labLength,vis,targetType,centerPerturb,noisePerturb,noisePerturbCount,noiseAmplitude,correct,colormap1Time,colormap2Time,colormapSwitch,initialColormap,finalColormap,modelChoice,selectedCanvas,responseTime,generationTime
1397,colorstoggle,59597,1,1,1,102.589,fieldSmooth,2,0,1.9,1,1.1,0,11379,0,0,1,1,0,5,11379,1149
1397,colorstoggle,59598,1,2,2,102.589,fieldSmooth,2,0,1.9,1,1.1,1,0,22117,0,2,2,1,6,22117,518
1397,colorstoggle,59599,1,3,3,102.589,fieldSmooth,2,0,1.9,1,1.1,0,4633,26087,2,2,2,0,1,31024,389
1397,colorstoggle,59600,1,1,4,102.589,fieldSmooth,1,0.098716,0,0,1.1,1,0,16787,0,2,2,1,6,16787,380
1397,colorstoggle,59601,1,2,5,102.589,fieldSmooth,1,0.098716,0,0,1.1,0,0,18513,0,2,2,0,6,18513,358
1397,colorstoggle,59602,1,3,6,102.589,fieldSmooth,1,0.098716,0,0,1.1,1,14215,0,0,1,1,1,4,14215,361
1397,colorstoggle,59603,1,4,7,102.589,fieldSmooth,1,0.098716,0,0,1.1,1,22725,0,0,1,1,1,1,22725,430
1397,colorstoggle,59604,1,4,8,102.589,fieldSmooth,2,0,1.9,1,1.1,1,15192,0,0,1,1,1,6,15192,364
1397,colorstoggle,59605,2,1,9,419.935,fieldSmooth,2,0,1.9,1,1.1,1,14847,0,0,1,1,1,1,14846,380
1397,colorstoggle,59606,2,1,10,419.935,fieldSmooth,1,0.098716,0,0,1.1,0,0,11960,0,2,2,0,1,11960,370
1397,colorstoggle,59607,2,2,11,419.935,fieldSmooth,1,0.098716,0,0,1.1,1,15140,0,0,1,1,1,5,15140,368
1397,colorstoggle,59608,2,3,12,419.935,fieldSmooth,1,0.098716,0,0,1.1,1,0,42702,0,2,2,1,5,42702,385
1397,colorstoggle,59609,2,2,13,419.935,fieldSmooth,2,0,1.9,1,1.1,0,48884,0,0,1,1,0,6,48884,438
1397,colorstoggle,59610,2,4,14,419.935,fieldSmooth,1,0.098716,0,0,1.1,0,0,14420,0,2,2,0,2,14420,357
1397,colorstoggle,59611,2,3,15,419.935,fieldSmooth,2,0,1.9,1,1.1,0,0,22311,0,2,2,0,1,22311,382
1397,colorstoggle,59612,2,4,16,419.935,fieldSmooth,2,0,1.9,1,1.1,0,0,17394,0,2,2,0,6,17393,359
1397,colorstoggle,59613,3,1,17,102.589,fieldSmooth,2,0,1.9,1,1.1,0,34756,0,0,1,1,0,3,34756,376
1397,colorstoggle,59614,3,1,18,102.589,fieldSmooth,1,0.098716,0,0,1.1,1,0,305941,0,2,2,1,3,305941,448
1397,colorstoggle,59615,3,2,19,102.589,fieldSmooth,2,0,1.9,1,1.1,0,15409,0,0,1,1,0,4,15409,505
1397,colorstoggle,59616,3,3,20,102.589,fieldSmooth,2,0,1.9,1,1.1,0,9520,0,0,1,1,0,6,9520,449
1397,colorstoggle,59617,3,2,21,102.589,fieldSmooth,1,0.098716,0,0,1.1,1,0,6618,0,2,2,1,1,6618,367
1397,colorstoggle,59618,3,3,22,102.589,fieldSmooth,1,0.098716,0,0,1.1,0,10845,0,0,1,1,0,4,10845,350
1397,colorstoggle,59619,3,4,23,102.589,fieldSmooth,1,0.098716,0,0,1.1,0,20548,0,0,1,1,0,5,20548,376
1397,colorstoggle,59620,3,4,24,102.589,fieldSmooth,2,0,1.9,1,1.1,0,10694,0,0,1,1,0,6,10693,373
1397,colorstoggle,59621,4,1,25,419.935,fieldSmooth,1,0.098716,0,0,1.1,0,17342,2,1,1,2,0,4,17488,417
1397,colorstoggle,59622,4,1,26,419.935,fieldSmooth,2,0,1.9,1,1.1,1,18053,0,0,1,1,1,2,18053,397
1397,colorstoggle,59623,4,2,27,419.935,fieldSmooth,1,0.098716,0,0,1.1,1,15517,0,0,1,1,1,6,15517,428
1397,colorstoggle,59624,4,3,28,419.935,fieldSmooth,1,0.098716,0,0,1.1,0,0,7052,0,2,2,0,6,7052,353
1397,colorstoggle,59625,4,2,29,419.935,fieldSmooth,2,0,1.9,1,1.1,0,10475,0,0,1,1,0,3,10475,368
1397,colorstoggle,59626,4,3,30,419.935,fieldSmooth,2,0,1.9,1,1.1,0,11631,0,0,1,1,0,6,11631,389
1397,colorstoggle,59627,4,4,31,419.935,fieldSmooth,1,0.098716,0,0,1.1,1,11176,0,0,1,1,1,3,11176,412
